x	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_5g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_3_1g	Y_20181208_15692b_7_7g
0	11045.6045	11065.1807	9444.4229	11306.0645	10416.7344	10569.7451	9523.9873	11490.6064	12095.6807
0.1334	12373.7627	12200.5693	10260.4619	11893.917	11786.9189	10705.6914	10111.9395	13058.8613	13076.1436
0.2668	16324.71	15095.3145	11912.791	11960.915	15275.3486	12662.3066	10460.9678	15972.0723	16056.2822
0.4003	18155.1895	16794.5176	13904.8008	12742.2646	17837.2832	14464.0781	11135.4258	17162.1191	17917.0137
0.5337	17832.3262	15509.3125	15954.1797	13505.6172	20644.1934	16055.9902	13961.3057	16428.1309	17035.207
0.6671	16164.291	15230.792	15769.1758	15365.8379	20725.7773	16154.3516	16022.1582	15566.9463	14875.9912
0.8005	15753.9121	16218.4473	15343.251	15838.9814	18605.8008	15582.2314	18616.293	14693.5615	12447.042
0.934	14488.3799	16657.3086	14772.9473	14762.1689	17808.3145	16323.7051	18152.8105	14980.8906	11469.6729
1.0674	15146.8877	17191.3691	14711.3662	14176.6162	17664.2891	16680.3555	17218.8809	15765.918	11532.8057
1.2008	14108.7715	17505.1777	14187.4443	14587.5146	17015.9258	16372.373	16166.5576	16778.4258	11698.0732
1.3342	13765.2529	17458.8496	15403.9805	15352.3887	16474.0078	15910.5771	15582.1514	15438.4805	11517.6855
1.4676	13500.5645	17581.8184	14735.3115	15972.1631	15552.9414	15043.2207	15402.3252	14673.4971	11366.6143
1.6011	13952.8467	17121.4805	13915.9697	16145.4004	14456.4121	13798.7109	16090.5693	14362.5352	11783.5352
1.7345	13020.3418	16853.0156	14511.9092	15384.125	14341.8662	13679.2158	16017.8291	14186.6162	12846.4316
1.8679	13495.375	15256.4434	13617.3477	15232.3721	14327.9502	13355.4082	16412.834	14049.8057	13820.5537
2.0013	13148.7549	14610.501	13195.7373	15292.7529	15181.5195	13639.5127	15641.7041	14965.5059	13875.0312
2.1347	13401.7354	14471.1396	13575.1367	14710.8594	15518.1885	13552.8398	15031.9766	15014.4268	14949.5889
2.2682	12725.1826	13968.6533	13194.9502	13826.7686	15226.8242	12572.4023	15835.6133	14572.6221	13847.4883
2.4016	13923.7051	14457.3643	14104.2959	13549.165	15884.2373	12791.6348	15169.1289	15273.7021	13349.8486
2.535	14496.6631	14314.3643	14446.5918	13416.2168	16190.7451	12043.1084	13835.3359	15191.1963	13665.0645
2.6684	15109.0176	13728.292	13244.7295	13722.1191	15092.4707	11605.0039	14464.8799	14648.123	13682.7168
2.8019	14266.2539	13653.4053	13051.5752	13436.1367	14081.7754	11907.4766	15363.2715	14937.6689	12959.3154
2.9353	13816.9424	12608.9375	12554.0557	13036.3721	13834.332	11852.4834	15190.0254	15570.2266	13276.9854
3.0687	13295.7861	12891.9941	11724.7119	13020.6211	13986.2891	11954.0879	15106.041	14779.3711	13026.4307
3.2021	12872.125	12491.8965	12313.7383	12230.6543	13944.5479	11750.7275	15256.2969	14061.6211	13520.249
3.3355	13345.8096	12551.1299	11882.7959	11736.5293	13962.041	11492.1807	15023.248	13735.9307	13113.7666
3.469	13524.7148	NaN	11594.6963	11123.8438	13527.6006	12428.0898	14278.0361	13201.1064	13742.5293
3.6024	14095.7344	NaN	11770.2812	11520.3389	12881.8574	12540.2979	13759.582	13419.2988	12997.1846
3.7358	12813.5654	NaN	NaN	11162.4102	11983.2441	12657.8857	12965.5146	NaN	NaN
3.8692	12813.1396	NaN	NaN	11094.9531	NaN	12641.5205	12380.1084	NaN	NaN
4.0027	NaN	NaN	NaN	10756.7715	NaN	NaN	11136.2275	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	10989.2295	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
