x	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_10_11g	Y_20181208_15693_10_13g	Y_20181208_15693_10_1g	Y_20181208_15693_10_20g	Y_20181208_15693_10_7g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_12_7g	Y_20181208_15693_13_12g	Y_20181208_15693_13_2g	Y_20181208_15693_13_9g	Y_20181208_15693_14_10g	Y_20181208_15693_14_4g	Y_20181208_15693_14_8g	Y_20181208_15693_15_11g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_18_5g	Y_20181208_15693_19_6g	Y_20181208_15693_2_1g	Y_20181208_15693_2_5g	Y_20181208_15693_20_1g	Y_20181208_15693_20_2g	Y_20181208_15693_20_3g	Y_20181208_15693_4_5g	Y_20181208_15693_5_10g	Y_20181208_15693_5_13g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_7_3g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693_8_5g	Y_20181208_15693_8_6g	Y_20181208_15693_9_12g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g
0	28826.666	29445.0625	30484.791	26359.1504	28430.4473	30054.082	27431.9043	27414.0137	31254.7793	27417.5312	28286.0527	27922.5215	26958.168	28790.2891	28559.0312	32811.4805	27902.2246	26728.7656	28727.2852	27107.0332	29927.7598	31346.0449	30864.1504	31106.9551	28288.1172	30633.7832	30450.5801	28694.6953	28803.6895	32689.6621	30331.252	28506.6504	31889.5312	30971.0371	29243.2871	32077.8965	30475.2656	34065.0117	33709.5703	30742.7832	28703.7344	29433.9531	31819.6406	30955.7266	26258.8711	26309.1094	30909.3477	28508.4648	31167.3574	29894.9355	32763.7812
0.1334	28937.3125	31020.3555	30474.1309	26980.8438	28072.2246	29939.4082	29128.9668	28552.3613	30602.6973	28154.6641	27641.4688	27085.5723	28028.8496	29229.0273	27185.4395	31808.7227	28057.9746	26678.3984	27587.1836	27936.5352	30604.6348	32286.7871	29830.7363	30338.5996	29051.4434	31379.3809	29996.4336	27909.4727	29837.4375	32281.5918	30155.0664	28733.6836	31181.2324	31858.3516	29582.0352	31695.2109	31218.6309	33396	32914.6953	30317.9102	30047.1953	26838.3184	29235.6953	29817.2988	27647.4297	24316.6426	30047.9746	28692.0039	32077.373	29511.5781	32923.9883
0.2668	28028.4102	28839.334	31390.2598	26598.9062	27366.3906	29975.6406	28134.875	26952.9102	30164.0781	29279.9102	27720.4629	26547.1875	27995.0801	28088.4355	29523.7539	31789.5352	28866.7422	26593.2715	27199.9395	27979.5898	31248.7012	32429.6699	31856.9629	29426.1465	30015.5137	30754.1699	29819.8496	27811.498	30830.709	32969.3906	30353.7617	29020.3105	30669.9805	30354.9492	30719.1934	32104.1445	28871.2148	35621.8164	33846.1953	29956.6152	29365.4453	27398.6875	30297.1016	29552.377	26567.8223	25150.1309	30006.2363	29348.3086	30393.9883	32059.6797	32806.0469
0.4003	28227.5723	28616.5234	32271.3438	26904.623	27888.0469	28754.0449	28220.8105	27863.3652	30821.334	27537.3477	27562.3438	27467.2637	27727.5508	27889.1523	30309.8516	30548.9023	28709.9277	27266.0078	27877.2207	26798.5488	31464.127	31413.8984	31507.2188	29021.2051	29652.2402	30670.3457	31186.5957	29229.1504	30432.252	33114.8164	31321.2676	29101.207	30812.123	30601.7617	30395.1543	32507.791	28487.3789	36764.4492	31689.6309	30583.8418	28405.9941	26980.6016	29370.2012	29626.0703	28955.0273	24915.6094	29349.1211	29559.9785	30985.1738	31253.9727	31995.5879
0.5337	27985.9961	28599.4199	32493.7461	27850.6699	27545.3984	28364.002	29651.7246	27423.4062	31838.8926	27748.2227	27659.5996	25593.4961	26658.9902	28142.2559	28716.3906	29922.6348	28394.9082	27458.002	27614.4824	25838.041	30372.3945	31666.3828	32065.0957	28903.7695	28436.7539	32230.0762	30225.7715	28528.7852	29770.1172	32780.7656	29329.0469	29041.5449	31260.5508	30580.6855	30120.1465	31294.8008	29432.334	35608.1562	31833.6855	31697.0586	28983.3457	27524.1836	29142.9688	29749.5	28163.6426	25547.3379	30798.2305	29811.877	30675.0762	29801.2793	31409.9297
0.6671	28405.3418	28524.4141	31792.9492	26889.5195	28748.2949	29319.2637	30130.9824	27129.1484	30752.1289	27308.2148	28101.6094	25184.7422	27202.2656	28227.8887	29002.1504	29808.2832	26544.2852	27083.1387	29812.5312	25845.3867	30635.3867	31282.5508	31917.9297	29648.4902	29601.625	31104.9551	30781.291	29034.6465	31629.0449	32720.1191	31699.4375	28136.2617	31957.7109	30700.043	30018.9473	32539.0371	30148.5371	34558.2734	31391.7676	31962.457	29336.9336	27368.9395	30004.0234	30646.8965	26094.2207	24868.748	30788.2051	28666.0156	30245.7305	31499.1992	32361.1074
0.8005	27487.9961	28207.9258	30593.3809	25892.0801	28101.5137	29603.957	30557.6699	27712.6387	31250.0957	28394.4531	29347.9707	27218.2656	26611.2363	28942.7754	27492.9766	30211.0098	26977.1836	25904.5742	31791.1133	27184.6602	31592.5488	30843.332	30846.5879	29845.5547	29915.6113	29678.959	29666.6016	30145.0723	30056.6777	31929.2188	30676.334	28795.1738	33485.875	31294.4824	29708.1953	32321.3789	30208.7246	34342.4336	31277.3223	32545.8477	29220.8418	27852.0469	28903.6992	29809.0254	27039.3125	24392.1699	31698.2422	30582.9336	30378.3086	31676.707	33392.5977
0.934	26628.8223	29668.6758	30752.7578	26266.7949	28022.877	29995.5039	29953.043	27278.2617	30015.2227	27989.8047	29805.5449	26678.6445	26881.9766	29167.9453	28756.8145	30007.1094	27382.3145	24898.5547	31577.6836	26457.2832	35511.2344	30861.0117	31496.0586	29712.8809	29144.5977	29138.4648	29830.7754	38081.8047	30635.8789	32917.1172	32266.3438	28963.209	32763.916	30668.6367	30984.7402	31756.3145	30794.4082	34496.5469	30488.4062	32404.0117	29899.7793	28532.6816	28743.791	30034.3633	27390.3262	24100.7207	32063.5059	29635.8555	29424.8027	31621.5449	35114.8086
1.0674	28415.4121	28430.0449	32983.0938	25227.5234	28921.0234	28426.8848	29250.4141	27436.3867	31733.5645	28251.5605	29349.3301	28436.6074	28003.7734	30879.3164	28794.9434	29648.1934	29066.9238	27710.2559	33596.1836	27589.8418	44915.2227	29852.5059	31244.3574	30672.0156	28892.8809	29977.4395	30164.4551	44693.0312	31290.043	32381.9609	30846.5527	28084.3008	33702.4883	31761.4766	30584.2148	33179.7578	32018.377	35571.9492	30696.0938	33622.043	31221.8438	28160.4121	29097.2148	31540.4688	27352.5918	24924.5469	31828.1582	29632.3535	28903.3125	32943.0977	35299.2812
1.2008	28739.0938	28429.9219	31765.332	27109.0332	29517.877	30567.1973	29792.7227	28946.7637	30919.9902	27608.4473	32035.7402	29705.7969	27934.3301	30591.1074	28379.418	30435.9453	29480.3672	28980.5371	41710.7148	26296.9023	60560.8711	31201.6836	31932.0176	31512.9531	28696.4863	30857.2852	32791.6484	41964.2109	31114.6016	35493.5312	31729.0547	28762.5605	31739.7305	32278.1309	32735.1309	33627.9336	32271.373	36455.5781	31423.3066	35858.0586	32385.209	27867.7969	29508.9004	30217.3887	27782.4785	23680.3828	33256.25	30737.7012	29691.3027	34879.0039	36279.3281
