x	Y_20181208_15693b_11_8g	Y_20181208_15693b_12_14g	Y_20181208_15693b_4_11g
0	9782.0801	10818.9873	10375.2998
0.1334	10559.042	13002.0664	10774.3828
0.2668	10424.9297	14431.9355	12701.2939
0.4003	10770.0811	14800.5928	14161.416
0.5337	12278.3535	13834.3398	13966.7471
0.6671	13247.1748	12130.2266	12964.8262
0.8005	14210.4277	12098.0918	12242.4541
0.934	13121.3057	12404.5303	14002.5586
1.0674	12441.1396	13084.416	14004.5859
1.2008	12635.6748	12735.8994	13818.2686
1.3342	13565.957	12400.3877	12940.8779
1.4676	13308.3066	13175.1904	13290.6025
1.6011	13102.7451	13101.0664	13669.8623
1.7345	13183.375	13292.876	13283.3477
1.8679	14181.9307	13909.1426	12356.5986
2.0013	13714.9082	13986.5537	12509.8076
2.1347	14588.4072	14539.0176	13301.5527
2.2682	14388.3535	15039.3711	12613.2969
2.4016	13064.6377	14061.1055	13255.9678
2.535	13143.0078	14106.7148	13302.7021
2.6684	13852.0918	14373.7158	13851.8154
2.8019	12516.6504	13668.7227	13113.9287
2.9353	12495.8516	13456.2529	13382.8496
3.0687	12145.3838	14140.4414	12532.9258
3.2021	12374.5723	12788.6865	12121.623
3.3355	11894.8643	12493.2617	12329.3799
3.469	11108.8828	12085.4863	12155.7695
3.6024	11243.2188	11450.6611	11980.0449
3.7358	11261.2207	11166.9893	11882.6016
3.8692	10850.4922	10982.3223	10805.0225
4.0027	10944.3574	10716.2764	10271.2588
4.1361	NaN	9707.1973	10565.6543
4.2695	NaN	NaN	NaN
4.4029	NaN	NaN	NaN
4.5363	NaN	NaN	NaN
4.6698	NaN	NaN	NaN
4.8032	NaN	NaN	NaN
4.9366	NaN	NaN	NaN
5.07	NaN	NaN	NaN
5.2035	NaN	NaN	NaN
5.3369	NaN	NaN	NaN
5.4703	NaN	NaN	NaN
5.6037	NaN	NaN	NaN
