x	Y_20180224_15100_10_6g	Y_20180224_15100_10_8g	Y_20180224_15100_11_3g	Y_20180224_15100_16_5g	Y_20180224_15100_16_6g	Y_20180224_15100_16_7g	Y_20180224_15100_17_1g	Y_20180224_15100_17_6g	Y_20180224_15100_18_3g	Y_20180224_15100_18_8g	Y_20180224_15100_19_11_2g	Y_20180224_15100_19_17g	Y_20180224_15100_19_3g	Y_20180224_15100_19_5_2g	Y_20180224_15100_2_1g	Y_20180224_15100_23_4g	Y_20180224_15100_27_4g	Y_20180224_15100_29_3g	Y_20180224_15100_29_7g	Y_20180224_15100_30_3g	Y_20180224_15100_30_6g	Y_20180224_15100_32_1g	Y_20180224_15100_33_3_2g	Y_20180224_15100_33_5g	Y_20180224_15100_4_5g	Y_20180224_15100_6_7g	Y_20180224_15100_7_11g	Y_20180224_15100_7_2g	Y_20180224_15100_8_6g
0	14401.29	15099.682	14714.783	15883.463	18397.389	16171.228	12842.856	15116.915	15604.31	15395.442	16655.973	18216.588	14896.9	15435.019	14923.01	14172.08	15890.076	13977.49	13888.188	15577.775	14070.989	17276.113	13230.963	16537.988	19001.879	15534.569	16683.174	16154.468	15535.632
0.1334	14763.475	14607.938	15506.847	16417.236	18023.16	15767.246	13740.436	16171.52	16286.629	15455.179	20180.639	19202.521	16122.043	16453.371	15483.79	15328.681	15977.904	15127.318	14650.98	16162.471	16418.135	18012.084	14024.39	15956.287	19508.768	14867.76	17415.531	15853.899	16746.982
0.2668	15945.851	15314.179	18226.756	17445.916	20245.643	16466.873	14045.997	17836.145	17098.715	15882.598	25093.479	21824.152	18682.061	20467.355	16179.306	16396.115	18011.16	16154.694	18953.541	16710.254	20333.562	18983.148	16225.076	16559.605	20366.357	16187.912	20234.773	16768.605	17489.768
0.4003	17755.318	18471.768	22533.371	20454.941	24758.852	17097.113	15891.884	21287.441	18986.748	17746.98	27051.078	26793.693	22121.389	21434.107	18152.734	18290.201	21603.785	16972.305	23463.389	18181.602	24712.713	19913.721	18834.482	17276.371	20879.836	18036.936	25563.877	18915.676	21740.785
0.5337	20428.725	18905.27	28328.467	29250.635	33976.398	20012.406	19254.441	20996.469	23350.785	20194.148	23387.768	26707.814	24122.488	21302.283	22623.801	18041.611	21146.217	16050.316	26228.793	19441.629	24509.516	23910.402	20167.82	19282.92	22936.957	18281.848	27258.803	24740.551	25667.086
0.6671	19492.367	17699.145	28568.428	33503.129	35984.973	20065.344	19870.238	17838.539	29281.338	19894.699	20798.816	21787.109	21014.178	21650.098	26326.432	16965.635	21378.912	15207.192	22300.861	18509.414	21801.189	28737.904	19497.447	19683.586	26375.666	17090.242	23115.773	26910.652	26639.391
0.8005	19108.832	18649.764	25443.184	29353.932	27581.926	18085.512	18540.562	16565.98	26399.949	18790.902	19927.064	19226.199	19321.803	20946.074	27841.324	16213.302	22866.906	15655.204	20335.936	17525.891	22448.82	29812.545	19521.205	18024.373	31941.211	16445.645	19373.775	26717.838	24950.662
0.934	21429.324	19889.217	25058.146	26819.961	21869.248	18153.383	16125.397	16770.744	25196.166	18306.215	20748.51	18663.057	17701.229	19489.508	25456.633	15221.236	20387.295	16336.488	17197.389	19306.443	20457.258	25867.945	19543.062	16399.035	32819.191	17052.482	18611.184	25445.326	20464.576
1.0674	21278.896	21626.822	26240.75	24716.178	19245.459	19589.65	17179.449	17183.449	24569.32	16512.633	20586.201	17888.922	20131.092	19098.619	24648.834	15134.714	18757.59	16294.698	17183.199	20973.645	20141.195	25179.268	17060.586	16389.16	27712.529	17873.869	18788.711	23870.6	17600.959
1.2008	22200.219	22187.887	25012.047	23453	20959.984	21408.861	16530.553	16663.814	22434.205	15466.048	20794.529	19382.545	20335.555	19279.135	23791.498	15992.685	17763.025	16238.623	16813.936	22813	20879.014	24069.742	16383.908	16035.711	22344.451	17662.029	17713.156	22692.1	16034.297
1.3342	20864.943	22747.67	22363.348	24432.635	22743.184	22385.484	16950.406	17126.475	22525.439	14856.854	20148.729	22404.559	18454.48	19533.971	21592.561	17402.498	17862.109	15650.071	15762.741	21757.033	18632.863	21903.547	16278.811	16274.024	20556.533	18392.59	16849.695	21627.785	17549.078
1.4676	18950.348	21832.514	20230.508	23489.439	23150.014	19930.74	16524.445	17230.793	23397.602	14002.837	19065.525	25009.666	17084.379	18251.797	20970.25	15110.85	17080.383	16019.39	16104.334	19347.725	18065.314	20668.98	16614.281	16975.787	19192.191	18731.443	16069.803	22215.387	18093.898
1.6011	16305.177	20209.516	17129.82	21647.594	23774.459	17365.82	14932.026	17560.746	22452.828	15131.14	19363.854	25303.834	17416.449	17821.414	20523.859	13864.002	15484.565	15900.939	15563.136	18278.436	17482.443	18071.035	16136.342	16194.55	18951.041	17632.393	16178.783	23098.844	19890.9
1.7345	16607.902	17801.701	15568.453	18951.746	21849.404	17006.555	13393.182	17075.156	20956.764	15308.989	18601.191	21522.043	17516.336	16950.475	19384.082	14465.227	15290.961	16108.441	14875.213	17195.875	16933.359	17230.082	15276.04	15310.322	19560.146	16886.672	15672.993	24706.148	19918.797
1.8679	15265.188	16054.458	13878.099	17280.012	18798.924	15581.702	13290.817	17727.104	18402.904	14184.602	18249.098	16946.633	16332.635	16628.896	17817.568	13832.095	14198.324	16394.492	13607.833	17263.299	17212.43	17466.166	15819.164	14579.544	20033.439	18317.924	15167.244	24559.223	18076.146
2.0013	15165.467	14481.515	14114.015	16907.543	17656.914	15225.906	12649.652	18618.514	18984.275	13711.105	NaN	16248.969	16810.77	NaN	15641.254	NaN	14141.45	NaN	13156.394	17281.875	NaN	16429.377	14984.237	13848.055	19651.799	17595.949	15605.786	20795.914	16657.715
2.1348	NaN	14760.997	14272.539	16657.648	16593.795	15935.904	12943.135	NaN	17101.943	NaN	NaN	NaN	NaN	NaN	16049.845	NaN	NaN	NaN	13232.525	16788.984	NaN	14694.942	15896.492	13921.173	17227.279	16334.041	15078.233	17875.133	15717.78
