x	Y_20180224_15102_14_1g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_6g	Y_20180224_15102_17_6g	Y_20180224_15102_22_5g	Y_20180224_15102_25_14g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g
0	33563.977	34741.328	36992.871	37837.723	33138.41	35692.25	36657.508	36380.301
0.1334	34546.625	35184.77	37155.773	37177.074	32278.422	34618.375	39533.121	37983.309
0.2668	32741.291	33004.176	38051.344	37957.023	31550.678	34171.922	41381.082	35630.918
0.4003	33541.172	34975.191	35739.301	36990.461	32649.818	36027.719	41226.797	35342.293
0.5337	33990.359	35268.727	36140.719	36541.281	33136.434	35150.859	42889.734	36870.684
0.6671	34698.523	35291.684	38119.914	38331.16	32601.912	36455.586	42825.242	36359.672
0.8005	35447.211	34374.93	39482.922	38037.16	32679.98	36347.711	43529.117	36883.797
0.934	34988.914	35064.234	38101.238	36981.852	33397.156	34439.16	41503.055	37854.801
1.0674	34956.148	35349.41	39657.148	37581.734	34648.781	34771.766	42031.672	38634.523
1.2008	34905.352	36251.258	40381.18	39466.281	34440.844	35597.031	40754.879	38132.227
1.3342	33458.766	36648.547	39128.336	39929.852	35074.77	35522.965	40952.707	37687.867
1.4676	34281.617	35117.496	40428.922	41494.57	33873.125	34291.602	40273.461	37125.027
1.6011	33463.121	36844.516	39971.777	40490.996	32511.492	34494.402	39623.777	36056.867
1.7345	32355.357	36170.996	39706.496	38769.383	33636.082	34418.383	39781.621	36201.02
1.8679	34518.355	35391.227	39784.004	39553.219	35046.031	35698.527	41884.195	36224.109
2.0013	32896.348	35573.234	39781.656	40480.453	34057.242	36225.336	42101.406	37177.684
2.1348	32627.021	35478.152	40931.07	41668.883	35757.734	34923.367	38797.906	37431.793
2.2682	33938.27	35064.719	42207.605	41134.949	35900.043	35199.891	40475.109	38067.098
2.4016	37496.848	36084.934	45141.805	39846.07	35787.82	38325.777	42359.844	40590.168
2.535	42682.668	36629.047	50898.148	42642.777	35720.043	38529.125	46564.828	42044.473
2.6684	56996.129	37759.629	66411.422	44604.34	36787.082	41545.02	55050.113	52800.113
2.8019	65541.625	43529.281	73347.719	48649.828	40459.398	54640.285	60501.918	68160.445
