x	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g	Y_20181208_15693b_12_9g	Y_20181208_15693b_6_9g
0	26375.0762	23530.0566	29803.1426	27759.502
0.1334	25701.9141	24112.6055	29574.8398	27929.125
0.2668	27013.7109	24535.3633	29329.4824	28285.4961
0.4003	28218.541	24990.9609	30271.4668	27738.5215
0.5337	27750.9473	26093.4336	29087.6387	28573.4473
0.6671	27269.957	25349.6836	29303.2715	28423.3418
0.8005	26565.9238	25552.168	29252.1738	28853.8613
0.934	27297.5469	25239.4141	29490.0547	28326.1445
1.0674	27791.7109	25827.4531	29457.8262	28783.7637
1.2008	27457.7031	25303.6758	30277.8691	28634.5859
1.3342	27750.6387	24576.5508	30162.7422	29034.627
1.4676	27518.0449	26122.9043	29005.8379	29860.5957
1.6011	26184.6367	26907.5332	29021.9531	30090.5059
1.7345	27437.4414	24784.8828	29779.002	29276.375
1.8679	28182.9297	25250.1777	29155.1445	29940.207
2.0013	29085.1836	24048.3828	28558.4004	27962.7266
2.1347	26497.1602	23804.5801	28747.8887	29296.7383
2.2682	27085.7773	23976.332	29725.7344	29919.9082
2.4016	25913.6973	25031.998	30094.7285	28925.6484
2.535	26255.9512	24986.1113	30179.4883	28329.2305
2.6684	25909.7656	25206.1504	30787.6641	31643.5996
2.8019	27312.9355	25964.8574	31327.6797	30493.8555
2.9353	28386.7422	28502.4316	31385.6816	29941.4023
3.0687	30307.957	33177.0547	31899.6172	31788.5996
3.2021	37550.2344	42550.9258	30891.2637	32933.4258
3.3355	50693.9609	57818.3867	33106.4375	34620.6953
3.469	69579.2891	58201.4883	36099.6094	35574.6289
3.6024	60998.0859	41301.7305	41694.0938	42891.3906
3.7358	41698.3594	29705.3477	52278.9141	58419.2617
3.8692	33058.3398	27050.7207	57774.3672	72378.8125
4.0027	29669.4453	26546.418	52110.1211	69718.9922
4.1361	29714.5391	NaN	41122.9922	58987.5625
4.2695	27853.916	NaN	36452.9961	NaN
4.4029	NaN	NaN	33529.0898	NaN
4.5363	NaN	NaN	32143.541	NaN
4.6698	NaN	NaN	32473.9766	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN
