x	Y_20180212_14590_12_2g	Y_20180212_14590_18_3g	Y_20180212_14590_19_1g	Y_20180212_14590_1_2g	Y_20180212_14590_41_1g	Y_20180212_14590_9_1g
0	13826.381	13301.799	14323.329	17994.619	13315.756	12987.938
0.1334	15659.877	14094.34	15320.339	18268.576	14092.516	13471.657
0.2668	19777.004	15483.448	15783.423	19324.471	15529.438	14081.9
0.4003	18798.512	20215.248	18694.898	22016.496	19037.053	14937.418
0.5337	18355.27	22974.795	24203.943	23799.701	25676.703	17007.951
0.6671	17731.248	22349.744	29322.574	24645.213	27226.879	18942.746
0.8005	17227.283	19823.648	26218.049	21599.6	25218.025	21426.16
0.934	17431.654	18569.648	23520.482	19766.682	21811.791	21526.09
1.0674	16953.352	17638.557	21132.979	19428.305	21382.43	20025.424
1.2008	17870.055	17022.533	21428.457	18732.031	20434.545	18470.01
1.3342	16661.252	17056.625	20723.314	19003.949	21622.15	16990.34
1.4676	18256.352	18256.475	20632.438	18606.582	22880.457	17669.863
1.6011	20656.609	20153.627	20678.059	19150.035	24861.381	18457.883
1.7345	23106.713	23136.336	23949.029	21178.812	28307.225	18412.311
1.8679	25796.771	29221.322	30417.199	22114.338	33073.418	18980.719
2.0013	NaN	34086.234	39103.617	23371.318	35505.41	19552.805
2.1348	NaN	34773.004	NaN	24349.684	NaN	21634.602
2.2682	NaN	30312.738	NaN	22885.205	NaN	22405.098
2.4016	NaN	NaN	NaN	NaN	NaN	23183.623
2.535	NaN	NaN	NaN	NaN	NaN	23180.918
2.6684	NaN	NaN	NaN	NaN	NaN	23036.844
2.8019	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN
