x	Y_20180212_14590b_16_2g	Y_20180212_14590b_20_3g	Y_20180212_14590b_28_3g
0	39801.941	40064.125	32177.17
0.1334	38142.168	41620.207	33557.121
0.2668	38149.438	39862.059	34321.383
0.4003	37724.383	38888.34	35183.141
0.5337	37140.523	38487.777	34691.387
0.6671	38196.234	40153.992	36215.531
0.8005	39144.094	41521.703	37932.398
0.934	40096.926	40362.707	36984.125
1.0674	39936.543	40404.621	36545.988
1.2008	40890.848	40486.543	36627.141
1.3342	42970.625	42014.125	38142.145
1.4676	49141.172	44530.051	45172.219
1.6011	65079.602	44535.066	59304.754
1.7345	98106.695	50504.953	69242.523
1.8679	111732.695	65382.461	60367.418
2.0013	88110.555	87844.891	48743.117
2.1348	59072.578	136121.594	41279.922
2.2682	47243.039	167796.922	NaN
2.4016	NaN	143675.406	NaN
2.535	NaN	94261.82	NaN
2.6684	NaN	65558.422	NaN
2.8019	NaN	NaN	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
