x	Y_20181208_15694b_1_3g
0	9328.5996
0.1334	9656.8447
0.2668	10727.5576
0.4003	12403.6514
0.5337	12558.9795
0.6671	12193.5566
0.8005	12272.918
0.934	12137.0146
1.0674	12221.2744
1.2008	12216.7021
1.3342	12521.6172
1.4676	13089.8506
1.6011	13229.5254
1.7345	12728.6035
1.8679	12452.6777
2.0013	12231.5342
2.1347	12050.0859
2.2682	11294.4795
2.4016	11186.3232
2.535	11448.8896
2.6684	11931.2197
2.8019	11479.0791
2.9353	11405.3926
3.0687	11685.2061
3.2021	11304.4404
3.3355	10847.5713
3.469	10637.8145
3.6024	10602.3594
3.7358	10537.6318
3.8692	10800.0264
4.0027	NaN
4.1361	NaN
