x	Y_20181208_15692_33_6g	Y_20181208_15692_34_4g	Y_20181208_15692_36_6g	Y_20181208_15692_38_6g	Y_20181208_15692_39_11g	Y_20181208_15692_44_1g
0	12383.1396	10679.9316	11885.6924	9770.9746	13271.1543	10409.3184
0.1334	12915.9316	11339.8877	13166.8496	11553.2754	16505.9746	11989.3213
0.2668	15433.1777	11629.7373	16030.6963	13944.7334	19208.2461	14518.0391
0.4003	17984.2793	11530.5498	18962.0996	20382.2852	17621.877	15528.9512
0.5337	20073.3359	13273.8662	18716.5	23843.4121	15775.1016	14640.7432
0.6671	18026.541	16153.3965	16775.4492	22134.8613	14621.9873	12999.04
0.8005	17256.5039	17436.957	15553.0693	19870.7383	14470.5303	12330.1338
0.934	16817.8848	15210.5547	14912.3721	17074.2969	14294.4043	12067.6211
1.0674	17007.168	14360.5322	14287.1123	16629.6758	14773.9053	11569.9873
1.2008	16973.7188	12773.0957	13578.5186	16233.624	15518.1826	11552.7656
1.3342	15837.9326	13809.8193	14180.915	15435.1641	15898.6396	11707.4824
1.4676	16279.5156	13867.8369	14044.1875	14688.1211	15997.0938	12948.5068
1.6011	16651.5723	14524.3574	13071.2041	13492.1826	15279.3184	13566.3037
1.7345	15081.2705	14077.3359	12941.7422	13048.1172	14525.5742	13601.3457
1.8679	14910.2646	13511.8633	12327.1982	14330.0684	15142.4902	13991.5947
2.0013	14926.8389	13445.6123	11595.1846	14287.6387	13379.0986	13947.2852
2.1347	15593.2363	13816.0205	11543.5449	14167.1484	13055.3301	13404.8213
2.2682	15767.4727	13861.3828	11103.5674	14517.2646	12483.8281	12867.2441
2.4016	14923.8447	13617.4209	11192.1191	15095.1152	11164.1201	12563.7295
2.535	14969.623	12995.3037	10988.8164	15583.3828	11237.7549	12069.6094
2.6684	14893.7432	13515.8438	11585.3203	16157.9854	10646.9629	11802.8682
2.8019	15885.8252	13186.5078	11915.8994	17712.7324	10284.9092	11863.0186
2.9353	16851.9727	14004.7598	12733.373	17932.8867	10706.793	11490.1982
3.0687	16069.751	13988.4473	13034.1279	15231.7725	10780.1982	11787.2803
3.2021	15909.7949	13122.5947	13661.6895	14189.5635	10819.0742	11571.6104
3.3355	15843.918	13625.5332	13467.4541	13043.4404	11604.4883	12165.6523
3.469	14248.7891	13373.9736	13852.9189	12094.3008	11233.3838	11516.4766
3.6024	14052.2871	13631.7812	13631.125	11896.334	11816.585	11739.3213
3.7358	13653.0029	13661.1396	13082.3662	12238.5127	NaN	11277.8408
3.8692	13180.5664	12899.4668	NaN	11504.5381	NaN	11718.001
4.0027	12613.5361	13488.46	NaN	11384.7803	NaN	11604.627
4.1361	NaN	12903.4062	NaN	12110.6797	NaN	11544.6699
4.2695	NaN	13029.625	NaN	11738.2812	NaN	NaN
4.4029	NaN	NaN	NaN	11909.3506	NaN	NaN
4.5363	NaN	NaN	NaN	11469.7422	NaN	NaN
4.6698	NaN	NaN	NaN	11681.9395	NaN	NaN
