x	Y_20180130_15100b_1_6g	Y_20180130_15100b_13_15g	Y_20180130_15100b_14_3g	Y_20180130_15100b_15_1g	Y_20180130_15100b_17_10g	Y_20180130_15100b_18_20g	Y_20180130_15100b_22_10g	Y_20180130_15100b_23_5g	Y_20180130_15100b_23_6g	Y_20180130_15100b_3_2g	Y_20180130_15100b_3_7g	Y_20180130_15100b_4_11g	Y_20180130_15100b_5_14g	Y_20180130_15100b_8_4g	Y_20180130_15100_4_15g
0	12672.8	13149.126	11481.457	11600.773	13263.013	12048.433	10947.631	11958.735	12433.726	13987.132	13595.524	13111.951	10750.069	12840.085	11324.677
0.1334	13354.574	13201.574	11360.053	12056.621	13831.661	12368.051	11851.555	14120.215	13425.4	15800.921	13965.883	14462.523	11228.801	14760.338	12146.19
0.2668	14715.344	14184.671	13123.417	13379.9	15354.895	13646.286	13956.349	17391.951	15450.295	19808.379	15296.811	14952.927	12401.387	17932.73	15602.647
0.4003	17641.215	17069.072	15153.014	15982.06	17363.184	15713.221	16555.672	17155.963	19357.648	20282.977	18494.188	16223.005	15806.823	20434.934	16584.77
0.5337	19371.195	19998.02	14282.62	17520.67	19565.492	19890.145	17741.074	15332.385	21387.832	19859.143	23165.84	15262.961	18801.08	20728.775	14865.056
0.6671	19255.619	19578.973	14357.545	16547	17906.105	23695.043	17148.865	13865.98	18031.096	18757.674	24416.215	14177.653	18797.346	18222.107	13740.023
0.8005	17946.814	17713.857	12739.467	16442.605	15913.569	23144.107	15606.594	13443.693	16285.277	19001.381	22664.295	14938.218	17235.924	17327.111	13600.765
0.934	18031.748	15781.18	12978.746	15210.154	14867.096	17852.008	13800.79	13279.393	15074.45	19161.635	20379.418	16482.762	15611.418	16477.195	13188.334
1.0674	17006.234	15335.924	13747.688	14532.901	14129.658	15861.22	13386.817	13411.128	14725.67	18272.312	17849.994	16537.389	15211.264	14833.349	12703.85
1.2008	16351.121	14928.828	12994.529	14453.199	13010.047	14509.548	13473.271	13896.745	13911.749	18589.381	18191.354	15397.071	14958.738	14333.861	12737.605
