x	Y_20180212_14590b_16_6g	Y_20180212_14590b_16_9g
0	41100.938	34303.191
0.1334	38413.879	34758.598
0.2668	38212.102	34135.145
0.4003	38658.617	34010.43
0.5337	39925.637	35993.27
0.6671	40648.445	35471.816
0.8005	42019.629	36206.633
0.934	40587.695	35011.719
1.0674	42489.031	35328.949
1.2008	41928.57	34938.996
1.3342	42694.602	36189.152
1.4676	42757.113	36497.812
1.6011	43069.082	36666.266
1.7345	41808.066	36989.523
1.8679	42343.16	35483.055
2.0013	42004.676	35429.355
2.1348	42040.324	36153.105
2.2682	43070.312	36925.527
2.4016	44999.586	38141.645
2.535	43276.492	37693.586
2.6684	44674.637	37032.797
2.8019	49645.973	38929.832
2.9353	62991.359	45476.168
3.0687	89612.523	62386.34
3.2021	127599.367	85973.641
3.3356	128361.398	86347.555
3.469	90784.438	63402.297
3.6024	62573.68	45089.613
3.7358	NaN	37945.855
