x	Y_20181208_15694_1_12g	Y_20181208_15694_1_6g	Y_20181208_15694_1_7g	Y_20181208_15694_13_3g	Y_20181208_15694_13_6g	Y_20181208_15694_15_2g	Y_20181208_15694_16_7g	Y_20181208_15694_19_13g	Y_20181208_15694_19_6g	Y_20181208_15694_2_11g	Y_20181208_15694_2_8g	Y_20181208_15694_20_3g	Y_20181208_15694_20_5g	Y_20181208_15694_23_12g	Y_20181208_15694_23_4g	Y_20181208_15694_23_5g	Y_20181208_15694_24_9g	Y_20181208_15694_25_1g	Y_20181208_15694_26_7g	Y_20181208_15694_28_2g	Y_20181208_15694_28_6g	Y_20181208_15694_28_7g	Y_20181208_15694_7_12g	Y_20181208_15694_9_14g	Y_20181208_15694_9_7g
0	11756.4014	13040.0283	13201.3242	11219.0283	12554.2432	12459.6016	11376.334	10121.1328	11763.1455	15346.2168	13599.8232	10356.2734	11079.7246	10879.0859	11690.2246	12113.1533	10915.9404	14187.3301	12856.4365	12800.9766	10496.0566	11002.7998	13754.4531	10956.9756	10993.6396
0.1334	12046.8945	14347.3018	12334.7881	10866.4287	14353.083	12419.543	11194.5615	10378.4619	12190.667	17732.4746	14589.2393	11338.665	11807.9004	11129.5098	11813.3418	12098.3369	11298.3438	17079.0762	14462.4463	12997.1328	11214.8545	10821.0029	13998.0791	11135.6523	11220.3564
0.2668	14553.4639	16836.8906	14233.04	11085.6084	15009.8916	12876.1719	11098.3135	10836.5459	12028.9775	21310.916	16795.9199	12372.918	11988.9102	11618.332	12603.7754	12777.3213	11513.332	18623.2266	16726.7578	14111.9854	11763.2822	10740.8887	15363.2988	11937.8838	11755.5879
0.4003	15190.9287	18823.8027	17209.7109	12301.0508	15973.9502	13509.0518	11165.1318	12010.5068	12191.2412	20315.1484	17981.8711	15077.8906	12620.749	11975.0947	13999.1064	14359.9111	13292.6611	18841.6738	15733.1943	14260.1328	14154.3887	11834.6279	16694.0625	11228.7939	13102.7217
0.5337	14051.9961	17971.123	18693.5195	13833.3574	15559.7852	14134.2734	11616.6973	14477.3418	14200.7314	17454.3242	16371.0479	16410.6113	13083.0488	12948.3516	15908.5723	15733.7373	16368.0107	17050.8359	15194.5098	16571.957	15747.1895	13080.5938	18830.1953	12178.6904	14708.2158
0.6671	12393.4336	16700.9648	22067.3828	17485.0957	15283.6992	16869.3496	13596.3281	17177.3516	15776.8945	14844.707	14586.8984	15280.625	14856.8955	13016.6924	18468.1465	15207.6367	17183.0469	14165.7656	14830.8135	18888.0781	14851.248	14119.0283	20445.4844	12973.9863	16678.8477
0.8005	11170.8486	15785.5947	19847.5781	15918.9883	13103.5801	20586.3652	15712.8574	17990.8477	16074.8037	13903.2168	14263.4873	14932.3799	16176.5762	12540.7256	17168.2324	14462.9092	15851.3145	13775.1943	13934.6191	20126.5117	14114.1748	13556.2881	20224.1484	14282.5254	17059.1055
0.934	11017.4111	14669.8203	18603.2773	14985.4609	12847.8477	23633.957	15627.6709	17074.1738	14296.5869	13500.6406	13634.3828	15691.751	18076.291	12235.4521	16235.4326	15224.4795	15191.0664	12757.335	13931.9219	18897.4688	12788.5771	13441.2607	19433.2793	14557.1152	16465.0195
1.0674	10891.9717	14363.165	18673.1738	14670.5098	13098.7529	20671.9258	14380.5352	14185.3779	13267.2471	12486.5488	14111.6006	14845.4111	15985.7178	12068.3145	15426.3428	15543.4297	13984.4697	12788.0068	14131.4141	17587.6973	12740.4434	12926.4219	19429.8848	14289.9238	16958.3203
1.2008	10787.5654	13577.2178	16884.1621	13143.1777	14110.6836	17793.7812	13938.5518	13039.1133	13118.5576	12138.5303	14280.502	13963.752	14006.7471	11976.6152	14586.7227	16333.7773	14348.5967	13278.0459	12980.3066	17826.0176	12823.3633	13034.4609	16945.2461	13755.0488	15744.2217
