x	Y_20181208_15100b_11_3g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_3g	Y_20181208_15100b_15_7g	Y_20181208_15100b_16_8g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_6g	Y_20181208_15100b_18_3g	Y_20181208_15100b_18_9g	Y_20181208_15100b_19_3g	Y_20181208_15100b_19_5g	Y_20181208_15100b_19_6g	Y_20181208_15100b_2_3g	Y_20181208_15100b_20_11g	Y_20181208_15100b_20_12g	Y_20181208_15100b_20_8g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_3g	Y_20181208_15100b_21_4g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_8g	Y_20181208_15100b_22_6g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_26_11g	Y_20181208_15100b_26_1g	Y_20181208_15100b_32_5g	Y_20181208_15100b_4_2g	Y_20181208_15100b_4_5g	Y_20181208_15100b_5_2g	Y_20181208_15100b_5_3g	Y_20181208_15100b_5_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_8_4g	Y_20181208_15100b_9_1g
0	29797.5332	30398.4941	27598.9062	32051.8203	31224.6035	28453.1387	31281.3203	29581.7969	31693.1953	20888.8418	30415.1699	25385.6973	29201.0039	29062.1055	27817.0137	31417.166	31001.166	28243.6172	33015.0078	27708.2832	29181.2891	27833.4766	31239.5664	30073.4043	27941.4668	26999.4082	31390.8535	28192.0449	30001.3379	32256.5918	30625.584	32228.5156	29645.8457	31979.9883	26676.2207
0.1334	30645.6172	30913.2676	27080.9277	31773.2793	31888.4902	29983.9551	30660.2754	28696.959	32038.6328	25151.334	30456.6973	27850.6953	30479.0762	28401.5195	26680.875	31770.5098	30781.502	28276.4766	30176.0703	29457.375	29663.7285	28898.2305	31075.959	30282.4668	27650.2324	28404.4336	30557.9805	27965.2148	29566.3086	29418.9648	29948.4707	31518.9062	29223.6152	31378.2715	27778.1504
0.2668	32078.1113	31882.459	28464.7383	30707.3223	32559.7734	28305.2246	31006.0547	30557.9531	32015.5215	26286.3887	30279.7578	26165.9316	31974.9453	28389.4551	26956.041	32087.2949	31841.9902	27435.8457	28321.8848	29260.3164	30251.5938	29627.0156	30551.707	29542.25	28544.7129	28819.4141	30649.4648	28838.6367	29818.125	30416.875	30356.168	31363.6211	30228.082	32329.9414	26437.0801
0.4003	31116.1055	31740.9785	26750.0098	31772.2344	32958.7812	29268.8789	31346.373	31146.2363	31857.1973	27091.2285	30840.8926	27098.832	30798.9258	28938.3555	27205.6641	33108.9297	32496.4414	28145.3906	27922.7168	27318.2109	29998.9883	30242.0996	32658.3359	31239.2676	28756.7949	28423.0488	30058.7129	28982.043	30347.123	29795.4238	31210.2285	32104.5938	29492.5312	32005.6855	26778.5215
0.5337	31327.4258	31793.3105	28675.4531	30950.6855	30474.7383	29622.1426	31615.2812	30334.1816	31799.4609	27500.3301	31288.4375	27305.9219	30719.4336	28809.6641	27648.6992	33445.1172	33468.793	30237.832	27064.4297	28435.873	30977.3027	30461.3711	34014.543	30832.1699	27708.3301	29644.7754	30986.9355	29877.6816	30880.502	32003.3809	31517.5371	32879.3711	30104.9277	33152.8906	26739.9336
0.6671	30959.2422	31903.4668	29045.75	29970.7598	30519.6094	29754.9043	31160.6543	30467.2383	33313.0586	27615.0332	30925.1777	28033.8809	30711.1094	30455.2676	26686.4238	33116.7734	36398.1055	35007.1562	27702.0078	26575.6328	34399.9297	30059.4434	35995.5664	30892.5859	28945.0059	30052.9473	30801	29126.0859	31541.2871	32115.0684	31652.6191	32074.2578	30777.3242	33239.9844	30408.0234
0.8005	30650.3594	31640.1582	31418.6953	32023.8535	31230.7148	29685.5312	31747.5059	31812.1016	34350.043	27131.3223	31979.5312	27201.916	31242.6953	33428.9922	28665.4102	31970.3223	46100.0781	43326.7773	29568.8047	28834.8066	35615.5117	33429.7539	38869.875	30403.0078	28338.6621	29713.3125	31522.0176	29264.1387	32257.2227	35966.0742	32777.6289	35181.75	30440.0273	32942.5781	33332.8164
0.934	30649.0117	31023.0039	30781.4805	33741.7031	31961.9277	28989.293	31504.4336	33494.8164	36734.5078	26881.5039	32512.3516	28687.3555	31090.4121	44920.3086	27095.8906	32361.916	57637.3125	58765.0078	32755.6855	31631.0254	38454.3789	36329.0195	37956.2031	31676.0508	29352.8418	30016.1543	29593.1348	28835.9395	32132.1562	39348.4922	33745.7305	40420.2148	32787.7852	33951.1875	42954.3555
1.0674	31372.2383	30219.3848	34131.9336	38460.0039	32677.0645	29647.7695	33574.2969	39255.5234	44489.4492	30194.7637	39158.4883	32496.5605	31326.1211	60150.9961	30566.9082	33726.0039	59887.9062	75175.5078	42119.4609	35917.5703	53363.3242	46223.7461	34885.7188	34555.0234	31301.3652	31255.5508	30781.4727	30641.5215	32749.418	46724.4258	33049.1406	55315.4922	33955.375	33997.9102	59113.8555
1.2008	32409.7422	32171.1191	38037.1719	49600.0117	34011.0781	30001.8418	35780.0391	54005.625	59885.6406	37781.1758	50613.5898	38752.6758	30731.0391	61855.7344	36885.4258	33315.9062	49400.6836	63140.9414	48072.2578	38249.0273	87535.2344	62362.6055	31638.3555	42444.9062	37335.2344	34800.0859	31578.5059	33394.6836	34269.207	62916.5703	35523.6523	66242.1016	37172.6289	33633.2305	59387.3867
