x	Y_20180224_15102_10_7g	Y_20180224_15102_12_8g	Y_20180224_15102_15_5g	Y_20180224_15102_18_2g	Y_20180224_15102_23_7g	Y_20180224_15102_25_9g	Y_20180224_15102_26_3g	Y_20180224_15102_27_1g	Y_20180224_15102_28_13g	Y_20180224_15102_28_5g
0	39606.5	31358.094	30500.826	35245.695	38930.109	35325.762	35320.344	36697.992	35556.039	39480.785
0.1334	39761.555	32034.75	32232.621	36092.773	38846.738	35608.477	34250.449	37444.188	36355.348	40807.34
0.2668	38132.84	32016.193	32452.787	36194.848	40067.855	37583.457	33841.488	37296.785	36464.836	40579.094
0.4003	38477.645	32536.906	32382.924	36839.371	40707.129	36638.957	35268.262	37708.973	35601.664	39698.5
0.5337	36583.551	31826.355	33563.223	35296.656	39037.426	37281.883	35440.633	36599.086	37084.062	42030.66
0.6671	39530.027	33962.68	32914.078	34967.344	39242.402	36398.887	35589.27	38945.566	35999.68	40674.977
0.8005	36887.238	35541.938	33711.141	38240.184	38786.227	36072.074	35833.102	40197.719	35465.355	40456.859
0.934	38197.996	34577.617	33425.164	38220.68	38464.207	36337.691	35915.75	40969.473	37100.953	41420.43
1.0674	39124.34	33832.023	33925.125	36666.301	39751.988	36757.707	36836.82	39934	37649.777	41540.734
1.2008	39757.281	34544.562	31571.654	35299.84	39849.047	36721.828	37268.074	37604.316	37381.426	40172.859
1.3342	38943.852	35246.562	31873.285	34949.477	41082.191	36371.211	36765.684	38383.055	38718.305	38960.309
1.4676	38232.82	34916.816	33187.156	35118.758	40731.305	34923.652	38419.109	37543.48	38483.93	40440.715
1.6011	38622.938	34448.277	33908.031	35135.305	40945.074	37074.117	36878.508	37482.664	36966.586	40182.422
1.7345	38209.961	34127.68	32426.709	33965.695	41038.273	36266.18	36465.723	37058.902	37167.613	37916.023
1.8679	39515.559	34902.832	33566.418	36245.98	40851.969	36102.695	35299.363	38118.496	37503.781	39090.789
2.0013	38082.305	33461.488	33836.977	37000.062	39025.711	34416.664	35811.121	38767.488	38710.453	38516.883
2.1348	37821.141	32854.539	33601.797	33192.488	37512.785	35208.406	36388.477	36680.129	37137.801	37696.477
2.2682	37537.621	35789.809	33845.023	33504.488	39388.273	35114.543	36920.75	37321.785	36144.871	38049.715
2.4016	38877.133	32986.566	32364.402	34304.066	39766.043	35519.211	34555.246	36079.758	35794.617	39300.754
2.535	39809.617	34352.18	31952.578	35305.137	41685.223	37099.918	33177.969	35587.508	36441.676	39126.246
2.6684	40441.785	36368.695	32492.926	35364.574	40342.324	36215.746	33900.727	35744.711	36398.305	38845.891
2.8019	41663.984	36961.199	32769.781	36049.543	42075.305	37110.711	35252.426	36018.914	38338.305	40274.117
2.9353	48464.266	36960.762	34325.793	39550.523	44463.375	38007.953	35180.016	36590.379	41711.848	39782.109
