x	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_14_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_3_2g	Y_20181208_15692b_7_1g
0	11045.6045	11065.1807	10416.7344	9523.9873	9949.5898	10589.3467
0.1334	12373.7627	12200.5693	11786.9189	10111.9395	10080.46	12035.8896
0.2668	16324.71	15095.3145	15275.3486	10460.9678	10554.7695	14116.9287
0.4003	18155.1895	16794.5176	17837.2832	11135.4258	11417.8701	15717.3125
0.5337	17832.3262	15509.3125	20644.1934	13961.3057	13304.6621	15409.7861
0.6671	16164.291	15230.792	20725.7773	16022.1582	14726.1699	14506.7197
0.8005	15753.9121	16218.4473	18605.8008	18616.293	13824.6133	14069.1553
0.934	14488.3799	16657.3086	17808.3145	18152.8105	14035.9844	14684.5762
1.0674	15146.8877	17191.3691	17664.2891	17218.8809	14140.2666	14883.7422
1.2008	14108.7715	17505.1777	17015.9258	16166.5576	14855.5811	14063.877
1.3342	13765.2529	17458.8496	16474.0078	15582.1514	15293.5674	13574.6514
1.4676	13500.5645	17581.8184	15552.9414	15402.3252	14630.209	13019.085
1.6011	13952.8467	17121.4805	14456.4121	16090.5693	14357.376	13905.626
1.7345	13020.3418	16853.0156	14341.8662	16017.8291	14314.5371	14480.6387
1.8679	13495.375	15256.4434	14327.9502	16412.834	14201.6709	14464.4639
2.0013	13148.7549	14610.501	15181.5195	15641.7041	14368.6279	14170.7734
2.1347	13401.7354	14471.1396	15518.1885	15031.9766	13821.3525	13549.165
2.2682	12725.1826	13968.6533	15226.8242	15835.6133	14416.6836	14050.4131
2.4016	13923.7051	14457.3643	15884.2373	15169.1289	14764.8242	14683.043
2.535	14496.6631	14314.3643	16190.7451	13835.3359	14050.8789	14127.1787
2.6684	15109.0176	13728.292	15092.4707	14464.8799	13139.1797	14214.9463
2.8019	14266.2539	13653.4053	14081.7754	15363.2715	13859.5215	13783.0938
2.9353	13816.9424	12608.9375	13834.332	15190.0254	13780.9795	13382.3115
3.0687	13295.7861	12891.9941	13986.2891	15106.041	14314.0762	13636.6104
3.2021	12872.125	12491.8965	13944.5479	15256.2969	14596.0957	14684.2451
3.3355	13345.8096	12551.1299	13962.041	15023.248	13062.5254	14815.75
3.469	13524.7148	NaN	13527.6006	14278.0361	12270.5283	14114.1523
3.6024	14095.7344	NaN	12881.8574	13759.582	12192.8477	13090.1475
3.7358	12813.5654	NaN	11983.2441	12965.5146	12406.7969	NaN
3.8692	12813.1396	NaN	NaN	12380.1084	12292.6152	NaN
4.0027	NaN	NaN	NaN	11136.2275	12330.71	NaN
4.1361	NaN	NaN	NaN	10989.2295	11937.126	NaN
4.2695	NaN	NaN	NaN	NaN	11241.1064	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
