x	Y_20181208_15794b_10_2g
0	8672.8291
0.1334	9256.1201
0.2668	10145.9775
0.4003	11580.9219
0.5337	12428.2139
0.6671	13275.5771
0.8005	12010.7744
0.934	12514.9541
1.0674	12702.001
1.2008	12563.2129
1.3342	11761.7031
1.4676	12580.5479
1.6011	12030.2529
1.7345	11676.2334
1.8679	11880.5615
2.0013	12340.583
2.1347	11678.5723
2.2682	12010.0391
2.4016	11874.2793
2.535	11541.2656
2.6684	10862.5752
2.8019	10472.7842
2.9353	10759.5059
3.0687	10223.9326
3.2021	NaN
3.3355	NaN
3.469	NaN
3.6024	NaN
3.7358	NaN
3.8692	NaN
4.0027	NaN
4.1361	NaN
