x	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_9g	Y_20181208_15692b_15_1g
0	31209.1133	28203.6758	26432.8086
0.1334	29968.4082	28867.3867	26965.3164
0.2668	31735.707	30230.2773	25576.4434
0.4003	30468.1777	30144.2383	25894.8262
0.5337	32187.6152	31122.5938	26467.8828
0.6671	30307.1992	30474.6719	25624.7266
0.8005	29814.5566	32780.2461	25290.7285
0.934	29417.1055	31763.2207	27198.6055
1.0674	30130.5703	32998.4414	26616.3027
1.2008	31726.5156	32885.0938	27535.3555
1.3342	31401.748	32316.5977	27360.3809
1.4676	30691.6797	33776.9844	28377.9277
1.6011	31471.248	34960.9727	29822.1152
1.7345	32527.916	35332.9062	36574.3359
1.8679	32114.6816	37077.8945	52353.0938
2.0013	32963.8359	44303.0703	60229.6602
2.1347	34395.9688	50303.5039	47918.8242
2.2682	38061.5	45222.6055	35231.1172
2.4016	45688.5703	37525.3008	30083.8848
2.535	62037.0039	37005.2695	28295.418
2.6684	64624.9219	33765.1406	NaN
2.8019	48545.5859	32124.3477	NaN
2.9353	38196.9805	NaN	NaN
3.0687	35500.7461	NaN	NaN
3.2021	NaN	NaN	NaN
3.3355	NaN	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
4.0027	NaN	NaN	NaN
4.1361	NaN	NaN	NaN
4.2695	NaN	NaN	NaN
4.4029	NaN	NaN	NaN
4.5363	NaN	NaN	NaN
