x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_9_11g
0	9833.4414	11874.1895	10079.8525	10484.1631	10400.3047
0.1334	10302.2803	13165.2354	10285.2227	11865.4756	11845.5918
0.2668	11034.4717	15837.2461	10507.6621	13898.7607	14252.9248
0.4003	13389.4502	19086.2559	10735.7939	16914.2754	16274.0723
0.5337	16600.0059	18543.3555	11099.415	18856.7969	16268.5264
0.6671	18906.6914	20001.9668	12477.5352	19311.7832	15860.8555
0.8005	16184.6504	18727.459	13359.1641	16576.8242	15089.9404
0.934	14345.9766	17036.7754	13095.3271	15443.4863	14890.7998
1.0674	13754.5342	16692.5859	12180.4258	13754.1416	14015.7842
1.2008	13812.6338	15597.9248	12582.0879	12920.5928	12812.1006
1.3342	13792.6035	15078.2725	12192.1494	14070.1318	12964.2471
1.4676	13860.8809	14480.8906	12889.6885	14130.3984	12415.2178
1.6011	14643.2881	14231.165	13654.8857	13105.8359	12455.0771
1.7345	14230.0576	15305.2793	12712.2754	12452.5684	12337.208
1.8679	13648.3994	14932.5049	13214.2275	13986.2383	12920.9639
2.0013	13977.9355	13562.4639	13272.7656	13080.0693	15239.624
2.1347	13486.6914	13210.4229	12536.3994	12961.1182	15237.3613
2.2682	13384.7451	12897.4424	12994.8359	12402.9395	15738.0869
2.4016	13827.2393	11896.4014	13528.6182	13259.874	15098.1172
2.535	14083.8086	11392.8428	13279.7275	14117.1406	13846.2412
2.6684	13390.04	11050.4375	13135.543	14173.6484	14246.3584
2.8019	14254.7217	11941.0762	13972.2461	13526.8037	14489.6611
2.9353	13326.7627	11905.6787	14240.7363	14692.1768	14104.3184
3.0687	13256.3096	11751.6875	14033.8125	13775.3721	13203.6602
3.2021	12636.5879	11596.3203	13283.1904	14309.958	12734.7354
3.3355	12509.6572	11263.9961	13183.3994	14125.707	13260.1582
3.469	12522.1006	11717.6172	12761.7842	12860.9277	11973.0234
3.6024	12076.0039	11485.3232	12766.3184	13410.1035	11731.3955
3.7358	12653.1172	11899.1602	12242.8711	13423.5781	12251.8525
3.8692	12483.2871	11847.5186	12687.3223	13440.2666	NaN
4.0027	12361.3369	NaN	12486.4561	13287.7002	NaN
4.1361	12226.4004	NaN	NaN	NaN	NaN
4.2695	11536.2998	NaN	NaN	NaN	NaN
4.4029	11295.75	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN
