x	Y_20180224_15102_10_3_S_g	Y_20180224_15102_11_10g	Y_20180224_15102_11_5g	Y_20180224_15102_12_1g	Y_20180224_15102_12_2g	Y_20180224_15102_12_3g	Y_20180224_15102_13_13g	Y_20180224_15102_13_9g	Y_20180224_15102_14_2g	Y_20180224_15102_15_17g	Y_20180224_15102_15_1g	Y_20180224_15102_15_9g	Y_20180224_15102_16_4g	Y_20180224_15102_19_4g	Y_20180224_15102_19_5g	Y_20180224_15102_19_6g	Y_20180224_15102_19_7g	Y_20180224_15102_19_8g	Y_20180224_15102_20_2g	Y_20180224_15102_20_6g	Y_20180224_15102_21_2_S_g	Y_20180224_15102_21_4g	Y_20180224_15102_22_5g	Y_20180224_15102_22_6g	Y_20180224_15102_23_6g	Y_20180224_15102_24_2g	Y_20180224_15102_25_11g	Y_20180224_15102_25_13g	Y_20180224_15102_25_15g	Y_20180224_15102_25_8g	Y_20180224_15102_27_10g	Y_20180224_15102_27_11g	Y_20180224_15102_27_6g	Y_20180224_15102_28_12g	Y_20180224_15102_28_14g	Y_20180224_15102_28_1g	Y_20180224_15102_28_3_S_g	Y_20180224_15102_28_7g	Y_20180224_15102_3_6g	Y_20180224_15102_4_6g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_6_1g	Y_20180224_15102_7_2g	Y_20180224_15102_7_6g	Y_20180224_15102_9_2_g	Y_20180224_15102_9_6_S_g
0	15838.209	14116.973	15252.301	13502.419	13812.648	12979.232	16632.717	14222.338	12765.244	13760.947	12804.028	13051.686	15035.8	14215.933	16103.711	12564.498	13259.783	17000.004	14221.134	12996.342	15750.588	20559.338	12488.6	14815.368	15806.626	13131.371	15344.771	13148.585	12006.087	17854.592	15652.796	16063.971	14289.22	14153.935	15345.665	14896.636	15236.663	16030.64	18016.801	16901.336	13233.459	14757.723	15994.5	13784.562	13901.993	15350.246	14112.738
0.1334	17842.107	16660.484	17002.787	15356.414	16135.42	14126.297	16968.148	15254.445	14799.863	14646.049	14984.986	13710.356	16867.779	16628.504	15710.124	14891.52	14625.742	17983.35	15526.535	14566.613	15796.812	24886.371	12791.918	16481.617	17625.99	15116.93	17356.318	13476.013	12189.008	18466.832	19006.168	16977.703	13560.125	15636.569	17160.803	16096.877	15627.271	18696.832	19778.877	17533.74	14563.052	19631.031	15491.516	15287.941	15901.748	16813.822	15541.896
0.2668	23028.385	22923.248	23084.205	16557.049	19407.85	18193.098	19325.629	19312.02	17201.859	17968.473	18589.428	15484.038	20878.621	21339.781	16886.492	20449.391	15279.678	23757.758	18354.426	18774.637	16451.811	34292.98	14017.627	18720.375	21609.65	20291.658	21648.291	15562.964	14147.875	20076.344	25814.725	18494.309	14611.586	18982.568	23296.439	17085.406	16963.283	23406.793	27102.252	22317.461	15517.778	27579.789	16698.354	18283.371	23226.568	20531.479	19914.008
0.4003	34158.992	37752.621	32977.555	22437.596	23261.047	21943.604	24210.902	24180.529	20661.879	25820.877	26196.791	17717.357	30891.08	27568.34	18655.635	26887.943	20720.785	31502.498	24768.922	27731.287	20103.504	36730.98	16724.307	26247.656	29829.762	28451.977	33499.793	19379.535	16098.144	26494.439	28535.152	23281.199	16758.883	24763.652	30400.051	21296.783	21106.361	29656.426	32939.297	28189.031	20387.072	30231.746	19710.244	24139.428	33547.906	28631.654	27833.518
0.5337	45613.633	57718.891	39163.918	27390.691	23147.488	21534.719	26268.893	26782.479	20215.439	28616.713	32829.57	22266.748	37991.805	29751.227	25151.381	27933.336	25279.146	35662.508	32162.932	31284.775	25020.562	28220.928	23180.908	35894.848	37688.66	29020.775	51466.551	25873.51	21500.402	38086.41	25289.127	35145.359	20134.367	30521.463	34818.457	33223.18	29169.418	31168.736	29006.018	29707.441	27771.436	27290.736	29427.725	25735.602	37286.25	34086.105	30182.135
0.6671	43508.125	59166.543	32129.436	23274.566	22258.041	18954.16	25994.949	22288.045	19709.598	22477.402	33273.973	21606.527	41076.48	25031.09	38429.953	23396.68	26619.906	29560.164	31104.902	30103.104	28258.723	22594.371	29036.791	34335	36895.379	23850.83	57730.777	23287.914	30273.557	43613.195	20282.273	48947.809	19256.158	27689.527	30136.375	42859.684	34690.469	26732.797	25808.512	27593.775	29903.1	20830.457	38297.277	22573.387	28613.08	32916.973	25914.625
0.8005	32546.107	46346.34	25982.998	21061.814	23613.715	17878.139	24915.521	18921.754	18908.645	17347.77	27442.178	19898.299	34535.266	21070.529	49007.414	18617.463	23624.553	26459.857	26629.271	25584.908	26107.977	18923.041	29731.041	27796.391	29679.506	20059.836	43938.207	20628.414	32134.611	39198.941	19906.391	48387.887	18453.91	23471.043	24063.395	42579.824	30998.598	22154.471	26051.465	23375.84	25498.273	18261.477	37440.531	19162.471	22969.043	30209.605	20248.447
0.934	27441.01	36089.547	20924.473	19068.316	22843.852	17633.729	22749.035	17105.02	17862.66	16789.984	25031.586	17129.031	30143.057	19951.953	47798.438	16585.906	20091.279	26632.377	24170.436	24015.518	23609.045	17340.15	24275.928	23618.525	22547.113	19331.064	33576.34	20923.674	27004.713	33573.973	18653.158	35362.012	16243.168	20461.217	21867.977	39114.359	23260.975	19795.035	26414.174	23033.148	21805.225	17629.355	29721.965	18027.234	20818.299	27019.504	17353.082
1.0674	23568.566	29997.768	18598.129	18011.039	22241.48	16512.215	21302.418	15600.185	17245.777	15367.871	23689.977	15506.403	26221.885	20232.748	39947.992	15883.313	18731.25	26268.48	22932.055	22644.119	21819.916	16295.396	19809.764	21302.195	19217.523	18741.805	29095.732	19024.484	22067.727	30377.123	17276.68	25202.084	15521.527	20415.891	20684.062	34395.586	19232.807	20155.619	24725.564	23646.316	17732.24	17253.801	26296.35	17704.043	18617.74	22755.873	16789.883
1.2008	20358.115	28063.943	18841.58	17378.428	21071.383	18368.336	20076.846	14092.445	17845.705	17024.545	23868.541	15333.81	24304.73	20733.484	33634.723	16366.663	19329.895	24423.068	21942.146	21932.25	20717.926	16799.842	17823.717	21327.57	19369.299	18315.02	26592.775	18454.803	20415.111	26583.963	15815.979	20986.588	15424.301	21281.869	17909.432	29747.115	17807.736	21100.213	23731.002	22648.1	18129.947	16193.752	26600.42	15908.002	18781.738	20965.908	17755.469
