x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_11_4g	Y_20180224_15102_13_2g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_2_8g	Y_20180224_15102_22_2g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_26_4g	Y_20180224_15102_7_1g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
0	42175.668	35537.973	33115.441	38231.711	33498.582	35507.848	32310.482	49997.316	36761.391	39704.031	39036.277	34334.879	35830.414	35487.027	34513.129	38056.461
0.1334	40969.508	34379.047	32939.77	37850.926	33150.887	37499.91	32174.09	45131.516	36272.246	38742.43	38046.262	35386.504	36822.004	34985.355	33500.125	39009.906
0.2668	42429.328	36062.461	33235.785	37250.625	33489.219	39807.312	30802.684	38679.391	35886.609	40539.082	38388.797	36979.07	37774.023	34775.414	34801.414	37370.066
0.4003	41499.328	35419.336	34109.508	36279.531	34406.465	38988.457	31813.295	35499.168	36824.535	39566.367	39309.426	37857.93	38628.531	34492.961	35622.164	38425.027
0.5337	40450.395	34312.496	32520.244	36849.531	33221.793	37918.785	30342.061	34099.98	37916.723	38381.453	38543.75	37912.34	40188.02	34681.648	36268.461	40847.844
0.6671	40924.945	35083.285	34092.934	38699.441	34523.59	37551.195	31540.447	34110.414	38650.055	37712.84	39389.098	38904.934	40144.453	36970.883	35861.414	38663.758
0.8005	40613.602	36401.414	34983.316	40027.156	35020.684	36352.758	32394.135	34202.047	38982.285	38899.574	39756.586	39050.492	38791.902	34999.621	34649.727	39900.68
0.934	43451.539	34098.77	34176.297	40202.418	34859.965	38613.82	33245.613	33681.719	38847.797	39710.305	39798.508	40061.027	40791.902	36383.75	37123.113	39258.836
1.0674	44127.555	36045.121	36321.48	41748.809	34971.551	38730.008	32903.5	33734.945	38361.68	38612.227	40819.543	40623.367	41177.891	35912.297	36902.504	39256.051
1.2008	43914.66	35662.902	36314.477	40547.957	35444.809	38548.875	32741.545	33877.555	39828.16	38801.898	40425.48	39497.098	41652.223	37205.23	37332.164	40231.809
1.3342	44750.66	36797.316	35858.988	39677.777	35525.477	37137.102	32687.955	33337.398	39133.734	39159.402	40249.574	39664.098	41211.859	37287.043	37579.781	41481.254
1.4676	44854.738	35288.453	35793.453	41194.223	36504.586	36961.273	31801.123	33132.879	40921.324	37935.562	41124.48	37552.43	39760.102	36353.23	38746.426	40367.504
1.6011	45714.809	34969.969	36226.469	41108.191	37251.945	35859.859	33592.73	33921.281	41841.961	36408.723	40801.844	37501.914	39503.215	35098.004	37565.762	40015.914
1.7345	44749.754	36504.383	36493.965	42535.289	35941.004	35898.691	33815.777	33526.23	41509.371	35511.41	40736.301	39101.531	36412.117	35577.492	37238.309	39971.633
1.8679	44492.648	37845.512	37504.676	42802.879	35549.66	35658.387	32906.719	33975.988	38730.418	37130.934	40480.875	36623.469	37808.66	35217.648	37371.199	39778.902
2.0013	42994.777	38052.406	36800.824	39251.605	34321.523	34862.945	32544.094	34082.043	38404.504	37820.203	40026.113	37214.73	38138.496	35537.047	35569.746	41698.598
2.1348	43585.977	39883.57	36423.051	38623.227	33383.074	35017.215	32786.203	34274.195	40188.043	37998.66	39750.098	36702.617	38262.465	32724.207	35069.918	41669.422
2.2682	41451.789	38336.227	34842.605	39147.016	34590.332	35254.641	31761.525	34705.395	40912.719	38292.031	39449.836	37812.352	39038.852	33991.949	36238.777	41445.48
2.4016	41276.984	39557.766	35248.34	38426.543	36019.027	35632.441	32529.461	33921.242	40016.223	37577.594	38899.301	37484.66	41978.074	33647.285	35403.855	39999.816
2.535	40796.543	39391.535	35067.664	37985.043	35052.203	37116.445	33246.352	34076.184	39369.375	39576.684	39954.395	36650.758	37412.285	35260.105	35564.07	40284.582
2.6684	42509.996	38397.145	35879.367	35746.406	34871.973	36517.547	33005.066	34630.641	37835.859	39451.914	38191.422	36528.508	39276.531	35821.766	36578.355	40588.469
2.8019	40813.902	37152.277	36509.074	36089.461	33261.129	36448.305	33072.305	34178.906	38302	40210.719	39609.199	36890.105	38359.941	35603.48	36362.551	41143.684
2.9353	39835.926	38908.711	35992.18	38919.684	34288.922	37764.617	33001.879	37113.363	38946.438	39959.887	39611.137	36161.477	38921.051	35359.082	35612.43	41406.879
3.0687	40420.676	40207.91	37108.16	37783.711	34932.863	37204.852	34672.566	38912.316	39129.637	40933.59	39206.117	37384.93	40471.582	37262.227	35812.824	42837.824
3.2021	42491.129	43250.277	38533.008	37590.578	38265.309	38155.004	35362.613	46577.52	39822.035	41331.883	39500.047	40016.18	39951.566	37388.141	37028.105	45724.434
3.3356	45013.176	49984.574	41046.969	42709.504	45046.777	38932.637	38276.504	62675.68	42749.949	45356.98	41178.598	45679.777	43619.836	47071.898	40898.133	52906.125
3.469	50741.656	65982.438	46545.328	51263.805	64480.441	41642.57	51079.402	100772.547	46704.484	55079.43	43021.789	57310.133	51669.281	68451.281	44475.398	71949.016
3.6024	66482.188	109429.672	58882.051	67154.812	97580.75	48770.84	80601.016	138632.734	60576.918	70339.461	47177.578	80703.672	66545.891	90211.102	55509.066	116361.023
