x	Y_20181208_15794b_10_5g	Y_20181208_15794b_6_11g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_5g
0	29467.0625	25768.3711	28276.041	31657.1523
0.1334	28686.3008	27024.1758	28812.0879	30527.5762
0.2668	28562.7324	28131.9707	28898.8262	30371.8027
0.4003	29148.8965	28746.4453	28104.8789	31962.4766
0.5337	29028.3691	28651.9238	28925.5215	33331.2578
0.6671	30601.7148	29154.0059	29658.0703	33400.9961
0.8005	30394.5449	30849.8242	30884.877	34297.7031
0.934	32036.25	29867.0664	32542.9219	34036.7891
1.0674	36685.9805	28351.5566	38243.8906	34709.418
1.2008	46522.8008	29521.5762	51533.6094	42024.9688
1.3342	53675.1484	30853.0293	68581.625	52340.3594
1.4676	50565.6211	29459.957	61439.457	60343.2383
1.6011	40291.7031	35597.0898	42903.3008	57872.9219
1.7345	34254.8789	43752.4961	33626.3008	45080.9336
1.8679	NaN	43958.1523	30627.6465	40116.9609
2.0013	NaN	36864.9844	NaN	NaN
2.1347	NaN	31510.0508	NaN	NaN
2.2682	NaN	28697.3457	NaN	NaN
2.4016	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN
