x	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_16g	Y_20181208_15692b_15_1g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_8_7g
0	9635.8721	11281.3945	10073.8271	10202.8672	9930.541	10945.041	11750.3271	9334.8711	13173.2393	8978.7686
0.1334	10083.5557	12586.25	9895.8633	11516.7061	10030.6084	11679.2529	13788.8213	9715.9199	13766.4629	9494.9727
0.2668	12620.5264	12853.6934	9674.584	13662.5186	10447.6377	13516.6963	16433.4395	10200.1611	15993.749	10791.085
0.4003	14369.2881	13012.6885	9947.1123	16228.9092	10730.2656	14132.0361	19969.8301	11481.2646	17351.6738	12781.0498
0.5337	14539.3193	16712.4648	10755.5049	16398.3926	11686.9043	13584.8008	21528.1465	13117.9326	17538.332	15187.9834
0.6671	14031.3721	19121.4883	11876.749	15722.2295	12508.5977	13842.8936	19597.3711	14210.4092	16595.2422	15376.0322
0.8005	14102.4043	18587.1836	12805.0547	16037.9219	13025.376	13444.9023	17610.709	15029.2559	15350.1416	13908.6387
0.934	14936.7441	18114.5312	13016.8916	15719.1562	13848.0537	13778.0039	17016.123	14861.0723	13923.6738	14749.1729
1.0674	16204.3682	16152.0283	12375.7344	16013.8457	14599.6465	14332.2246	16626.3086	13492.0771	13949.3691	14264.082
1.2008	14780.1377	15162.2471	11355.4502	16323.5635	13765.2432	13370.877	14847.3027	13870.8926	14110.7109	13759.0615
1.3342	15307.1533	14882.998	11583.7275	15061.7256	13626.4893	13444.5547	14311.2559	13763.9873	13569.4004	13658.4229
1.4676	14043.1318	14791.5713	12657.1963	14518.834	13251.8574	13097.8271	15514.4385	12634.5205	14245.3516	13695.4521
1.6011	13684.293	14858.7764	11855.5791	15248.9961	13300.3721	12910.0918	16774.9766	13110.1768	14127.2275	12849.3584
1.7345	14386.1387	15026.1182	11809.7539	16138.8848	13235.6475	12133.9453	17141.4785	13595.1934	14990.2578	12434.1211
1.8679	14597.6416	15404.8271	11683.8496	15973.9072	13643.3711	11750.9404	17153.416	14021.2617	15987.0879	13365.2598
2.0013	13919.4141	15110.6982	12164.5977	14419.6104	13116.5498	12159.1895	15745.877	14529.3564	14687.4805	11949.835
2.1347	13809.3037	14071.2441	12048.624	14710.4023	13057.54	11837.9551	13830.374	14551.7959	14610.7539	11729.4297
2.2682	12864.5557	13959.8027	12379.2305	14907.7441	11961.8809	10803.5869	13463.8213	14248.3877	13739.9678	12147.2461
2.4016	12783.9521	13481.4082	11620.9023	14827.5488	12140.6465	10721.1445	13298.4258	13945.2314	13079.793	11836.5088
2.535	11711.1064	12381.0244	10609.3682	13130.084	11833.4639	10886.6758	12645.4805	13738.9854	11985.4668	11540.9434
2.6684	11614.7139	12154.5264	10379.9209	12394.4893	11919.8545	NaN	12697.0479	13526.0293	11722.7988	10671.7236
2.8019	11431.8779	12420.4043	10338.2129	12818.2109	12677.71	NaN	13707.1973	13126.9434	11933.5967	10713.8643
2.9353	11834.791	12326.1904	9998.3867	NaN	11609.6162	NaN	13140.5439	12751.125	12088.7471	11367.2881
3.0687	11196.833	11318.7598	9707.9805	NaN	12246.2803	NaN	NaN	13222.6279	11563.9609	11450.0586
3.2021	NaN	11323.9873	9830.2998	NaN	NaN	NaN	NaN	13048.1553	11490.4814	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10703.6982	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
