x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_10_7g	Y_20180224_15102_11_4g	Y_20180224_15102_12_13g	Y_20180224_15102_12_8g	Y_20180224_15102_13_2g	Y_20180224_15102_13_5g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_15_5g	Y_20180224_15102_15_8_S_g	Y_20180224_15102_18_1g	Y_20180224_15102_18_2g	Y_20180224_15102_2_8g	Y_20180224_15102_20_3g	Y_20180224_15102_20_4_S_g	Y_20180224_15102_22_2g	Y_20180224_15102_23_7g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_25_3g	Y_20180224_15102_25_9g	Y_20180224_15102_26_10g	Y_20180224_15102_26_3g	Y_20180224_15102_26_4g	Y_20180224_15102_27_12g	Y_20180224_15102_27_1g	Y_20180224_15102_28_13g	Y_20180224_15102_28_2g	Y_20180224_15102_28_5g	Y_20180224_15102_7_1g	Y_20180224_15102_7_5g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
0	42175.668	39606.5	35537.973	37802.074	31358.094	33115.441	39312.551	38231.711	33498.582	35507.848	32310.482	30500.826	37292.379	36693.133	35245.695	49997.316	41818.273	36712.363	36761.391	38930.109	39704.031	39036.277	34841.664	35325.762	38607.43	35320.344	34334.879	33133.41	36697.992	35556.039	38474.383	39480.785	35830.414	34756.699	35487.027	34513.129	38056.461
0.1334	40969.508	39761.555	34379.047	37990.047	32034.75	32939.77	38997.426	37850.926	33150.887	37499.91	32174.09	32232.621	36193.82	37641.652	36092.773	45131.516	39721.594	37982.281	36272.246	38846.738	38742.43	38046.262	34537.227	35608.477	37461.441	34250.449	35386.504	32555.934	37444.188	36355.348	38181.699	40807.34	36822.004	34113.227	34985.355	33500.125	39009.906
0.2668	42429.328	38132.84	36062.461	38694.641	32016.193	33235.785	36432.191	37250.625	33489.219	39807.312	30802.684	32452.787	37439.18	38486.137	36194.848	38679.391	37997.836	37946.641	35886.609	40067.855	40539.082	38388.797	33839.395	37583.457	34908.477	33841.488	36979.07	31425.809	37296.785	36464.836	39045.234	40579.094	37774.023	34989.543	34775.414	34801.414	37370.066
0.4003	41499.328	38477.645	35419.336	38550.562	32536.906	34109.508	37633.438	36279.531	34406.465	38988.457	31813.295	32382.924	38430.965	37589.637	36839.371	35499.168	35554.547	38095.188	36824.535	40707.129	39566.367	39309.426	34763.801	36638.957	38868.305	35268.262	37857.93	31894.555	37708.973	35601.664	40082.332	39698.5	38628.531	35110.219	34492.961	35622.164	38425.027
0.5337	40450.395	36583.551	34312.496	38367.152	31826.355	32520.244	37440.238	36849.531	33221.793	37918.785	30342.061	33563.223	36501.203	38329.312	35296.656	34099.98	33150	38420.039	37916.723	39037.426	38381.453	38543.75	34243.254	37281.883	37003.297	35440.633	37912.34	32512	36599.086	37084.062	40812.387	42030.66	40188.02	36317.164	34681.648	36268.461	40847.844
0.6671	40924.945	39530.027	35083.285	37472.32	33962.68	34092.934	39252.324	38699.441	34523.59	37551.195	31540.447	32914.078	36142.027	38054.902	34967.344	34110.414	34669.98	40101.902	38650.055	39242.402	37712.84	39389.098	33942.25	36398.887	38822.777	35589.27	38904.934	32010.225	38945.566	35999.68	38700.434	40674.977	40144.453	34153.316	36970.883	35861.414	38663.758
0.8005	40613.602	36887.238	36401.414	36210.094	35541.938	34983.316	39030.441	40027.156	35020.684	36352.758	32394.135	33711.141	34969.598	38181.047	38240.184	34202.047	35410.359	39282.41	38982.285	38786.227	38899.574	39756.586	35011.473	36072.074	37955.781	35833.102	39050.492	33000.48	40197.719	35465.355	37407.535	40456.859	38791.902	35190.516	34999.621	34649.727	39900.68
0.934	43451.539	38197.996	34098.77	36926.184	34577.617	34176.297	39474.762	40202.418	34859.965	38613.82	33245.613	33425.164	36514.094	39675.148	38220.68	33681.719	35124.84	39173.543	38847.797	38464.207	39710.305	39798.508	36061.848	36337.691	37932.512	35915.75	40061.027	32413.338	40969.473	37100.953	37421.188	41420.43	40791.902	35116.188	36383.75	37123.113	39258.836
1.0674	44127.555	39124.34	36045.121	36718.078	33832.023	36321.48	39374.395	41748.809	34971.551	38730.008	32903.5	33925.125	36210.605	38101.504	36666.301	33734.945	37565.742	38021.625	38361.68	39751.988	38612.227	40819.543	34622.582	36757.707	37072.742	36836.82	40623.367	32952.699	39934	37649.777	39248.094	41540.734	41177.891	35434.742	35912.297	36902.504	39256.051
1.2008	43914.66	39757.281	35662.902	36794.051	34544.562	36314.477	39172.066	40547.957	35444.809	38548.875	32741.545	31571.654	34630.984	37921.031	35299.84	33877.555	36848.113	39049.875	39828.16	39849.047	38801.898	40425.48	36030.488	36721.828	37073.551	37268.074	39497.098	32116.375	37604.316	37381.426	37475.145	40172.859	41652.223	37064.176	37205.23	37332.164	40231.809
1.3342	44750.66	38943.852	36797.316	37527	35246.562	35858.988	39828.582	39677.777	35525.477	37137.102	32687.955	31873.285	35537.152	38059.707	34949.477	33337.398	36465.559	40121.652	39133.734	41082.191	39159.402	40249.574	35389.559	36371.211	34585.738	36765.684	39664.098	31394.006	38383.055	38718.305	36751.457	38960.309	41211.859	36212.203	37287.043	37579.781	41481.254
1.4676	44854.738	38232.82	35288.453	38700.391	34916.816	35793.453	39268.145	41194.223	36504.586	36961.273	31801.123	33187.156	35309.098	38787.652	35118.758	33132.879	37928.09	38544.051	40921.324	40731.305	37935.562	41124.48	35285.34	34923.652	35945.961	38419.109	37552.43	32065.559	37543.48	38483.93	37940.766	40440.715	39760.102	34457.008	36353.23	38746.426	40367.504
1.6011	45714.809	38622.938	34969.969	38108.016	34448.277	36226.469	39250.488	41108.191	37251.945	35859.859	33592.73	33908.031	36592.727	37871.238	35135.305	33921.281	37804.484	37436.996	41841.961	40945.074	36408.723	40801.844	36125.34	37074.117	37369.625	36878.508	37501.914	33218.719	37482.664	36966.586	38238.02	40182.422	39503.215	35099.492	35098.004	37565.762	40015.914
1.7345	44749.754	38209.961	36504.383	38757.25	34127.68	36493.965	41162.395	42535.289	35941.004	35898.691	33815.777	32426.709	36798.758	38561.34	33965.695	33526.23	38687.949	38303.719	41509.371	41038.273	35511.41	40736.301	34138.32	36266.18	36753.293	36465.723	39101.531	32855.367	37058.902	37167.613	38792.574	37916.023	36412.117	34697.227	35577.492	37238.309	39971.633
