x	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_8g	Y_20181208_15692_33_1g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_20g	Y_20181208_15692_37_8g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_39_3g	Y_20181208_15692_40_3g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_16g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_45_13g	Y_20181208_15692_45_5g	Y_20181208_15692_46_18g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_7_1g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g
0	25251.8652	27264.7988	29900.8496	29529.7715	29334.9453	27607.5215	31553.1758	27834.6914	28515.4434	31423.3203	25564.8086	28847.4336	29760.6641	30743.1953	28847.5098	28904.998	25652.9941	31408.7422	26346.1523	31099.5449	29125.3809	31676.3418	29987.0234	32560.3633	30235.2148	31252.5508	27969.0488	32674.2109	27667.1973	30018.0273	30598.666	30603.0352	32548.4004	27695.4961	28018.9355	31331.6055	29665.752	27943.8574	31155.0508	27913.4883
0.1334	24852.9004	29308.1172	30581.3516	29092.0527	29078.3535	27483.0938	32487.209	28576.457	28509.5098	31737.2012	26781.2031	29277.6133	28855.1758	28301.9863	30257.2988	27768.3027	26182.0391	32002.3633	25540.5918	33035.4375	27791.4902	32013.3145	31372.0195	31928.1035	32572.3672	31359.498	25963.4102	33008.5547	27954.3613	30367.8145	30282.9785	29573.4395	31715.627	29013.8301	26124.8164	31386.9336	30573.9297	27727.1016	31524.9492	27587.2617
0.2668	25043.2285	28641.8867	31859.3008	29970.5312	28391.9805	27990.7773	30309.002	28553.2715	29345.418	31172.2578	25706.5	29872.5664	28820.0176	30167.3184	28616.3398	27506.9609	26216.5176	31868.5195	26448.2578	31675.4043	28693.502	31627.5664	30932.1953	32638.5352	30613.8477	31537.7715	26492.7617	33930.4297	27373.2363	30385.5293	29284.5332	28184.8848	32134.5039	28527.1484	26297.6934	32336.6035	29696.1738	28092.752	31524.8145	26770.4102
0.4003	24755.9395	28072.416	31338.7793	28595.8828	28081.5566	26827.4922	31065.7324	28832.332	30531.002	30786.0586	25860.3574	30043.5898	28967.7285	28919.3398	29242.5898	28685.082	26176.9199	31853.8633	27238.0488	31504.0273	28950.1074	31684.8203	29993.6113	32229.5566	31793.8535	30736.5547	26584.4492	33119.7617	27290.7598	29758.791	29638.0938	28456.0215	32119.1367	29215.0488	27264.3184	31841.5684	28441.8945	27997.0664	31558.2246	26543.4082
0.5337	26081.4902	28174.3906	31905.6855	28801.7168	28006.1113	27783.2227	31183.8535	29824.9727	29560.6523	32304.9199	26433.7793	30761.5352	31230.2285	28509.1875	28234.6855	28031.457	26995.5938	31728.8496	28273.4688	33718.6328	29358.1504	30337.5234	27278.2305	30665.9531	29801.8281	31186.959	25748.4355	32326.3809	28206.0371	29241.3242	31176.1699	27962.4297	31288.1875	28798.2773	28033.2812	30830.0957	29657.6523	26412.125	30417.7617	27393.4121
0.6671	26201.9629	28662.9727	31717.8184	30186.791	27495.1035	27248.1367	31125.082	30724.6523	27966.8359	32112.6836	26594.7227	29943.8281	29825.2734	29909.9531	29534.1855	27489.0371	27239.957	30072.459	27315.2207	31307.9727	29138.0312	29978.1055	27836.2715	31437.75	30532.4141	31005.8945	26639.9277	31547.0996	27942.1211	29341.2344	30250.7988	29120.7949	31042.5312	29548.0176	28325.0332	31774.1836	29650.8086	25728.9492	30776.0488	26746.7207
0.8005	26497.5898	29534.334	30511.3574	31125.3809	27433.9551	26788.0371	32082.1289	30169.5449	29866.6172	31797.1602	25773.2148	29399.4492	28072.3477	30329.5801	29663.3066	26831.9141	26880.6777	30690.4961	27087.2949	32189.5469	28632.1602	30918.9121	29017.793	32215.6113	31647.0293	31042.0352	26015.0469	32384.9707	27499.8516	30254.7207	28985.6289	27601.9746	31030.3105	29509.8164	28248.8164	30662.9102	31468.0645	27233.1934	32583.0195	26771.1133
0.934	27054.7559	28491.7988	31286.3535	30054.7949	27378.7852	26691.5508	30630.7383	30625.6016	27875.2676	33097.293	26833.1777	29161	30335.0938	30167.4824	30584.582	27105.2676	26131.2891	31938.3086	27551.4863	30646.6387	28258.7305	31294.5996	30111.3887	31139.7266	30206.4297	32210.166	27166.2422	31485.2891	28859.5801	28947.0781	30211.502	27154.957	31560.0039	30016.418	26991.0273	30973.8418	29902.0879	28490.5938	33485.3008	26100.6797
1.0674	26566.0977	27248.6133	31233.543	28205.9434	27802.4688	27375.1113	31628.0957	30811.9805	27726.6016	31432.9375	26170.0508	28286.4473	28951.0781	30070.5586	29052.6797	27825.1328	27116.6855	31356.7031	28107.0645	30662.582	29285.6855	31853.457	30019	30352.4434	29584.7168	31622.8281	26884.0859	32023.3945	30200.3652	29597.0508	29863.2812	27579.5898	31974.8125	28384.0098	28494.627	31338.7324	30586.377	28699.0195	31581.6465	25610.2012
1.2008	26619.7227	28435.1055	30988.5488	28675.0938	28425.0547	27467.2715	32956.832	31984.8105	29305.3105	31826.7031	26014.5039	28611.1953	31454.502	30055.3555	29314.4551	29326.2852	27694.0508	30431.418	27040.6016	32906.0781	31387.5781	32651.3926	30629.9355	30977.1602	30404.2188	31218.4355	26374.5293	32344.8105	29176.8516	30167.2402	28511.7461	27731.0391	32788.832	29431.4316	27773.6367	32582.4023	30395.6055	28689.1504	33233.5352	24978.252
1.3342	27693.3809	28703.2129	32221.1523	29229.1602	29258.6445	26773.9707	31301.8516	33991.4688	29383.252	31959.4043	25126.6367	29569.6836	30532.5879	32265.332	31753.3008	29448.3223	27723.2734	33835.9453	26809.0781	34098.7969	29076.25	31736.4941	34388.7852	31633.75	32344.9785	31548.502	27060.5996	32819.4648	29015.1133	29993.8359	30152.4004	28559.7773	33277.1211	29964.3105	30576.2324	30957.627	32846.7109	29859.4668	34797.0391	25466.1602
1.4676	27689.2812	28299.3887	32781.6523	28521.2539	32434.8438	27993.6172	31513.5117	37790.4844	29377.9922	31874.2441	27761.8555	28718.0605	30238.4512	30687.9199	32849.7891	29448.8223	30725.5234	32623.2578	29294.9004	39648.8281	30189.0098	31131.623	40606.9453	31959.0723	34679.043	31315.6523	27868.9824	33195.5664	28652.9727	32530.5293	29087.1738	28691.6738	33859.0859	31517.1582	32497.4531	31094.2773	34482.25	32635.334	38422.9688	26253.5273
1.6011	27483.7168	30707.9551	33442.8359	29716.1602	35517.9375	30125.5059	33019.168	49515.4102	29758.832	32936.2266	29063.8223	29611.9863	32574.5938	31358.748	36503.332	31283.9785	32779.8789	31031.127	31140.4688	46009.4219	32518.9414	33677.0938	56763.1406	33956.918	39345.3789	31005.168	31073.7051	36383.6719	29307.3809	34720.0312	31783.8457	28894.0195	37146.4219	29953.5332	39475.2148	34816.332	39714.5938	39198.5117	47311.1289	27375.3379
1.7345	29891.7598	30307.4551	37519.8438	31049.4316	45427.4102	31675.1602	35353.4531	75567.5703	31105.8613	34277.6445	31032.0332	29668.9062	36552.4336	32004.8672	45209.6211	35482.2656	39874.0117	31130.7891	35704.9141	60403.1484	33481.0586	35422.4062	83480.0703	38445.0469	49324.6758	30825.5508	35400.2969	37867.1289	29276.7539	42180.2305	31183.3301	30696.623	38941.8633	29689.8047	56516.1719	35393.3828	52303.0469	56594.7031	71564.3359	29885.4434
1.8679	32649	32528.002	45105.8984	32554.2266	61248.4297	34248.8242	39272.3281	105800.2422	32975.5664	36245.0391	36842.9766	32315.4141	45287.4922	34462.6562	62473.543	46414.2305	56148.4102	33336.5664	50124.6562	67532.8359	41262.1602	41926.3203	95131.0781	47730.043	68371.5781	32140.2324	49103.3633	45674.5781	30467.4023	55183.9648	38541.2617	37167.1953	45045.6445	32173.5898	84631.2578	38004.7227	68588	73387.4531	94899.4688	31957.9922
2.0013	38950.5469	41654.7109	63131.5508	42768.9023	64529.168	37402.8086	54023.5938	98569.5625	37107.9883	40000.7695	51338.4141	35308.0234	60021.3125	38600.8164	89578.9766	63845.582	73312.2656	33493.4648	76277.2344	53259.9492	59135.6211	53636.2852	71864.5	68509.5156	102985.6719	35288.4297	61543.0078	64483.1172	32190.2695	64601.7891	49669.3516	52177.4258	57773.4688	39462.3633	100733.5859	47656.4648	77598.3438	70284.5625	85865.3281	38450.3984
2.1347	52536.8555	63269.8633	83743.7812	58618.1367	50187.9961	49192.9727	62489.6562	66426.8438	46792.7422	49614.6367	68759.5	38357.0898	66400.0938	52308.4297	96132.7266	72465.4062	70904.3359	37929.4297	91860.0156	40005.8906	83262.7891	73081.4844	48245.4609	82676.6953	120101.6875	39817.1875	56542.7539	91432.8516	34351.543	57561.5117	64101.4375	69750.8203	92271.9609	53730.0508	85205.5781	58749.0352	65537.6094	48363.4414	59235.5977	53055.3633
2.2682	56836.3164	74510.6328	79081.6094	73880.0859	37574.793	66328.2031	50654.1289	44011.7812	67481.8906	72960.9766	64537.8047	48333.6133	56762.4414	77522.2969	70593.5312	53529.2383	49293.6094	48933.3789	72624.8594	35384	96597.6328	70697.8906	38782.4414	70525.1875	98976.9609	53711.7578	39734.7031	81385.7656	40836.6953	43236.6055	54454.5234	66809.0938	128693.625	74260.2344	59571.5312	53780.8906	44707.5	36071.3203	NaN	59326.2695
2.4016	51867.6016	62970.4023	57119.6797	64800.5312	34824.0625	72866.2422	40488.7344	35616.6758	76768.7969	88268.2109	46162.1797	66975.375	42236.2578	88059.0547	45649.3281	39949.3945	37945.5234	59428.4766	48011.5469	34444.2188	93650.0391	52276.1953	34846.168	49272.9375	74558.8984	65590.0391	33422.4531	55063.9961	54555.8594	35675.1875	39316.3594	51145.7188	116680.25	65313.6797	41933.0586	43610.668	36361.9062	30805.8379	NaN	48541.957
2.535	NaN	44305.2773	41720.5078	44008.4258	32917.332	60962.7969	34203.7656	31786.0605	65044.6562	75801.8125	34845.1641	74229.0156	34587.0781	65815.6172	35404.0039	34882.2734	33343.1367	55497.8516	38124.3984	36471.3398	73315.9531	40688.7969	35141.7344	39515.6719	51456.4961	61768.9219	30780.8281	41851.7266	59490.6641	33077.9453	35149.5195	40314.6641	75347.5469	46895.5703	34848.5586	35456.8867	32865.9414	28530.332	NaN	37133.9961
2.6684	NaN	35780.0586	33787.2539	36936.6719	31135.6484	54970.9688	32776.9375	29138.0586	43719.6797	53182.6016	32908.1758	61286.957	31835.0684	45149.3789	33103.4141	NaN	31543.8594	44407.0781	33517.957	34612.043	50917.4922	34816.5586	NaN	36467.9531	40583.9531	45986.6758	29508	36251.9023	47193.3594	31437.8691	31429.6211	35904.4375	49245.3086	38010.6211	31056.418	33018.8594	31000.9727	27754.623	NaN	33724.9922
2.8019	NaN	31950.8848	32092.6973	33450.2344	NaN	63724	32719.8789	28636.3691	37332.3516	40148.5547	30440.7363	48182.7109	30757.4473	35584.9062	31370.752	NaN	28942.5195	36442.3945	30661.4609	33755.6484	NaN	32580.6758	NaN	35796.6523	36462.1211	37750.7266	NaN	36478.0508	37867.9414	30379.2344	NaN	32754.5547	40081.6523	33102.5273	30612.4004	32088.0039	NaN	NaN	NaN	33065.918
2.9353	NaN	31557.293	32120.9629	32554.6992	NaN	64759.5508	NaN	28586.1484	33447.8906	NaN	28917.541	43513.4766	31006.1992	32917.8672	31024.3262	NaN	NaN	36421.2109	28144.0957	35072.8008	NaN	31471.4004	NaN	NaN	35704.2891	35259.9609	NaN	36144.5781	32985.7188	28859.4102	NaN	32852.9766	36784.9062	32981.6562	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	28740.4375	NaN	NaN	NaN	NaN	NaN	NaN	31824.0273	NaN	NaN	40378.8008	31043.0449	30916.9922	30674.8984	NaN	NaN	34831.418	NaN	NaN	NaN	NaN	NaN	NaN	32105.6211	33225.3203	NaN	NaN	NaN	NaN	NaN	32650.4902	34518.4648	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31427.9238	NaN	NaN	36463.3555	NaN	30250.8965	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32103.9863	NaN	NaN	NaN	NaN	NaN	NaN	34840.4336	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33905.6406	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
