x	Y_20180130_15100_1_7g	Y_20180130_15100_2_2g	Y_20180130_15100_3_13g	Y_20180130_15100_3_15g	Y_20180130_15100_3_17g	Y_20180130_15100_3_8g	Y_20180130_15100_4_12g	Y_20180130_15100_4_14g	Y_20180130_15100_4_17g	Y_20180130_15100_5_14_2g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_21g	Y_20180130_15100_5_2g	Y_20180130_15100_5_4g	Y_20180130_15100_6_10g	Y_20180130_15100_6_19g	Y_20180130_15100_6_5g
0	13203.375	12173.914	13434.46	12187.5	11442.714	12570.167	12593.455	15138.61	11727.761	11773.47	13021.729	13619.624	11759.575	13114.914	11812.45	10806.414	10732.656
0.1334	15968.463	12659.128	14485.291	13633.829	13168.007	12369.444	13451.6	15133.627	14158.998	12866.698	14478.968	14007.579	11918.974	13449.477	12946.242	12014.861	11622.652
0.2668	21140.225	13188.781	16666.992	16962.803	15155.427	13399.959	14306.889	18295.559	19569.945	13930.48	16480.846	15232.94	12863.543	15365.191	14283.383	14440.611	14743.566
0.4003	22402.773	14998.119	19625.77	17197.902	16662.35	14692.687	16469.234	20346.062	23614.527	15291.271	17203.365	16942.82	14506.472	18288.57	15436.131	18302.434	13924.255
0.5337	18873.404	16925.199	21185.516	15979.21	15534.567	15387.588	15958.13	19853.006	24920.324	16033.978	16463.824	19274.037	14666.775	18141.932	19831.379	18830.371	14024.313
0.6671	16686.633	18228.871	20292.613	13805.18	14286.038	18359.297	13953.114	18910.523	18988.422	15843.802	15407.743	19810.012	13691.679	17224.707	21752.752	17743.518	14217.805
0.8005	15811.025	17292.529	18272.328	12834.82	13864.187	17573.473	14074.231	15916.771	16285.804	14864.542	15089.612	18495.551	13816.437	16043.562	20796.24	15919.519	13678.88
0.934	15026.956	15133.462	17185.133	13167.091	13261.157	16548.773	13736.471	14353.086	14225.567	13478.843	14333.659	16132.451	13074.027	16387.895	19029.787	15898.839	13949.454
1.0674	13704.085	15397.363	17059.66	13012.292	13332.943	16791.65	12810.358	14477.961	13463.384	13087.564	13809.304	13684.355	12782.12	16871.779	17092.26	15258.396	13720.258
1.2008	13846.614	16229.521	15942.299	13134.399	12907.015	16854.932	13285.008	15043.538	13891.071	13007.674	14251.579	13126.221	12674.793	16525.352	18233.615	15202.701	14357.585
1.3342	14029.864	16812.006	15078.524	13377.448	12476.601	18228.164	15063.98	16382.716	14594.696	12589.431	14048.395	13170.234	12882.51	16107.92	18006.453	15195.724	14194.321
