x	Y_20181208_15693_1_4g	Y_20181208_15693_10_14g	Y_20181208_15693_13_6g	Y_20181208_15693_14_1g	Y_20181208_15693_15_5g	Y_20181208_15693_2_10g	Y_20181208_15693_6_2g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_13_18g	Y_20181208_15693b_3_20g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_3g
0	10886.4375	13068.7646	11064.502	13523.7559	15215.4395	13015.7656	10633.8965	9025.6963	12538.082	9907.4863	10978.1582	9634.7871	9656.6494	12294.9668	14195.6562	10688.7891
0.1334	10930.0078	14522.5049	11810.6367	14235.8955	17841.6055	13149.5146	11169.6621	9408.7568	15683.1992	10588.8555	11818.3613	9972.4551	10540.3018	12441.8564	17481.2168	12618.5703
0.2668	11580.8535	17196.2012	12324.791	17036.1465	18025.0391	14406.0625	11739.6846	10061.5381	19034.0566	11122.3418	12463.7471	10503.165	11299.4287	12869.0967	17835.5352	13587.3818
0.4003	11319.0273	20975.1484	11933.4062	18765.0312	15343.8691	15987.1201	13266.1348	11222.0996	19819.6426	11423.9004	13512.8369	12680.8691	13112.5674	14177.4141	16819.5859	13274.9287
0.5337	13267.3926	22846.2422	13889.4561	18228.1816	14141.8926	15367.2451	13094.9639	12150.3701	17922.5605	12059.8438	13001.001	15132.8711	14552.7842	16875.2734	16082.1709	13524.4219
0.6671	13530.8613	21097.6875	14486.8779	17646.6836	13645.3916	14920.7559	13381.1914	13151.3604	16303.6807	12925.6777	11922.0361	15890.5049	13925.3809	16639.582	15346.7422	13739.6006
0.8005	12864.0703	16871.4102	13367.8438	17055.8242	13936.0244	15297.7734	13401.5449	14177.4971	15688.8848	13570.0713	11641.3564	15725.9023	12540.6318	14603	17048.2891	13262.9561
0.934	12187.458	14916.6592	11701.7217	16779.0527	13950.7451	14599.2324	12907.5049	14251.7012	15079.7168	12682.1953	10873.4014	13995.2168	12290.1943	13293.0576	16329.3945	12789.5068
1.0674	11236.8594	13765.9141	11973.0703	16096.6465	13646.7617	13035.9785	11623.5625	14973.2803	13548.7158	11593.5762	10828.0684	13593.3467	11215.3047	12904.1211	15595.4775	13279.9795
1.2008	11107.8535	12914.9648	12108.5986	15852.8789	13000.6064	12281.1064	11148.7588	14501.7969	12866.6777	12152.0928	11298.1758	14347.1572	12882.6494	13003.0303	15200.6602	13440.3838
1.3342	10866.877	12984.0879	13165.459	15358.3213	12065.9854	12321.877	10964.1641	14319.5303	13207.4443	11741.1602	10734.5	13583.1152	13358.9209	12836.1475	15249.4531	13307.9258
1.4676	12190.1289	12491.6484	13156.5869	14269.9482	12107.0869	12589.0576	10523.1484	13017.917	12475.916	11650.5557	10401.8438	15070.8584	14340.3672	13028.2773	14107.2998	12822.7168
1.6011	12824.6523	12306.7061	13035.8926	13722.8506	11112.9551	11743.4209	11055.6631	12219.9922	13000.1689	12248.7139	10929.7812	15828.6572	13862.2373	12860.0742	13910.1133	12924.6709
1.7345	11944.5957	13261.6758	13414.1885	12304.4004	11554.5283	11287.6133	10997.3818	12494.209	12686.8838	12684.8408	11966.1797	15777.2393	13766.5088	13136.2422	13362.6006	11676.5498
1.8679	12584.5713	14579.1484	13425.3389	11741.2861	11412.8545	11911.4521	11374.2861	13391.5889	12530.8662	13403.3828	13300.0127	15151.4336	14782.9893	13118.6475	13282.6914	11777.4014
2.0013	13565.9736	16031.8838	12005.7646	11750.1738	12110.5879	12443.8867	11543.0527	12880.6943	12596.0664	14724.3018	12472.3027	14265.4766	14849.9141	14405.9512	13533.7891	11803.833
2.1347	14189.5596	18559.7207	11990.3076	12197.9639	12114.4688	13554.9854	11319.1992	13243.8242	12255.6963	13810.7832	11709.2363	13218.8018	14346.2158	15187.5469	12875.6904	11723.7188
2.2682	12913.5557	18176.1543	11661.0479	13218.6094	12130.792	13909.7861	11907.7061	13017.5518	11979.5967	13421.5088	11226.7334	12819.7158	13785.8145	15165.1514	13530.6465	12134.499
2.4016	13741.2715	17148.9727	11432.9395	13740.1816	12519.8301	13511.626	11999.5791	12715.4023	12226.0986	12590.4023	12022.4443	13070.1025	13249.6143	15248.543	13302.8193	12345.9785
2.535	12487.0352	16327.5	11724.5977	13831.7676	12450.8525	13131.6025	12207.4688	11729.4111	12091.2314	12384.8447	11668.4756	12739.7607	12530.4277	15795.4463	13586.3828	13047.3135
2.6684	11992.3721	15337.7891	12005.8154	13750.3799	13501.2607	13726.8076	12212.7607	11753.3652	11974.8877	12932.7354	10974.3818	12641.3496	12665.0381	16500.1602	13469.4355	12941.7148
2.8019	12586.8516	14574.835	11738.7979	12966.4238	12902.707	14394.6992	11810.2891	11385.0889	10809.6992	12905.8984	11969.9102	12571.7646	12250.6387	16163.8818	13665.8682	12378.7773
2.9353	12134.791	14140.832	12083.9512	12853.0977	NaN	16147.2197	11539.5283	10949.4482	11588.1895	12023.3164	11662.125	13184.2451	11793.1758	14786.9717	13149.2549	12355.9502
3.0687	12109.2002	14258.3672	13239.8604	11949.9795	NaN	15959.9062	11444.1055	10959.2002	11871.3047	11438.0527	11440.7178	12774.6973	11967.1748	13795.1611	13140.7305	12142.0664
3.2021	NaN	13360.0215	12912.2607	13044.3721	NaN	14014.4912	11476.7402	11479.8662	12064.5566	11546.0908	11232.8799	13940.7568	12646.8594	13880.9316	13454.3779	12351.2998
3.3355	NaN	13035.957	NaN	12294.8359	NaN	13799.3848	11728.0498	11389.4629	NaN	11426.8945	11043.5625	13828.8584	12539.1152	13744.2705	13579.0049	11661.8535
3.469	NaN	12799.5596	NaN	11827.6826	NaN	12677.1787	11304.4443	11613.3105	NaN	11875.1572	11570.748	13470.7363	11740.166	13055.835	13176.7607	11205.5049
3.6024	NaN	12360.6592	NaN	11984.9346	NaN	13506.7979	11250.5264	11565.9902	NaN	11161.373	NaN	13411.1562	12401.9258	12314.9492	NaN	NaN
3.7358	NaN	12162.4678	NaN	NaN	NaN	13416.6172	11466.7656	11514.0635	NaN	11434.5	NaN	13688.9766	NaN	11826.7754	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11131.8213	NaN	11552.6816	NaN	13672.6445	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10653.167	NaN	NaN	NaN	12822.4395	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11014.9951	NaN	NaN	NaN	12477.7188	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11313.5615	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11354.2217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
