x	Y_20180212_14590b_16_6g	Y_20180212_14590b_16_9g	Y_20180212_14590b_18_2g	Y_20180212_14590b_20_4g	Y_20180212_14590b_32_7g	Y_20180212_14590b_33_6g
0	12498.394	15087.314	14331.472	13413.638	12505.081	11144.088
0.1334	15422.453	15830.807	15171.955	15472.742	13428.648	12185.391
0.2668	20293.74	16982.938	17792.59	19205.906	15586.376	12642.018
0.4003	27581.451	21292.326	21695.15	26742.445	20907.434	16453.426
0.5337	30618.451	25180.566	25424.35	30924.359	26412.311	22015.75
0.6671	30836.23	26357.029	25203.896	30539.221	24405.363	24854.293
0.8005	28664.217	26310.049	24676.686	26357.938	21845.053	21706.268
0.934	25627.934	24436.525	23823.816	22616.377	20028.52	18847.711
1.0674	27097.264	23633.436	21956.908	20132.498	18595.342	17092.373
1.2008	24699.119	22738.26	19558.008	17833.58	18245.396	17775.238
1.3342	22604.814	24117.877	17885.002	16662.873	17106.689	16683.461
1.4676	20593.918	24825.855	18285.336	18247.703	15787.111	16292.592
1.6011	19355.559	23304.557	18288.584	19338.129	15595.915	14843.272
1.7345	19121.793	21562.307	16764.859	20048.773	15819.52	13830.476
1.8679	19947.27	19722.18	14964.091	19756.473	15290.685	13355.816
2.0013	20609.5	18284.309	15265.8	20453.072	14710.853	13656.245
2.1348	19445.395	16951.168	15456.779	22215.4	14092.206	12944.129
2.2682	18134.775	15577.049	16090.068	22458.785	13890.888	13740.896
2.4016	15837.358	15585.374	17459.867	20538.723	13439.356	13794.316
2.535	15203.995	15646.635	17965.68	21238.111	13806.267	13141.239
2.6684	16700.979	15326.322	18532.322	21237.629	14633.33	14505.772
2.8019	18226.598	15947.783	21227.992	21356.732	15390.433	15399.267
2.9353	19989.678	14556.987	24763.926	22247.154	16788.992	16084.161
3.0687	21560.859	14634.442	28774.707	22569.596	19363.926	17282.039
3.2021	26228.855	15602.186	NaN	23299.379	23672.414	16574.699
3.3356	33239.77	15569.062	NaN	NaN	24457.221	16516.637
3.469	36967.34	16306.505	NaN	NaN	NaN	NaN
3.6024	30362.721	15906.542	NaN	NaN	NaN	NaN
3.7358	NaN	13910.221	NaN	NaN	NaN	NaN
