x	Y_20181208_15693_10_10g	Y_20181208_15693_10_12g	Y_20181208_15693_11_7g	Y_20181208_15693_13_1g	Y_20181208_15693_19_1g	Y_20181208_15693b_13_1g
0	30893.9648	29507.0156	31279.8477	26465.3203	26424.0488	26788.7871
0.1334	31950.6465	29670.4199	31087.6953	27912.4258	27034.8301	26290.8848
0.2668	32698.1172	29083.8477	31901.377	28137.6621	27372.7207	25903.8418
0.4003	32666.5801	29989.7461	33131.3047	28463.377	27158.8359	25575.2773
0.5337	32984.0234	30124.6992	32747.1211	27886.6074	25857.2031	24861.4043
0.6671	33702.9375	31197.1016	31730.3691	28986.4375	26404.5039	26237.252
0.8005	33956.543	30056.2852	32146.2695	28843.8242	26121.3652	26301.8281
0.934	32747.6211	31516.8828	30447.3516	27777.0332	27100.2012	27904.1562
1.0674	32522.1426	31595.9941	32327.1289	28176.1875	24969.8828	26401.4199
1.2008	32719.7891	31248.5645	31226.3594	27283.5938	27501.1172	27478.9902
1.3342	32880.7109	29609.377	32677.166	26978.8906	27837.459	26543.7676
1.4676	31731.3008	30002.0469	32305.1016	27691.0352	25114.7402	27758.7676
1.6011	31650.9141	30246.668	32040.9785	28135.7734	26250.8164	26656.1426
1.7345	32127.2734	30911.3633	32498.1387	27462.2422	25151.3809	26133.8633
1.8679	30989.541	29973.377	31959.7637	26532.0332	26260.168	26676.7422
2.0013	32045.1621	29813.543	33372.8086	27543.2441	25152.8047	27315.2695
2.1347	31498.6016	31259.127	32014.9727	27758.9922	25894.4824	26874.0996
2.2682	30208.8574	31174.1094	32063.2383	28220.5156	25353.7383	27506.4434
2.4016	30418.6074	30866.3418	31601.5039	30286.2285	23962.3223	26449.1172
2.535	31993.1445	30044.3867	31656.7246	30725.3848	25112.8945	26039.8242
2.6684	30918.7656	31384.1211	31047.7617	30263.4199	24955.9043	25900.3652
2.8019	32864.2539	31668.6895	32558.6055	29953.4609	24745.9883	25755.6348
2.9353	33026.7305	32803.543	32903.6406	29845.4004	25127.7305	25290.2812
3.0687	33045.4961	34410.4492	33214.0195	30731.8184	25188.7773	27073.834
3.2021	31505.4766	38234.5859	34556.1445	33265.5664	26875.207	26790.9688
3.3355	34537.9375	53495.6367	36294.6055	37880.6055	26945.8457	29127.3711
3.469	38918.0273	77206.5547	39635.5273	49003.9258	29684.3945	30858.6133
3.6024	44782.832	80057.4922	53743.0117	61146.1172	32912.7148	33591.8086
3.7358	57004.0273	61056.4688	79463.5625	58615.6836	36858.0156	43342.3594
3.8692	79109.7188	43286.8672	106552.0859	43564.3242	43025.1328	59279.3555
4.0027	75053.3984	37648.8477	100630.1094	33355.7852	41360.668	62016.8438
4.1361	54930.4531	35458.9297	66369.4766	30547.3477	35428.8164	46273.918
4.2695	40748.375	36560.5938	44607.1328	28900.0215	29545.5547	34727.7969
4.4029	37345.0781	NaN	36033.7891	29351.8398	27405.6523	32671.0605
4.5363	35699.2344	NaN	32907.5117	29696.6523	NaN	29548.0273
4.6698	35083.9141	NaN	32357.8477	NaN	NaN	29659.0254
4.8032	35185.7422	NaN	31878.6484	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN
