x	Y_20181208_15692_31_14g	Y_20181208_15692_38_11g	Y_20181208_15692_38_12g	Y_20181208_15692_39_1g	Y_20181208_15692_41_1g	Y_20181208_15692_43_12g	Y_20181208_15692_44_3g	Y_20181208_15692_45_16g	Y_20181208_15692_46_17g	Y_20181208_15692_7_7g	Y_20181208_15692b_13_2g
0	28924.7285	27266.3047	30006.8516	30870.0488	27794.9668	28903.2832	28462.4668	30366.3066	31021.1172	29997.1426	23789.9746
0.1334	28527.3789	29451.4941	28448.7246	30586.5645	26744.7656	27190.4062	29334.5605	28581.2344	31431.8516	29274.6172	25182.2051
0.2668	29032.916	28597.1543	28138.9785	30124.6543	25879.8887	28231.4824	28678.0234	27987.373	30470.2109	29041.5586	25638.4668
0.4003	28562.002	27946.8613	28620.5117	30817.75	26318.8184	28787.3203	29399.1465	27043.293	30870.7734	28940.0547	25759.3223
0.5337	30967.9668	27432.1582	29009.4531	29916.2637	26898.2578	30149.3574	27895.1816	26799.5488	30813.8984	29614.4785	26647.377
0.6671	29752.0117	28467.8555	28532.334	30032.2773	28867.8359	30175.5547	29588.0293	28527.5684	32290.1172	30287.5664	25938.8398
0.8005	29011.375	29356.6836	29318.0449	30392.0312	28210.6016	30223.1582	27694.9824	28661.4043	30437.4473	29535.1113	25570.5
0.934	28425.3906	28334.9492	29543.2734	29568.5879	27594.2559	31252.4023	27697.3027	27608.5566	29612.4863	30175.0859	26227.416
1.0674	29236.6328	28648.5332	30819.3418	28475.7988	29179.1074	29626.1309	29045.457	28566.3223	30067.8926	28975.7188	24824.1367
1.2008	28285.7559	28161.207	30675.9844	29325.9707	28157.625	30616.5254	26464.0137	27919.1152	30790.8867	30258.75	26464.4668
1.3342	28211.9316	27717.7891	29151.793	30389.293	27449.2285	31332.5	26687.3262	28729.1191	30053.457	29857.3242	26595.375
1.4676	27853.4375	28763.3418	29511.8652	29487.2695	25907.1934	31318.9473	28607.2559	28953.9727	30499.4883	30675.2773	26081.9062
1.6011	28270.4043	28472.5879	29966.1777	31195.373	27499.8809	32814.2227	26780.9277	27953.7754	31076.2695	31874.8281	26328.9746
1.7345	27045.9277	27972.4883	29907.2031	31319.7891	27184.5508	32409.1602	27704.2793	29326.6055	32404.2129	33615.0703	25820.9844
1.8679	28628.8047	29717.248	29071.2676	29646.2051	27187.5488	29879.6543	28325.5723	29366.3965	32989.2617	31673.8633	25885.3223
2.0013	29237.5156	28033.4766	30911.0117	30162.291	27981.7559	30782.5312	28942.9141	28575.0586	33871.8828	30984.584	25352.8184
2.1347	28349.9199	29145.5586	29943.7305	30196.5586	28308.9141	31194.6152	30738.1309	29003.5312	34027.2383	31435.0957	25384.3633
2.2682	29406.293	28876.9805	31340.1816	31879.8809	28787.3145	30514.1973	32721.9746	30770.0137	38472.0391	32478.6094	26052.0273
2.4016	30642.1738	30738.8047	31604.7227	32256.7246	30756.0938	31061.4688	37896.0195	31609.1191	45716.4297	33142.8711	26478.8203
2.535	33112.4766	31164.8867	31014.0156	32871.9766	33199.8398	32241.7598	48105.2266	37896.8906	60095.957	38097.7227	26619.0293
2.6684	39138.9414	33912.5	32406.4883	39073.043	40807.9844	32995.9766	75208.4375	54067.5742	88470.1641	44705.2266	28902.7559
2.8019	54311.1836	43052.4961	36987.3555	55824.4766	58606.8281	35800.875	102692.6797	77143.6875	91690.2812	53182.6914	35419.1562
2.9353	80399.4141	59793.5625	46193.6641	77997.0781	71006.9766	43001.7227	99842.9297	83486.3203	65357.8086	56922.6875	51259.707
3.0687	92607.8906	71000.9688	51055.043	83013.6797	64534.4297	61013.6133	66583.0859	62336.1875	45295.4297	49304	69417.4609
3.2021	69554.4297	58947.2109	42585.1602	59073.3086	47115	71990.4453	43575.5625	43892.8477	36331.2852	40301.7773	67640.9375
3.3355	43924.0508	44152.5938	35323.0898	42264.0742	35382.6094	58074.7148	33864.7383	40342.1953	33771.4219	36140.375	53870.7031
3.469	35231.4648	35969.5156	31760.7793	36659.8398	31371.3164	43470.9961	30795.0293	36002.7812	33452.0195	35948.4297	38391.4102
3.6024	32659.5078	32031.4277	33495.5234	34173.4453	30749.8691	37797.2578	29398.0215	NaN	32755.375	33991.2148	31334.4316
3.7358	30955.5215	32084.7383	35784.8555	33355.0312	29139.127	34790.6875	28612.9629	NaN	NaN	35175.625	28210.7012
3.8692	NaN	30416.0488	37946.375	NaN	28161.207	36194.832	28791.3477	NaN	NaN	NaN	27090.207
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	28535.8223	NaN	NaN	NaN	26759.373
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25242.1406
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
