x	Y_20181208_15692_33_6g	Y_20181208_15692_34_4g	Y_20181208_15692_36_6g	Y_20181208_15692_38_6g	Y_20181208_15692_39_11g	Y_20181208_15692_44_1g	Y_20181208_15692b_10_3g	Y_20181208_15692b_3_4g
0	27622.1035	27622.8164	28521.6797	27142.4375	25714.7109	24063.7461	30829.3828	29587.5293
0.1334	27679.1348	26980.7109	27841.4316	27097.0195	26870.082	24427.9492	29817.0039	29849.2949
0.2668	28276.1895	27991.3711	28096.625	27561.5469	27884.7207	24644.4473	29590.709	28456.3613
0.4003	27797.1484	29769.4551	28752.2344	27180.3945	28213.6641	25244.0332	30852.8789	29927.5645
0.5337	26742.3242	28223.709	29085.7031	27658.457	28967.0371	25805.6289	30091.9414	29641.7715
0.6671	26812.7754	28366.6035	27950.2051	28055.7207	28907.0723	25350.375	30783.418	29937.8438
0.8005	26929.6973	30328.041	29413.6074	28418.5039	28613.4727	25926.4355	32654.998	29277.7871
0.934	26797.7461	29415.4375	28513.4707	27549.3926	29498.9121	24838.6621	34058.5586	29701.3926
1.0674	25462.0234	29010.0059	27101.9375	27327.3047	29426.2441	24041.8848	32950.3711	30817.5977
1.2008	26004.8789	28708.666	29171.625	26836.2832	28760.9199	24624.2578	33623.5898	30009.0391
1.3342	27758.5938	28547.8379	30111.9863	27067.7051	27747.709	26203.5254	33456.0039	31194.5957
1.4676	28077.5508	29276.8594	28701.8555	28400.8438	27141.3711	24610.7832	32560.9941	29901.1836
1.6011	29092.3984	28697.584	28591.6992	29015.168	27558.2871	24687.8887	33331.4336	32080.7734
1.7345	29430.3164	28022.2363	28567.0312	28656.5996	27675.5586	26742.373	31833.1172	30027.9043
1.8679	28258.584	30074.3438	27201.6895	27779.959	26756.3672	26934.2266	32987.2227	29251.0312
2.0013	27550.7578	31730.8555	26990.9688	27646.8125	28203.4785	25446.127	30617.0898	30087.3867
2.1347	30582.1816	29524.5781	28064.4531	27967.6406	28227.4297	25066.2656	31915.6211	30520.834
2.2682	29960.9648	29855.2598	27299.6387	28471.1973	28973.9062	26695.5664	30358.7812	30508.5469
2.4016	29423.7285	33476.7891	27499.8047	28163.332	31506.4258	26730.8652	30223.2695	30160.498
2.535	29261.6016	31777.7363	28026.7285	29431.4062	36290.7148	28666.4512	31984.4512	29588.0879
2.6684	30092.0469	32720.2754	28321.9707	28189.127	38405.5312	29357.7754	31592.3867	30490.0664
2.8019	31009.0723	32395.666	30766.2441	29373.7734	36245.6445	30010.4297	29951.4785	33609.9844
2.9353	30386.1172	31607.0586	34258.1367	29929.625	33802.4375	31615.0684	30595.043	39606.5312
3.0687	33219.5938	33829.0156	42458.957	31024.2402	29848.0859	33744.8984	31148.2227	55842.2539
3.2021	42579.1641	37082.5312	50419.957	33454.2266	30701.4746	38783.4609	31588.8145	80396.4531
3.3355	56685.0547	40711.2031	51158.832	39350.1523	30785.1582	43332.8164	32870.5078	87928.9922
3.469	61722.3633	40285.4922	42103.2812	51299.3867	29930.2852	38471.0156	38115.3242	67602.1953
3.6024	48941.4141	44844.2109	35289.9883	62078.4297	30995.0078	32746.2969	52088.3555	45957.1953
3.7358	37030.0781	54787.5625	32459.7676	57320.9062	NaN	28087.877	78166.2578	37405.3203
3.8692	31231.2148	75843.8828	NaN	42395.5859	NaN	27534.541	84136.1328	33452.5977
4.0027	29959.9844	70122.4141	NaN	35179.4336	NaN	26983.4414	60310.043	32825.6602
4.1361	NaN	48779.4805	NaN	31974.8848	NaN	26261.4453	41994.4609	33603.8398
4.2695	NaN	44220.3398	NaN	31044.9941	NaN	NaN	35733.4727	NaN
4.4029	NaN	NaN	NaN	29783.373	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	30487	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	29593.1934	NaN	NaN	NaN	NaN
