x	Y_20181208_15100_18_7g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_8_6g
0	13731.9287	10408.9678	12817.2227	11876.585
0.1334	16147.6494	11932.0742	15674.3564	13267.2451
0.2668	17441.0371	14663.4766	18404.9785	14108.9287
0.4003	16639.7754	17215.3281	17334.6934	16154.335
0.5337	16035.9951	18075.084	16997.8281	17953.1719
0.6671	15691.5029	16549.8828	15948.2031	18508.2129
0.8005	15821.9961	16136.7754	16622.7578	17469.4395
0.934	15966.0645	15936.9082	17293.1426	16692.0977
1.0674	16879.3555	14756.9658	17536.6191	15539.7666
1.2008	17418.0176	14015.0518	17002.4121	15282.1982
1.3342	17123.5215	14191.9658	15905.9043	13903.8623
1.4676	16744.9766	13777.4473	14703.4834	14007.0986
1.6011	16131.2793	13190.8115	14950.1318	13806.6738
1.7345	14683.4385	12973.2617	13753.7637	13483.334
1.8679	14543.5996	12559.1377	12693.2705	12685.9844
2.0013	13970.8789	12120.1172	12657.2705	12771.6094
2.1347	13843.1699	11807.4268	12850.459	12849.9629
2.2682	14054.9248	11880.0928	12271.8232	12860.6592
2.4016	12968.5059	11712.1338	NaN	13611.6641
2.535	NaN	11865.9092	NaN	14322.0576
2.6684	NaN	12144.5127	NaN	NaN
2.8019	NaN	10977.8145	NaN	NaN
2.9353	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
