x	Y_20180130_15100b_17_10g	Y_20180130_15100b_22_10g	Y_20180130_15100b_23_5g	Y_20180130_15100b_23_6g	Y_20180130_15100b_8_4g
0	39464.488	36652.812	40372.656	33553.707	38255.098
0.1334	37586.824	36779.367	40178.242	33098.523	38452.961
0.2668	37440.562	38261.879	40636.465	32312.17	37401.473
0.4003	37061.68	38359.074	41174.441	32732.373	37521.223
0.5337	37415.145	38439.52	39539.426	34625.609	37265.676
0.6671	37673.836	37566.102	38754.973	33038.922	37602.062
0.8005	37976.039	38010.246	39488.387	33452.371	38165.93
0.934	36900.902	37977.551	39394.961	33570.188	38780.074
1.0674	36507.414	37452.371	40315.711	32634.627	37567.734
1.2008	37006.098	36217.617	39176.863	34464.566	37020.477
1.3342	35975.324	35769.371	38858.512	32582.729	36703.355
1.4676	35086.062	36282.34	39208.07	33910.676	36930.828
1.6011	35198.711	37550.43	38517.496	33297.875	38151.621
1.7345	37735.109	36920.914	38747.969	33784.898	36149.754
1.8679	37575.262	37497.609	39677.453	32133.822	37515.09
2.0013	36894.145	38103.941	40466.805	32205.6	36579.168
2.1348	36325.672	36249.875	39749.844	33758.254	36834.91
2.2682	37680.184	39302.941	40834.992	33514.949	38037.199
2.4016	39174.535	39771.023	41676.832	34493.242	37988.863
2.535	39564.426	43674.367	43245.066	34879.441	38067.52
2.6684	40561.625	49638.734	41507.793	36194.664	39563.98
2.8019	42671.191	59713.082	46362.547	37723.863	41273.812
2.9353	44972.004	59723.492	53967.023	39994.293	43801.039
3.0687	51526.395	50848.859	76901.172	46868.055	48891.004
3.2021	63694.941	49409.441	103018.039	62512.77	66092.414
3.3356	84066.062	53747.41	95015.625	83480.992	105231.43
3.469	90688.859	54880.699	74254.641	84268.883	119371.297
3.6024	67827.805	47836.559	59452.012	60544.434	90051.805
3.7358	49532.078	41391.703	51583.473	44477.328	67503.305
3.8692	42214.98	NaN	46047	NaN	58149.34
4.0027	NaN	NaN	NaN	NaN	48733.832
4.1361	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN
