x	Y_20181208_15794_28_3g	Y_20181208_15794_3_19g	Y_20181208_15794_5_7g
0	9717.6318	12777.5713	10945.4307
0.1334	9807.9541	15547.4785	10398.9434
0.2668	10086.4375	18995.2344	10618.8857
0.4003	10750.0537	19037.043	12500.9189
0.5337	11577.4238	17531.7031	14516.418
0.6671	13206.2998	17775.627	16307.125
0.8005	12742.7344	17249.834	15685.2539
0.934	11824.6133	16552.0605	14841.7354
1.0674	12509.4326	15705.9521	14234.877
1.2008	11897.667	15382.9805	14483.8115
1.3342	11342.459	15421.8369	13810.1836
1.4676	11466.0664	16541.4707	13401.3359
1.6011	10742.1592	16521.3438	13573.1641
1.7345	11323.9951	14774.9482	13710.2627
1.8679	11479.4395	13024.5537	13999.6406
2.0013	11019.9629	12616.873	13865.5225
2.1347	11213.7754	12867.585	14096.7178
2.2682	10571.04	13677.748	14658.377
2.4016	10971.0781	14245.8516	15248.418
2.535	11224.1377	14425.8652	15596.4463
2.6684	12199.8164	14187.0576	15600.3633
2.8019	12540.4648	13815.9453	13984.4717
2.9353	12075.4111	13452.3779	13987.04
3.0687	12406.4834	13044.2998	14829.751
3.2021	11834.8867	12798.1143	13453.7588
3.3355	12098.9023	11780.9697	12767.6553
3.469	11866.458	10921.5078	13520.5361
3.6024	11675.7803	10442.4199	12916.0928
3.7358	10941.7383	10024.835	12708.9209
3.8692	11214.0986	NaN	12915.5508
4.0027	10655.6221	NaN	13107.8027
4.1361	10575.9766	NaN	13143.0146
4.2695	10306.2773	NaN	12988.1113
4.4029	10185.2139	NaN	12146.5938
4.5363	9909.0586	NaN	11609.3018
4.6698	9893.8281	NaN	NaN
4.8032	NaN	NaN	NaN
4.9366	NaN	NaN	NaN
5.07	NaN	NaN	NaN
