x	Y_20180130_15100b_13_15g	Y_20180130_15100b_14_3g	Y_20180130_15100b_15_1g	Y_20180130_15100b_18_20g	Y_20180130_15100b_3_2g	Y_20180130_15100b_5_14g
0	32683.898	34353.059	34359.164	37707.691	38895.082	32818.977
0.1334	33601.684	33497.453	35686.48	37241.41	37931.84	33310.215
0.2668	31970.154	36598.629	35599.777	36239.453	38880.324	32912.336
0.4003	31388.24	35101.426	36209.266	35799.145	39235.285	30943.611
0.5337	33328.402	36652.566	35708.746	36421.23	38301.535	29868.246
0.6671	32058.396	36199.09	34456.359	37678.938	36986.852	29735.119
0.8005	32792.262	33893.949	35729.316	35927.91	37257.668	30331.996
0.934	31855.684	34031.27	36931.758	34895.219	36684.098	31377.193
1.0674	31822.492	36447.973	35822.012	35438.457	37244.012	31897.758
1.2008	31633.371	34347.68	35552.934	35648.781	37127.27	32018.953
1.3342	32536.418	36555.602	35350.355	35577.727	37730.012	31603.637
1.4676	31548.055	34746.051	35228.785	35150.168	37910.598	30501.535
1.6011	30991.391	35803.52	34176.055	35945.723	38534.777	32454.754
1.7345	31086.717	34639.668	33696.402	35440.391	38880.758	32063.924
1.8679	32554.715	34149.145	34872.824	34646.93	37914.812	30169.814
2.0013	32911.801	36089.691	35776.227	33742.969	38954.547	30044.195
2.1348	32319.965	37138.727	36687.461	35960.453	37458.457	30641.736
2.2682	31525.059	37337.766	36488.586	35884.555	36752.641	31248.889
2.4016	33343.746	38185.789	38477.051	35493.309	39338.371	30300.23
2.535	35205.176	39044.852	42582.152	35870.723	39571.121	29877.205
2.6684	36864.531	47746.086	47519.156	36604.066	43300.969	30079.178
2.8019	43674.906	65275.227	48598.891	39503.02	48639.875	33280.316
2.9353	60874.309	106358.391	42431.723	44001.875	63100.105	35590.602
3.0687	99870.273	132072.406	44409.234	54086.797	86440.758	43907.359
3.2021	127012.859	94851.016	45159.992	77675.531	83937.711	52219.859
3.3356	101551.992	64388.723	43157.488	95983.633	61795.355	49383.531
3.469	67727.008	47700.887	39548.832	79617.719	46715.113	42391.129
3.6024	NaN	43128.152	37891.473	56810.035	42255.262	41195.93
3.7358	NaN	NaN	36064.027	45317.293	NaN	NaN
3.8692	NaN	NaN	NaN	40513.219	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN
