x	Y_20180130_15100b_1_13g	Y_20180130_15100b_1_5g	Y_20180130_15100b_1_8g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_14g	Y_20180130_15100b_10_7g	Y_20180130_15100b_12_1g	Y_20180130_15100b_12_8g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_4g	Y_20180130_15100b_15_15_1g	Y_20180130_15100b_15_2g	Y_20180130_15100b_15_7g	Y_20180130_15100b_16_12g	Y_20180130_15100b_17_4g	Y_20180130_15100b_18_10g	Y_20180130_15100b_18_11g	Y_20180130_15100b_18_8g	Y_20180130_15100b_18_9g	Y_20180130_15100b_2_8g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_5_2g	Y_20180130_15100b_21_1g	Y_20180130_15100b_4_17g	Y_20180130_15100b_4_7g	Y_20180130_15100b_5_15g	Y_20180130_15100b_6_2g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_16g	Y_20180130_15100b_8_3g
0	34218.344	33597.699	36095.898	38139.988	36008.117	33974.762	33602.434	33178.906	33692.602	36575.262	39284.895	34127.758	36639.129	39107.746	36645.562	35404.637	34412.086	38459.988	34061.637	40546.273	35363.887	36513.621	34213.41	37459.648	38072.48	35178.531	34842.039	34524.727	39829.48	38746.562
0.1334	34882.883	32241.037	36877.117	38820.898	36573.48	33695.016	32359.984	33596.633	34079.215	36004.418	38567.801	32481.924	36896.637	39281.703	36079.574	35493.258	36107.832	37296.887	34790.855	38704.043	37351.176	36677.574	34564.219	37617.617	38231.203	33730.324	35686.5	34459.738	39482.52	37242.074
0.2668	33001.766	33275.547	35882.648	35751.809	36602.789	34084.762	33839.941	35084.875	33777.586	36289.398	39055.148	32589.227	37039.898	40782.695	33707.766	35436.234	35038.25	36571.574	34775.172	38238.453	38281.734	36230.867	34436.238	36515.164	38324.531	35247.43	36340.355	37154.754	39314.246	36955.23
0.4003	34648.121	34698.152	37236.375	37167.707	36108.016	34524.516	31944.885	34419.824	34337.609	36259.547	39028.668	33413.199	37542.766	39946.391	34049.68	35812.598	34952.945	36885.938	33500.48	38430.168	37930.695	36080.848	35725.566	35485.477	38011.926	33916.98	34959.82	35831.086	37711.34	35539.734
0.5337	35058.512	32540.691	38123.5	35121.062	36571.887	33280.727	31678.502	35365.676	36195.766	35002.316	37817.777	33273.59	36100.246	40382.355	33990.203	37793.223	35153.07	37962.27	34510.477	36887.242	38299.914	36492.703	35533.59	36966.289	37506.691	34981.441	36335.453	36880.453	36934.137	35823.566
0.6671	34260.418	31938.055	35920.664	35654.926	38065.309	34018.539	33242.84	33779.445	35297.004	34824.496	39059.906	31929.824	36447.102	40471.633	34577.789	35947.305	34042.703	37942.699	33398.242	36825.402	38705.988	35944.836	34597.195	35970.953	37526.254	34414.492	36479.758	33655.805	35996.477	36204.465
0.8005	33605.301	34397.91	37619.805	36848.906	38450.938	33257.008	32909.566	34428.488	34443.141	34851.199	39171.629	31805.617	35318.582	39586.266	36253.133	36234.363	33685.117	37493.984	35100.246	39425.934	37700.145	37623.844	35129.816	37478.184	37420.766	34989.246	36774.977	34175.758	36405.215	36351.262
0.934	33907.297	34380.586	37368.906	36419.066	37519.699	33457.207	33369.828	33908.789	36689.383	35426.543	37499.617	31278.625	36260.367	39609.441	35710.59	37063.309	33483.281	37481.094	34768.266	39414.984	35854.711	37047.215	35746.766	38542.352	36535.355	34941.141	39478.621	33235.594	37512.875	36013.613
1.0674	33044.18	35252.266	35852.895	36298.445	38291.508	34152.504	32379.346	34779.125	35233.484	36411.324	39105.887	31647.234	38072.105	39856.332	37446.535	36336.254	34257.473	37135.461	34501.262	38908.711	37862.977	37791.242	35248.961	38434.172	35985.797	36042.793	39776.195	31950.152	39348.691	37369
1.2008	33120.039	38326.762	37333.488	38255.906	40265.805	35088.996	32852.039	37232.242	36641.266	35896.203	40211.262	32923.309	40560.172	41320.906	37313.797	36469.617	35815.441	37084.719	33903.93	38262.23	41074.156	37615.215	36697.391	40993.379	37890.133	37705.676	40892.816	34402.871	40178.195	37299.98
