x	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_10_11g	Y_20181208_15693_10_13g	Y_20181208_15693_10_1g	Y_20181208_15693_10_20g	Y_20181208_15693_10_7g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_12_7g	Y_20181208_15693_13_12g	Y_20181208_15693_13_2g	Y_20181208_15693_13_9g	Y_20181208_15693_14_10g	Y_20181208_15693_14_4g	Y_20181208_15693_14_8g	Y_20181208_15693_15_11g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_18_5g	Y_20181208_15693_19_6g	Y_20181208_15693_2_1g	Y_20181208_15693_2_5g	Y_20181208_15693_20_1g	Y_20181208_15693_20_2g	Y_20181208_15693_20_3g	Y_20181208_15693_4_5g	Y_20181208_15693_5_10g	Y_20181208_15693_5_13g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_7_3g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693_8_5g	Y_20181208_15693_8_6g	Y_20181208_15693_9_12g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g
0	13457.7246	11935.8008	11630.3633	9644.9727	11689.8662	13667.6172	9840.627	10512.8105	13831.002	12095.1904	12110.8721	14551.6299	11147.874	13228.96	11180.9834	12929.125	11400.5098	12258.1562	10979.7666	10672.5088	15604.8379	11974.7178	11150.9355	12013.1562	12482.708	13133.9082	11668.8984	10218.8838	10369.749	10796.4609	12145.5273	11257.3975	12424.6943	12875.96	12493.75	12946.7275	13000.9893	12189.8721	12213.1094	14773.4814	9601.9346	12209.416	12098.0654	14927.1748	12250.8242	11319.8223	15211.9326	10835.7559	11452.2051	11439.4531	13352.7246
0.1334	13681.4775	11889.5156	12888.2764	11663.209	11764.1475	13052.332	9841.9346	11894.8838	13864.8496	13470.5127	14144.2754	18579.1367	11151.3887	14256.417	11427.542	13498.4404	12359.9844	14045.5049	12574.0908	11359.9043	17951.4766	12482.3115	11946.375	11535.585	12686.6914	13812.6143	13725.6084	10077.4082	12094.0176	11199.2207	13043.0273	12380.5127	14959.6406	12945.7314	14024.4688	13770.9609	14030.2139	13151.1846	12199.915	17594.3242	9429.3145	11908.1621	12777.5107	17675.6953	14834.6074	12143.8574	18253.3809	11013.2305	11922.7324	11596.5801	13702.335
0.2668	15806.8779	13841.4863	14613.7354	13037.2207	12097.6738	14099.1357	10170.7412	12926.5967	13464.5732	14608.1279	16538.7891	17965.582	12198.8428	18150.8594	11812.3418	15637.6455	13819.0703	17900.8555	13640.8613	11691.373	15378.4658	13278.7627	12454.832	12373.2432	13703.9756	16485.3281	17193.3008	10287.9463	15311.5176	11336.1094	15615.3418	13951.0068	16892.3066	13518.1465	15823.8672	15505.4414	16963.5176	15304.9531	12334.8984	19924.7148	10095.7812	13148.5264	12976.0156	19263.8926	16834.3535	13713.2129	18505.248	12265.0547	12649.165	12986.9287	15860.3076
0.4003	18228.4922	17101.3867	17366.7441	13772.4023	12420.3428	15553.7998	10305.6846	13071.8262	14075.499	17512.1406	18999.7695	15383.9697	13630.4111	19443.4961	13126.8613	20284.4824	16731.5898	19075.2422	13229.5957	13633.9102	12722.2373	14232.0576	13740.1494	13252.5557	16409.9824	19593.5781	21277.3262	10413.3555	22427.6719	13009.0615	18366.7871	15508.9863	17482.5117	16102.248	19020.0898	18521.3809	20768.3945	17585.127	12314.2402	19144.0098	10049.7715	14532.1162	13418.9238	16772.5508	18091.0664	15901.2871	15996.9043	13976.8047	13676.9473	15062.21	19941.457
0.5337	18587.8613	17801.4961	18451.1895	13473.1816	14351.5117	16615.9375	10497.8125	12295.3525	15897.1592	17611.2871	17903.7969	14043.123	15619.165	17150.4805	13439.415	23469.418	18289.0449	15664.1465	13233.9248	16308.8828	13489.8477	17452.1426	15923.8193	14294.8271	19388.6289	22111.1602	20578.4414	10674.2871	25514.3066	13892.5391	18826.9102	15796.6396	17462.2852	16981.0098	18132.9727	19503.4941	18572.1738	16832.8164	13531.8984	16386.1172	11081.9893	15085.7324	15061.9834	13737.0479	15526.9561	16866.4004	15273.9424	16271.8232	15203.1807	14976.3018	19702.7285
0.6671	17080.1094	17075.9082	16213.5078	12883.2197	15089.7031	16363.625	10331.4014	11839.5645	17742.1289	16918.9492	16660.7754	13026.1113	16609.2227	13995.4551	12187.5518	23053.8984	16893.4355	13306.8662	12456.8242	17370.2656	14940.5498	19333.0371	16176.0459	14304.1221	19873.4922	20884.8184	16303.9082	10817.5615	22836.957	15336.9717	16248.8076	15340.9502	15569.6582	17523.4922	16172.8799	16607.457	17245.4082	14371.6406	15436.5225	15421.2773	12003.9678	15329.6836	16325.6484	12147.1104	14523.4844	16286.9482	14561.1943	15420.7432	15776.7363	13043.5273	18080.6797
0.8005	14319.9648	14709.4854	14658.4102	13965.1621	14821.1289	14402.2812	10800.373	12328.8311	17283.2402	15708.4004	15603.1357	12762.4014	16049.9824	12245.3135	11158.4971	19604.0039	15594.1592	12127.5752	12591.748	14929.6602	15464.3643	18521.5762	16242.0791	12006.6475	20359.9395	20302.2559	15043.3799	11179.5586	18664.4004	13917.7598	15362.6777	13787.5928	15083.5156	15411.7344	16302.8955	14591.958	15172.4893	13303.665	16569.6035	14290.458	14073.7188	14506.3086	15387.1328	11604.29	12476.3301	13857.8447	14522.6738	14777.5215	15054.1035	11307.4375	17164.3477
0.934	15322.3359	13162.2295	13335.2617	13826.5352	13816.2383	13727.5703	10503.7988	12034.3135	14959.3398	14379.0107	15298.8027	12704.9248	14849.9336	12272.5674	10505.9658	18039.7031	14575.6768	11391.0928	12843.1748	13468.748	14447.6279	16936.6914	16305.9512	11624.7246	17161.1602	20293.2285	14985.9326	11400.3184	16934.1738	14249.2744	14955.8398	12244.1504	14149.9014	15437.1328	15657.4678	12878.8018	13876.8877	13863.7734	16794.5234	14595.0312	14793.5039	13976.1289	13678.5801	12217.6338	12581.0215	13258.9277	14724.6777	14036.0391	12975.877	10968.5312	16186.6104
1.0674	15559.2139	13174.9268	13427.4951	13743.0879	13432.2715	13288.9727	10581.5273	11842.4697	13372.6494	13956.9307	14200.041	13706.2715	14841.6943	12614.96	10932.8682	16401.7344	14045.9375	11484.1094	13291.501	12789.2422	14169.3389	15506.5889	16503.5977	10889.0859	14300.0977	23525.4668	14219.5664	11337.0078	15351.3438	14607.6406	14450.0674	11709.7129	12782.8115	14679.0781	15247.0986	12290.248	14202.1992	14503.873	15277.3164	14807.5986	15819.2998	12787.6934	12907.9092	11781.6348	12389.6016	13317.1436	14138.8984	13467.2129	13292.6201	10936.5566	15065.5225
1.2008	15639.6943	13445.4004	14216.0986	13111.0869	13740.5791	12503.3164	10658.3184	11864.4346	11726.5479	12721.1963	12253.2109	14189.6396	14430.8486	13556.9004	11618.6895	14685.3145	14044.7578	12224.9326	12989.2861	13328.9639	14013.0586	13898.5342	16338.1748	10723.0498	14453.2656	24102.6836	13806.7578	10963.1494	15307.9346	15552.8682	14571.8223	12274.0342	12854.2881	14793.2344	14771.2363	11767.5137	13976.5693	13266.7354	14030.0527	14425.3975	17242.0488	11700.9512	13182.9102	12221.0303	14216.9297	13909.6768	13761.6133	13323.7881	12167.9961	10974.3877	15435.1621
