x	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_7_9g
0	10762.3643	10430.3027	9753.6133	11905.6445
0.1334	11003.4238	11522.5967	11546.2031	12255.5361
0.2668	11844.6514	14677.9424	14055.8271	13969.3486
0.4003	12631.7168	17884.2363	15613.7578	18164.9316
0.5337	14443.9678	19320.9238	16141.5596	20588.877
0.6671	15211.4932	18163.1094	14728.6484	17889.9512
0.8005	14126.7471	16275.4531	14011.4326	15209.3809
0.934	14732.6377	15178.9219	14381.377	14250.8682
1.0674	14701.9863	15534.04	13848.6396	14143.7529
1.2008	14528.002	14874.2158	14116.4961	15519.8154
1.3342	14455.6758	14845.0283	13814.7549	15915.0527
1.4676	14833.3652	15037.541	13805.6006	14831.6055
1.6011	15252.127	14452.1982	14585.9424	14283.2744
1.7345	14521.7656	14835.002	14016.0088	14568.167
1.8679	15084.4404	15285.6367	13651.8164	13787.7344
2.0013	15785.9551	14282.4375	13516.0908	13349.2217
2.1347	15520.3945	15147.0312	12961.8008	12818.2852
2.2682	14771.5381	16086.5049	13038.4463	12769.8887
2.4016	14111.6875	14965.7373	12665.5391	11995.1279
2.535	14028.8809	13497.0918	13179.334	12416.4854
2.6684	13711.8311	13153.6045	13146.2354	12187.7822
2.8019	13606.7061	12988.3047	12451.2803	12344.8066
2.9353	13269.9971	12832.6953	12514.3076	NaN
3.0687	12607.5264	13404.5635	12561.2754	NaN
3.2021	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
