x	Y_20181208_15100_11_3g_left	Y_20181208_15100_18_1g_left	Y_20181208_15100_11_1g_right	Y_20181208_15100_18_5g_right
0	10093.8867	11385.875	9878.4287	10790.7568
0.1334	10343.1426	11348.5967	11184.6807	11475.2666
0.2668	11680.1572	12728.8086	13997.7422	12670.1533
0.4003	13112.8428	14948.5117	16799.4531	14849.9102
0.5337	15264.6201	15872.7402	18599.7129	14779.0322
0.6671	14909.3271	15436.4355	18062.6113	14601.2705
0.8005	13447.1963	15675.0879	16781.1719	14516.8379
0.934	12973.3564	15082.6895	15233.167	14569.0127
1.0674	12749.3154	13475.3154	15204.2598	14161.3828
1.2008	12884.1211	13939.3584	14417.6777	14981.2979
1.3342	13543.0576	15456.2803	13778.082	14652.458
1.4676	12701.0645	15318.4336	13735.6016	14529.7373
1.6011	12699.7705	13985.5186	14252.6914	14711.8613
1.7345	13865.6309	13031.0303	14603.5205	14597.9404
1.8679	13614.3672	13609.0566	14682.6484	15195.6445
2.0013	13339.9121	15211.3779	14815.5801	14576.4854
2.1347	13817.1416	16553.6953	14987.498	15031.0986
2.2682	13332.2998	17476.8535	14546.6865	15451.9062
2.4016	12864.708	16390.7598	14482.3301	16452.3145
2.535	12325.9561	15347.1025	14904.0615	17091.3887
2.6684	11210.208	15080.3213	14563.8867	16420.2617
2.8019	11271.5908	13858.252	14085.5635	16204.2549
2.9353	10939.335	13201.0576	14038.1133	15260.4854
3.0687	10526.7217	13427.2275	12874.5049	14340.873
3.2021	10273.0977	12925.8223	11249.0088	14276.2959
3.3355	10017.3682	13025.8027	11260.7891	14036.8174
3.469	10053.2178	12787.6953	10376.4961	14737.2373
3.6024	9950.2344	12218.6924	10796.0273	13228.9619
3.7358	10041.1934	12121.6816	10834.7275	11947.7344
3.8692	NaN	12384.5342	11139.2891	NaN
4.0027	NaN	12660.4688	NaN	NaN
