x	Y_20180224_15102_10_2g	Y_20180224_15102_11_6g	Y_20180224_15102_12_5g	Y_20180224_15102_13_14g	Y_20180224_15102_13_5g	Y_20180224_15102_15_14g	Y_20180224_15102_15_15g	Y_20180224_15102_19_2g	Y_20180224_15102_19_3g	Y_20180224_15102_19_4g	Y_20180224_15102_1_1g	Y_20180224_15102_20_4_S_g	Y_20180224_15102_28_11_S_g	Y_20180224_15102_28_13g	Y_20180224_15102_28_6g	Y_20180224_15102_2_6g	Y_20180224_15102_4_9_s_g	Y_20180224_15102_6_1g	Y_20180224_15102_7_2g	Y_20180224_15102_7_6g	Y_20180224_15102_8_10g	Y_20180224_15102_8_5g	Y_20180224_15102_9_2g
1.3342	28200.791	34164.391	22954.318	24739.15	18189.24	15593.451	19900.439	21058.494	15842.228	16213.228	18354.969	16081.27	23713.865	17990.041	21791.807	20264.975	21051.865	20352.049	15404.463	21851.201	18770.979	20490.049	18874.875
1.4676	25217.861	31798.748	22144.129	21543.375	17976.076	16780.01	20733.316	19576.564	15810.974	16632.016	18076.865	16953.768	23037.859	18007.773	20230.787	19991.754	24389.898	20295.957	15460.951	21205.76	17922.197	20371.695	18992.26
1.6011	24346.691	30340.801	22801.73	19855.518	17786.607	18122.455	18939.27	17847.098	16825.529	16173.402	17010.248	16998.174	23388.928	17397.496	19701.883	20711.643	26740.219	20038.453	15015.475	20238.646	17825.566	21313.061	18714.949
1.7345	25301.211	29537.885	20295.117	18872.646	18031.535	18450.197	18239.652	17833.451	16587.164	14196.857	17961.383	16020.039	22358.744	16731.098	19258.027	19713.83	24932.859	18869.631	15214.693	19713.711	16909.5	22495.508	17813.857
1.8679	26981.297	29604.984	19003.729	18431.842	16921.133	18225.75	17533.816	17997.703	17402.133	13996.248	17021.395	15311.676	21325.965	17614.516	17005.227	18112.141	24249.26	20009.391	13978.037	18212.805	17014.381	23406.209	16966.611
2.0013	30562.814	27962.152	16736.953	18779.299	16681.67	17812.965	16210.295	17631.934	17479.611	14072.545	18360.777	15000.639	20748.525	18209.582	16543.012	18457.83	24200.047	18318.391	14697.083	16542.658	16789.834	23956.686	17650.873
2.1348	30281.941	26186.723	15895.245	18236.951	16298.105	17847.18	16143.903	16367.631	15978.558	14441.371	19107.613	14635.373	20860.721	17806.201	16987.254	18364.148	23175.59	19579.781	14356.05	15936.898	16521.301	22947.547	16881.246
2.2682	28949.596	24101.291	15907.068	17993.197	16181.363	17654.908	15902.863	16598.975	16408.574	15545.078	19151.818	15469.715	21117.918	16622.678	15661.096	17198.857	21121.848	18846.93	14341.582	15700.974	16614.693	22394.209	15799.761
2.4016	27714.105	23179.771	15783.312	17671.996	15187.715	16380.976	15161.936	16937.971	15829.794	15878.628	18159.107	16493.398	22533.9	15953.552	14893.851	16360.498	19771.982	17364.605	14836.434	15525.98	17310.834	20142.506	14637.759
2.535	26250.928	22918.023	15541.145	18151.848	14591.095	15355.589	14862.304	16711.781	14631.852	15012.62	16579.637	15535.113	23764.91	15583.873	15505.731	15950.381	18860.539	16600.195	14583.826	16775.582	16563.213	21056.781	14383.766
