x	Y_20180130_15100_3_3g	Y_20180130_15100_4_15g	Y_20180130_15100_6_14g	Y_20180130_15100_6_17g	Y_20180130_15100_6_2g
0	14038.958	15337.298	14059.607	16203.897	15180.236
0.1334	14566.794	16075.89	14063.676	15305.34	15280.749
0.2668	14182.88	17128.426	13713.972	15449.223	15632.95
0.4003	14239.352	15803.419	14993.805	15996.99	15723.76
0.5337	14563.526	15368.722	14254.253	15859.027	15784.118
0.6671	13955.615	15549.629	15106.354	15355.502	16090.815
0.8005	13560.587	15270.636	15158.207	16380.701	16204.237
0.934	14153.733	15110.844	14865.045	16701.68	16504.148
1.0674	15696.723	16419.809	14651.719	16298.709	16473.955
1.2008	14909.47	15691.226	15138.471	16742.676	15885.45
1.3342	15248.335	16447.531	15525.834	16621.787	16333.873
1.4676	14322.059	16350.571	14727.061	16926.986	16062.59
1.6011	14759.849	16496.258	15717.086	16684.654	15506.725
1.7345	14199.636	15016.843	15750.472	15791.92	16493.758
1.8679	14588.78	15674.701	15061.067	16034.633	16342.45
2.0013	16077.334	16366.68	16342.562	17043.207	15695.9
2.1348	15081.826	15855.137	16606.656	17654.023	17593.777
2.2682	15336.746	16560.652	18479.961	18032.361	18798.217
2.4016	15634.284	17327.59	23552.758	20306.979	20880.213
2.535	14690.708	18180.127	33140.434	24092.289	24964.529
2.6684	15845.702	20844.324	43302.57	30501.002	37942.105
2.8019	15859.039	25317.578	35968.523	30914.545	51606.031
2.9353	17965.498	29122.449	25121.467	25215.914	48154.383
3.0687	20730.293	29818.922	19044.246	20730.195	32201.088
3.2021	22485.51	28120.172	16354.896	18060.586	22966.566
3.3356	20626.906	21578.551	NaN	16386.715	18329.818
3.469	17551.105	18936.811	NaN	15815.408	17396.043
3.6024	15941.137	16206.124	NaN	NaN	NaN
3.7358	14780.877	15875.941	NaN	NaN	NaN
3.8692	14812.613	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN
