x	Y_20181208_15692_38_8g	Y_20181208_15692_44_5g
0	9440.2939	9603.9463
0.1334	8940.541	9869.5244
0.2668	9001.3525	10502.8945
0.4003	9979.6299	11841.2793
0.5337	11301.1992	16221.4355
0.6671	13768.4609	21583.9102
0.8005	16874.4453	23901.8906
0.934	18403.418	21180.8281
1.0674	16211.2295	19085.3633
1.2008	15372.5312	17808.5078
1.3342	14648.9238	16617.0332
1.4676	15155.4004	16939.0215
1.6011	14157.9482	16151.5967
1.7345	13470.1416	15992.5088
1.8679	13897.7773	15922.9004
2.0013	12954.9082	15300.9619
2.1347	13254.0508	14625.7314
2.2682	12749.0283	13865.2832
2.4016	12829.0684	13565.7168
2.535	13862.7266	13503.0732
2.6684	13763.7705	13189.6172
2.8019	15133.9961	12966.9541
2.9353	15158.0859	12522.2002
3.0687	15144.2891	12226.291
3.2021	15007.043	12202.9609
3.3355	14587.8467	12837.3418
3.469	14872.7529	12309.4658
3.6024	14178.1279	12454.5264
3.7358	13746.293	12024.3193
3.8692	13209.1152	11444.8945
4.0027	12598.1973	11264.4619
4.1361	12633.9033	11045.9131
4.2695	11452.1924	11280.002
4.4029	11877.623	NaN
4.5363	NaN	NaN
4.6698	NaN	NaN
