x	Y_20181208_15692_30_12g	Y_20181208_15692_30_1g	Y_20181208_15692_30_4g	Y_20181208_15692_30_5g	Y_20181208_15692_31_13g	Y_20181208_15692_31_16g	Y_20181208_15692_31_18g	Y_20181208_15692_31_9g	Y_20181208_15692_32_11g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_34_7g	Y_20181208_15692_34_8g	Y_20181208_15692_34_9g	Y_20181208_15692_36_10g	Y_20181208_15692_36_5g	Y_20181208_15692_37_9g	Y_20181208_15692_38_14g	Y_20181208_15692_38_15g	Y_20181208_15692_38_1g	Y_20181208_15692_38_3g	Y_20181208_15692_38_4g	Y_20181208_15692_38_7g	Y_20181208_15692_38_8g	Y_20181208_15692_39_12g	Y_20181208_15692_39_13g	Y_20181208_15692_39_4g	Y_20181208_15692_39_5g	Y_20181208_15692_40_15g	Y_20181208_15692_40_5g	Y_20181208_15692_40_7g	Y_20181208_15692_41_8g	Y_20181208_15692_42_12g	Y_20181208_15692_42_15g	Y_20181208_15692_42_4g	Y_20181208_15692_42_6g	Y_20181208_15692_43_11g	Y_20181208_15692_43_14g	Y_20181208_15692_43_19g	Y_20181208_15692_43_5g	Y_20181208_15692_44_12g	Y_20181208_15692_44_8g	Y_20181208_15692_45_14g	Y_20181208_15692_45_4g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_46_12g	Y_20181208_15692_47_3g	Y_20181208_15692_47_4g	Y_20181208_15692_6_12g	Y_20181208_15692_6_1g	Y_20181208_15692_6_2g	Y_20181208_15692_7_13g	Y_20181208_15692_7_8g	Y_20181208_15692_8_5g	Y_20181208_15692b_1_2g	Y_20181208_15692b_1_5g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_24g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_9g	Y_20181208_15692b_14_3g	Y_20181208_15692b_15_3g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_2g	Y_20181208_15692b_16_9g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_3g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_7g	Y_20181208_15692b_7_3g	Y_20181208_15692b_8_8g
0	31728.668	25812.2656	30862.1523	27501.7676	24836.8125	26674.707	33893.4648	31875.041	25678.2969	33111.9531	31306.9707	30033.4355	32887.9062	30521.1113	29083.2305	33309.5039	33125.3555	25872.793	28669.1641	26692.9512	27609.002	32932.793	31379.0059	26694.6836	26530.166	27531.2305	30377.1621	28165.6484	24285.8008	30912.8906	28397.4023	30867.0215	29898.5176	29059.1211	26378.248	30849.2988	30315.2676	27573.9629	28698.3359	28366.6133	32388.3086	30944.543	29643.043	26074.5742	30632.4688	29672.6445	29520.1348	31335.709	28819.3633	28540.498	29124.5898	31703.1914	27431.3965	28818.2734	32317.5977	28779.4941	28204.8809	31840.2852	27144.0723	32407.7012	27872.373	28767.6074	31761.209	24898.1582	31939.7773	30760.6055	28370.5098	28780.0234	30886.1348	30967.7129	30789.8594	30306.9609	27560.334	30082.043	26298.6094	31455.3359	28486.0645	30895.3574	28973.4688	28987.8359	26731.7461	28477.2012	31172.7461	29257.4648	27831.0742
0.1334	31487.8945	26503.4336	30133.6367	29118.9336	25037.543	25691.0254	33323.8047	30154.9043	26702.707	32742.127	32418.5078	29460.7461	32093.541	31315.1992	29904.9727	32701.9121	34538.0156	26161.1836	26875.3027	28202.3828	27694.4844	32596.1992	31177.1562	25312.6348	27166.7734	27712.3477	29421.9824	28410.2324	24644.0039	31184.1133	28784.1953	31682.6934	31581.207	29860.0586	25084.8164	31304.2832	30607.3398	28318.7129	29334.041	29675.7754	31524.1543	31267.7441	27922.5957	25800.043	30371.3301	28752.1348	30942.377	31863.9824	28897.4844	27728.4922	29018.4551	30946.293	28133.3691	28128.0039	33015.3477	30724.3945	29505.1875	32506.6758	28469.4883	30179.3301	28602.5938	29397.9824	30748.0117	23151.1797	32339.2051	29385.1738	27068.6152	28589.8164	31517.0977	30275.1836	30563.3516	31096.2168	27780.7773	30400.0898	27631	31759.584	30027.8652	30426.7422	30047.2871	30294.5527	28492.5527	28564	31607.9766	29288.4023	27231.1895
0.2668	30682.5371	25828.5645	29735.5527	28308.6895	22897.7305	26084.8574	33757.7109	30478.4863	25962.2148	31544.6543	31696.4941	29693.9844	31211.207	31946.748	30541.5293	33635.1445	36362.4805	26101.5762	27743.1719	28520.9941	28414.9277	32802.3867	31191.8477	25238.125	26639.502	27635.1797	28852.1797	28892.0938	25696.7949	30624.4961	27113.2148	33112.3008	32249.6895	30173.4238	24659.7969	30738.3477	29751.7422	28698.5195	29808.8926	29474.5352	32047.5664	30774.7246	28292.8789	26400.0059	29458.6211	29293.4609	30084.9297	32900.5977	29641.9219	27772.2793	28893.5098	32038.0645	28670.8223	27913.625	32786.9883	31171.502	29728.1621	29994.7637	29004.2305	30428.3594	27997.627	28500.6309	30824.0391	23936.668	32964.5352	30632.8789	26490.7578	28824.6191	30897.8516	31731.5762	31335.002	31450.0254	27251.3613	29720.8574	27307.3594	29778.4727	29524.1895	30607.3535	29150.8047	31885.9785	28981.7871	27608.3672	32201.9688	29476.3457	28593.7715
0.4003	31376.3574	26206.9141	30948.4062	27987.1113	26289.3789	25675.7402	33103.3008	28554.2637	25472.3086	30319.6855	32399.6719	30515.8359	31734.8711	30833.4141	28882.6152	32916.3281	34778.4453	25298.5332	28971.9805	28419.082	27846.7891	33845.1719	30206.0254	25636.9863	28043.6934	28794.4785	29419.209	29237.8242	26010.4531	30818.3438	27299.9258	34049.832	31222.2793	27486.416	24236.4512	29880.5352	29891.9355	29113.0664	29187.2246	28038.252	31222.416	29394.5742	28568.4219	28074.7812	29867.4473	28563.8613	28373.6367	30739.0781	30415.7988	30105.7246	28634.5723	32352.0547	28744.5918	27563.7305	31754.4121	32692.0762	29981.8613	30320.2461	29344.377	31296.7285	27711.6484	29578.2578	28814.3242	24317.6992	31800.0371	31876.9375	27295.1855	29204.7168	30470.1758	32696.4844	31113.9883	30205.3379	29554.0312	27254.7383	27603.6191	30407.8926	29954.5625	31987.1738	30866.9453	31907.7637	28233.3965	27652.3965	32977.5195	31542.5508	28323.4609
0.5337	32282.125	26787.6172	31736.1113	26986.0742	24366.7539	25633.6797	32984.5781	29695.3203	25975.9219	29709.9434	33545.2656	32543.8867	32279.6387	29974.1406	29179.459	32593.2969	37246.5391	27154.8008	28880.7539	30284.5293	28535.9023	34138.0586	30249.2188	24867.627	27927.8164	27595.7754	30544.5977	29360.3828	24351.1855	32781.0586	28738.7676	33717.1797	32560.8672	29660.7891	23780.0605	29855.5977	29730.1035	28238.0762	30840.7598	28639.209	30628.166	29355.5039	28490.9961	29409.7383	29617.5234	28203.6523	30298.9043	30868.4316	29884.4512	29237.3223	27970.6523	30766.375	29090.4609	27026.0723	32931.8125	32160.7695	32530.207	31218.9355	30083.1055	32752.375	29456.9668	30234.832	29884.6953	25756.6543	31804.957	32511.623	28238.1855	29578.0449	30680.0234	32636.6348	31376.043	32332.4297	30084.1934	28978.2793	26968.6094	31299.6465	30614.8594	29174.4531	31392.6113	31735.9727	28293.3418	27075.2793	31695.1504	33224.0938	28405.3027
0.6671	32626.2617	26534.2852	32660.5254	26428.8828	25771.2891	25944.332	31978.9141	30762.7402	25987.5605	31972.6855	34330.5859	31809.9375	33079.6289	31195.6895	29442.9336	34356.875	41500.207	29318.3145	30439.6211	29644.1328	29345.6895	33351.8359	30181.748	25191.7793	28650.7852	27322.2617	30790.5488	30556.4023	24933.4707	33620.4961	28078.0996	39319.8438	34805.0156	30715.5977	24149.6719	30688.7676	30086.5254	29296.3535	30848.1582	27346.8398	32471.5352	29271.2324	26971.0801	35846.7383	29169.3594	30183.9238	30900.0742	31163.375	29752.0469	28020.1055	29921.5723	31152.0762	29736.3828	28783.9746	35156.8633	30269.959	32204.6035	30909.7988	30738.4961	33058.9961	30132.4961	32683.2168	29551.3125	25734.1562	32425.2129	33982.1562	28723.2012	28600.3047	30108.6406	31708.5957	31108.8965	31163.1465	29442.4668	30157.3945	27038.9863	31486.2129	29426.7949	31090.0801	32559.6465	31033.7656	27123.3984	27666.6426	32569.4668	38657.9844	32771.4375
0.8005	35140.6484	27306.5762	32852.6094	27314.5273	26305.4512	26600.6758	31850.6973	32271.1562	24810.0449	33827.3008	38979.8203	31697.4492	33577.457	31429.748	30121.1328	36084.8242	50848.2461	29545.3027	29721.582	33233.8945	30346.4043	36106.0977	33448.0703	25802.8672	32132.6074	28959.9629	32680.5137	32234.2969	25035.8789	35350.5039	30289.832	46295.0703	35701.1641	31642.3555	23897.2324	30030.1074	31821.7344	30506.9004	32576.2344	27281.0098	32743.1387	29378.6699	26592.2676	47783.5117	29289.3203	30859.2402	32539.832	30723.9688	30382.2285	29948.7949	31093.7578	30187.4727	32173.9824	27368.582	37302.0117	31645.332	32844.9688	30529.0547	30956.3691	34326.707	30637.4102	35091.7773	31205.041	27413.2188	32777.0508	34824.2305	30830.5586	27940.3574	31355.8027	33930.4023	31862.1973	30036.0137	29721.709	31991.4746	29848.1875	31967.2129	29058.043	30763.7207	36917.6172	32967.1406	28335.9199	28945.0684	31607.5215	49698.8672	39005.2266
0.934	35584.4922	28924.0527	31809.1914	27782.6133	26767.3574	27604.8184	32856.9922	30877.3613	26724.1562	32579.9199	43412.1719	33344.8242	34096.2656	30292.4316	33053.0469	40409.4375	67315.0156	30012.3066	35459.1758	39211.957	34413.043	36203.0508	32998.0938	25913.3105	35929.9766	30410.6895	40348.3398	33543.7812	26631.9004	42824.9453	35308.5234	63824.1055	40608.2461	33401.2891	25654.6738	30876.8887	32592.8457	33457.8594	35797.1719	29245.1641	33884.3828	30921.2559	28292.7246	62744.4648	30273.7324	30272.5312	35078.8789	31054.0488	32035.2676	30666.1621	32514.4629	31884.1738	37777.3828	29453.9277	45612.5391	32625.1445	33627.6641	32056.9941	31496.6855	38516.9258	33476.8242	41900.4805	32408.0801	31111.084	35797.2773	38713.0859	37179.4102	27677.7129	32137.5957	36878.9219	31959.9336	32209.5625	29602.3418	31342.3574	30802.7832	34237.8359	27496.4922	32788.5156	48375.1562	32871.543	28900.293	33235.75	31696.7461	68633.9375	51314.8672
1.0674	40950.1016	30966.7109	32230.8633	30532.0469	26452.2227	29236.2891	32194.791	32024.207	28433.6035	37361.6641	53379.8203	33962.6758	34928.2773	31664.75	35030.9258	51440.4766	87592.6562	37594.0508	42961.2539	56145.1484	46087.4258	38807.2383	33503.4102	26952.3145	47343.9766	35814.1719	53854.9883	37790.3789	26265.7051	55462.4062	46317.2305	86375.9453	55998.1875	36486.9844	26325.6426	29839.0156	32540.668	38508.7188	43370.5703	30860.375	34553.125	31114.9648	27292.0508	59662.8711	32013.5039	30077.502	47883.5664	31741.0293	35699.9531	33592.9023	32398.3301	32348.4805	51147.4883	30142.9258	60709.2188	33492.9453	33361.7695	32861.5117	32983.1523	46082.6523	42733.0312	64602.832	32898.0586	38033.3203	41682.0664	44715.9805	49088.4258	27426.3496	34155.4531	41153.1445	32726.9473	31759.4551	28691.7617	31096.2891	37441.1562	37676.4609	29466.7793	33625.2891	70980.2656	36526.0312	30579.6113	45741.7227	31783.1699	75696.8359	71187.0625
1.2008	50034.3984	37178.5156	32700.0254	31263.8848	30596.5039	32261.502	30962.5762	32853.7422	32915.0273	43364.4492	63242.4688	39773.4766	36820.6484	32446.4668	39717.7461	73825.9219	93302.375	50260.25	70543.9062	66351.1016	69160.9297	50419.2227	40038.8398	26209.0488	61044.1328	44677.875	79079.4844	43283.1953	30927.1992	85071.1875	63326.2109	86303.2891	83736.7969	46688.8555	31998.1934	32041.9102	32240.1211	50900.1914	66915.0781	34813.6133	36881.5117	34196.332	27048.127	41962.9023	34809.9648	30266.418	72262.0469	32216.6367	41701.1523	38052.4883	33815.2344	34567.5859	69198.8828	30705.7324	78489.1094	34245.4023	34013.125	33260.7383	35831.25	67066.2031	58554.1562	90231.0781	36357.5547	53953.4414	50403.9531	52420.1641	59166.6406	28593.1523	42851.0039	53447.9258	36272.9883	34839.8125	30353.4473	34512.5312	50464.1914	50210.4492	29078.3574	36993.6602	85965.4141	43891.8047	34798.8477	67447.3828	32107.8398	58352.5703	80154.5938
