x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_17_4g	Y_20181208_15693_3_8g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g	Y_20181208_15693_9_11g	Y_20181208_15693_9_15g
0	9833.4414	11874.1895	12516.1572	12086.3311	10079.8525	10484.1631	11200.6699	10252.5586	10400.3047	11588.1016
0.1334	10302.2803	13165.2354	14488.3145	12315.7734	10285.2227	11865.4756	12040.5459	11817.707	11845.5918	12708.7393
0.2668	11034.4717	15837.2461	17149.2305	13208.9414	10507.6621	13898.7607	14039.6875	14458.6182	14252.9248	14232.0703
0.4003	13389.4502	19086.2559	20193.3652	14507.2539	10735.7939	16914.2754	17975.7559	18474.2324	16274.0723	15298.8008
0.5337	16600.0059	18543.3555	22464.7656	15601.4395	11099.415	18856.7969	20767.9102	19673.0996	16268.5264	15278.4854
0.6671	18906.6914	20001.9668	21923.4688	17027.1934	12477.5352	19311.7832	19766.877	18710.8301	15860.8555	14918.7734
0.8005	16184.6504	18727.459	20012.7344	17497.459	13359.1641	16576.8242	18690.4941	19316.6426	15089.9404	14604.7402
0.934	14345.9766	17036.7754	18756.4141	16142.8379	13095.3271	15443.4863	16448.002	18902.7812	14890.7998	15293.46
1.0674	13754.5342	16692.5859	17613.5703	15162.2422	12180.4258	13754.1416	15434.7178	19164.7012	14015.7842	14230.5361
1.2008	13812.6338	15597.9248	17811.1035	14750.6074	12582.0879	12920.5928	15002.6729	18214.4707	12812.1006	14547.1699
1.3342	13792.6035	15078.2725	19423.4102	14690.0781	12192.1494	14070.1318	16209.9863	17850.6309	12964.2471	13643.1318
1.4676	13860.8809	14480.8906	21840.1348	14207.5732	12889.6885	14130.3984	17472.7891	17406.4609	12415.2178	13454.4385
1.6011	14643.2881	14231.165	22225.4883	14420.3994	13654.8857	13105.8359	17469.543	16799.1582	12455.0771	12474.3223
1.7345	14230.0576	15305.2793	20631.2402	13982.7031	12712.2754	12452.5684	16864.6738	15868.6348	12337.208	13367.6035
1.8679	13648.3994	14932.5049	20058.7012	14303.6006	13214.2275	13986.2383	18833.9023	15725.1885	12920.9639	13246.1514
2.0013	13977.9355	13562.4639	20584.7129	13453.0322	13272.7656	13080.0693	19572.1328	15170.6641	15239.624	13175.7393
2.1347	13486.6914	13210.4229	20518.8457	14429.3564	12536.3994	12961.1182	18413.4062	14713.1328	15237.3613	13425.3164
2.2682	13384.7451	12897.4424	19581.6523	13771.5459	12994.8359	12402.9395	16511.5977	14638.5635	15738.0869	14836.0938
2.4016	13827.2393	11896.4014	18243.0391	13041.6445	13528.6182	13259.874	15935.1787	14503.0879	15098.1172	15140.3662
2.535	14083.8086	11392.8428	17465.6758	12764.6777	13279.7275	14117.1406	13840.9619	14081.9824	13846.2412	15292.9805
2.6684	13390.04	11050.4375	16295.4326	15252.0967	13135.543	14173.6484	11982.4219	13892.9326	14246.3584	15743.9102
2.8019	14254.7217	11941.0762	15125.915	16679.127	13972.2461	13526.8037	12332.2549	12371.5605	14489.6611	15828.4307
2.9353	13326.7627	11905.6787	14604.8369	16228.8271	14240.7363	14692.1768	12262.7773	12572.2178	14104.3184	15101.6689
3.0687	13256.3096	11751.6875	13079.1797	15020.5645	14033.8125	13775.3721	14072.7568	12658.2461	13203.6602	13730.4082
3.2021	12636.5879	11596.3203	12319.25	13593.8672	13283.1904	14309.958	13487.9102	12510.2588	12734.7354	13931.9512
3.3355	12509.6572	11263.9961	11361.1299	13114.3555	13183.3994	14125.707	13386.665	12281.0527	13260.1582	13395.0127
3.469	12522.1006	11717.6172	11437.3271	12887.5488	12761.7842	12860.9277	12805.5322	11125.6611	11973.0234	12225.1777
3.6024	12076.0039	11485.3232	12181.0498	13721.5029	12766.3184	13410.1035	11636.7842	10547.8203	11731.3955	12999.8379
3.7358	12653.1172	11899.1602	11756.0996	11959.1582	12242.8711	13423.5781	11856.0879	10754.8242	12251.8525	12835.8721
3.8692	12483.2871	11847.5186	12035.2363	12034.7158	12687.3223	13440.2666	12073.457	10858.9424	NaN	12771.6006
4.0027	12361.3369	NaN	13031.9043	11841.5332	12486.4561	13287.7002	11517.2832	10682.1387	NaN	13561.1201
4.1361	12226.4004	NaN	NaN	11464.6162	NaN	NaN	11448.624	NaN	NaN	11931.0068
4.2695	11536.2998	NaN	NaN	12061.9141	NaN	NaN	11988.5547	NaN	NaN	NaN
4.4029	11295.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
