x	Y_20181208_15794_12_7g	Y_20181208_15794_14_1g	Y_20181208_15794_16_2g	Y_20181208_15794_17_1g	Y_20181208_15794_19_10g	Y_20181208_15794_19_9g	Y_20181208_15794_21_6g	Y_20181208_15794_22_1g	Y_20181208_15794_23_8g	Y_20181208_15794_24_14g	Y_20181208_15794_26_3g	Y_20181208_15794_28_1g	Y_20181208_15794_3_9g	Y_20181208_15794_4_9g	Y_20181208_15794_6_11g	Y_20181208_15794_6_19g	Y_20181208_15794_7_8g	Y_20181208_15794_8_9g	Y_20181208_15794b_6_6g
0	28008.5508	30128.373	26368.3535	29649.3164	31483.5039	32469.2812	30002.9785	26231.3379	25900.793	30016.5234	28305.4707	25651.8066	30082.1172	30324.5059	28212.7031	33104.1367	30332.7324	31842.9395	31278.3574
0.1334	26912.6895	30221.7773	26435.9277	28979.8965	30852.6738	31863.8867	29671.002	27027.5195	26225.5488	29632.2891	28384.0371	26129.9102	30997.7012	31454.2031	27991.5879	33270.2305	30774.209	32092.4492	29966.7207
0.2668	26195.6719	29674.9082	26622.3457	29491.627	30185.2383	32982.9805	29831.2754	26829.5684	24619.0938	29586.9238	26752.5664	25409.1113	31936.2266	31847.5527	27154.3359	34117.2656	30660.8066	32358.6387	29400.2266
0.4003	26620.3164	28942.498	27898.3965	29736.1562	30384.9297	33170.2305	30406.5039	26709.5117	24838.4922	29609.4199	27231.7051	25563.2285	30053.4609	30985.5273	28474.6855	33562.9219	31239.3711	32237.0527	32013.1797
0.5337	27043.8809	30402.3379	26849.2422	30588.7656	28844.9062	32075.0215	31474.8633	26307.8418	24003.6719	30085.5586	27350.2344	25994.5352	31834.6582	32493.5	27723.4004	33762.3867	30648.7793	32847.6289	31346.2188
0.6671	28192.0605	30169.6641	26718.5508	30123.8828	29929.1348	34657.5312	29989.002	27586.1719	24591.7871	31728.709	27390.7656	27007.4883	32459.2012	32134.1895	28252.2891	32220.6699	32864.5312	32801.0742	29916.9121
0.8005	28166.4727	31130.9004	27934.9336	30075.916	29935.5781	32738.7383	30549.9922	27807.4375	26953.793	32071.4062	28182.2266	27715.8672	33361.6367	32514.8105	28690.0371	33622.7188	31338.4199	32425.1934	31347.5273
0.934	26723.8867	30715.2715	28004.375	29822.6523	30072.5918	33492.582	30207.373	27601.1738	25693.1445	32575.9746	29284.7188	28069.5938	33188.8438	34546.2578	28513.707	32117.9961	31472.3555	33336.4492	31227.2129
1.0674	27346.6777	30704.584	28255.6152	30447.6387	28924.625	32801.3828	31607.2656	27795.1094	25983.5117	33862.9258	27704.5586	28094.5156	32008.6895	34503.6797	28659.1895	32966.1211	32082.9805	31788.3965	31123.5176
1.2008	28105.6113	29746.9043	27594.2871	31269.375	30563.8086	32743.4473	31663.3789	28259.8047	27352.5195	32903.4336	29176.7441	27048.3027	30338.084	35805.2188	28245.0449	33936.5742	31581.3242	31906.2461	31260.0371
1.3342	29455.207	30685.3203	29242.3711	30285.5918	30858.5156	32374.6699	31124.8535	27972.7305	27741.8613	31665.1094	28860.1484	27885.3477	30894.373	34013.6055	29375.3203	35508.0742	31883.3301	33683.9883	30350.9258
