x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_10_7g	Y_20180224_15102_11_4g	Y_20180224_15102_12_13g	Y_20180224_15102_12_8g	Y_20180224_15102_13_2g	Y_20180224_15102_13_5g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_15_5g	Y_20180224_15102_15_8_S_g	Y_20180224_15102_18_1g	Y_20180224_15102_18_2g	Y_20180224_15102_2_8g	Y_20180224_15102_20_3g	Y_20180224_15102_20_4_S_g	Y_20180224_15102_22_2g	Y_20180224_15102_23_7g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_25_3g	Y_20180224_15102_25_9g	Y_20180224_15102_26_10g	Y_20180224_15102_26_3g	Y_20180224_15102_26_4g	Y_20180224_15102_27_12g	Y_20180224_15102_27_1g	Y_20180224_15102_28_13g	Y_20180224_15102_28_2g	Y_20180224_15102_28_5g	Y_20180224_15102_7_1g	Y_20180224_15102_7_5g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
0	15605.242	12940.026	15413.633	12994.157	12326.135	12846.668	13258.088	14435.79	13339.233	15113.507	13962.734	13211.825	15120.877	15482.175	13025.438	16863.381	12510.461	13088.884	12770.028	15696.143	18241.043	18554.82	11942.31	13059.681	14261.714	12225.367	13515.261	13023.852	20839.732	12824.512	14862.053	15788.651	13701.931	14918.098	16990.438	14640.917	13557.837
0.1334	16740.498	15952.732	17304.473	14521.136	13320.619	16018.386	13509.357	16445.539	14225.53	15823.706	15390.779	13927.811	15889.75	17294.512	14465.533	22022.014	12474.081	14630.423	14584.754	18706.631	21391.957	20260.074	12039.244	13404.405	15198.302	12045.892	15387.428	15256.411	20507.27	13492.771	17266.684	16247.603	15925.155	19874.494	23816.658	15926.522	14394.677
0.2668	17840.605	19538.018	21344.211	20046.242	16892.695	22978.107	15155.801	22971.258	16473.332	18765.742	19751.086	17923.551	16855.176	21417.689	16718.965	31636.471	13555.691	18752.086	18107.6	24248.287	27012.318	21999.941	13120.523	14052.599	16597.621	12554.438	18482.488	20153.59	22775.586	15873.803	21485.861	19288.057	19958.578	26208.643	33411.98	19180.701	16326.283
0.4003	20627.871	24747.562	28507.398	33247.711	25493.334	35518.316	21393.822	35165.312	24769.996	24040.289	27596.705	23511.775	22040.748	24741.871	19603.047	43342.52	16386.393	26364.516	28315.672	32964.957	40636.523	28157.828	15111.942	16029.796	22831.285	14567.896	24757.172	28013.695	28456.771	21741.525	26617.564	22890.812	24263.014	29055.137	34968.367	26928.941	20568.119
0.5337	29520.234	24269.457	28696.158	50641.352	33948.176	39467.324	30296.863	39377.492	29497.875	28996.09	30861.83	25518.561	29046.465	24181.023	22416.131	41591.266	20165.148	30931.424	48784.504	35371.766	48269.293	45583.371	21620.102	19559.027	26261.703	18693.572	39043.125	31980.299	32511.877	27284.572	24836.912	33890.727	24909.404	24972.029	28808.205	37357.773	24274.168
0.6671	41047.477	21518.506	27619.084	47900.047	34168.969	32932.535	31673.117	33899.488	26562.834	30326.605	26372.518	25280.746	33225.156	22792.668	20777.695	32147.037	21098.213	30787.506	52577.09	31328.264	46298.93	66138.555	28372.449	25588.361	25665.537	23114.094	49835.746	28638.041	31227.365	25061.324	19731.195	42698.406	24541.516	21584.398	23642.107	39734.965	22650.119
0.8005	39378.406	20000.424	23861.797	32311.912	25721.432	31078.621	25462.48	27173.979	23561.82	26601.684	22769.887	21896.006	30106.264	22779.014	18652.707	26150.16	19456.674	27093.227	38177.82	24375.537	41558.414	66499.539	26171.496	31395.26	23841.67	26146.889	41405.598	24012.576	26787.969	22384.998	17338.914	40273.156	24249.051	19587.139	20699.539	32150.275	18358.264
0.934	31547.24	20463.242	20541.969	24023.529	20805.514	28473.041	21344.592	21851.953	22217.025	22169.877	21077.662	20537.738	25569.643	23788.924	20135.91	22108.855	18037.084	22689.527	28206.402	23200.816	36672.148	51535.867	21004.348	29839.502	22192.758	25060.518	28164.83	21182.051	23677.75	20099.568	15701.779	35171.305	22775.684	19944.207	20142.502	26761.035	17554.348
1.0674	27332.564	19602.859	18790.254	20684.438	18389.117	25079.734	19960.117	20694.273	21930.582	21881.264	19663.076	19233.059	23829.375	23867.361	20706.326	20383.871	16718.4	20253.449	24039.355	22091.85	30984.686	36346.379	18469.678	25476.389	21515.025	23865.723	22293.588	20824.42	21957.553	19466.754	14935.215	27957.186	20967.764	19931.617	20216.467	24065.883	18340.172
1.2008	26493.359	19475.529	17960.469	18726.561	17743.904	22620.406	20706.406	20334.977	21337.744	23478.271	19957.42	19365.789	22084.76	22584.029	21225.406	20505.031	16473.352	18988.902	23099.17	21480.68	29251.828	29759.996	15811.09	21600.492	20348.773	21737.904	22450.193	20502.527	21227.773	18938.256	14797.278	24493.836	20062.768	19250.449	20092.814	22355.775	17130.754
