x	Y_20180224_15102_1_3_s_g	Y_20180224_15102_10_4g	Y_20180224_15102_10_7g	Y_20180224_15102_10_8g	Y_20180224_15102_11_11g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_4g	Y_20180224_15102_12_8g	Y_20180224_15102_14_5g	Y_20180224_15102_15_10g	Y_20180224_15102_15_5g	Y_20180224_15102_15_6g	Y_20180224_15102_18_2g	Y_20180224_15102_18_4g	Y_20180224_15102_20_10g	Y_20180224_15102_20_11_S_g	Y_20180224_15102_22_1g	Y_20180224_15102_23_7g	Y_20180224_15102_25_10g	Y_20180224_15102_25_4g	Y_20180224_15102_25_9g	Y_20180224_15102_26_1g	Y_20180224_15102_26_3g	Y_20180224_15102_26_7g	Y_20180224_15102_27_1g	Y_20180224_15102_27_4g	Y_20180224_15102_27_7g	Y_20180224_15102_27_8g	Y_20180224_15102_28_13g	Y_20180224_15102_28_5g	Y_20180224_15102_28_9_S_g	Y_20180224_15102_29_2_1_S_g	Y_20180224_15102_29_2_2_S_g	Y_20180224_15102_29_3g	Y_20180224_15102_4_9_S_g	Y_20180224_15102_6_2g
0	13644.747	13253.776	12940.026	15734.603	15194.7	17655.604	12558.369	12232.784	12326.135	12905.843	14230.483	13211.825	13715.848	13025.438	16250.611	13344.358	16542.654	15400.58	15696.143	13073.686	11842.349	13059.681	13621.503	12225.367	16584.787	20839.732	12591.017	17664.717	12086.378	12824.512	15788.651	13042.326	17329.264	14790.744	14532.131	15149.642	13939.137
0.1334	15334.835	14852.684	15952.732	20015.715	15569.84	17222.857	13572.026	13375.839	13320.619	12862.729	16448.248	13927.811	14949.47	14465.533	20850.262	15415.078	17513.963	16768.105	18706.631	13937.985	13373.893	13404.405	14470.081	12045.892	18026.508	20507.27	13140.31	19317.404	13995.325	13492.771	16247.603	14636.238	18595.16	16468.779	16985.301	19298.137	15490.095
0.2668	17719.146	20172.291	19538.018	25313.361	17353.65	19133.689	14624.062	14646.182	16892.695	14903.086	23594.35	17923.551	18511.566	16718.965	28392.805	20748.525	17959.918	18092.758	24248.287	15106.084	15714.821	14052.599	17531.68	12554.438	20981.848	22775.586	15503.295	20763.992	20082.496	15873.803	19288.057	18904.812	21616.006	23716.352	19770.75	23484.678	19209.652
0.4003	23469.375	27347.277	24747.562	27698.361	20475.275	27340.457	16312.756	18473.973	25493.334	19087.482	36213.031	23511.775	23463.164	19603.047	31373.334	31203.602	19571.977	23553.123	32964.957	18461.107	20885.824	16029.796	22167.141	14567.896	29531.902	28456.771	22068.033	22742.221	32450.936	21741.525	22890.812	22940.395	29428.375	33534.125	21862.654	25571.41	24223.816
0.5337	38575.34	30298.811	24269.457	23533.428	24644.506	37844.211	20545.65	25664.387	33948.176	28341.986	37338.016	25518.561	26328.52	22416.131	26906.705	32797.746	22620.197	26539.164	35371.766	26097.693	24737.299	19559.027	28152.896	18693.572	39568.496	32511.877	30227.422	29035.535	46579.695	27284.572	33890.727	24562.785	40397.68	34155.777	20243.902	21405.404	26720.514
0.6671	53512.746	28770.852	21518.506	20838.982	28599.365	39668.73	27208.312	29585.393	34168.969	36891.449	28739.783	25280.746	29363.65	20777.695	23152.354	28832.689	26239.57	26361.617	31328.264	35179.297	24430.367	25588.361	27997.723	23114.094	40909.383	31227.365	34898.801	40138.578	49754.328	25061.324	42698.406	22522.744	43309.844	28654.338	19228.75	18822.082	22814.602
0.8005	55080.188	29003.982	20000.424	20384.793	28180.447	33718.609	29067.578	26735.691	25721.432	34483.406	23940.1	21896.006	31349.941	18652.707	19672.781	25326.344	24738.041	24714.014	24375.537	32920.867	22434.717	31395.26	25598.068	26146.889	34628.105	26787.969	30845.797	45636.566	41398.082	22384.998	40273.156	20813.486	35354.875	25867.607	19301.484	18223.797	17940.281
0.934	45053.914	24947.539	20463.242	20606.451	25109.48	28233.088	25673.564	24603.844	20805.514	25611.244	21118.508	20537.738	28204.508	20135.91	19080.512	25412.678	23868.295	23685.695	23200.816	24929.662	22361.584	29839.502	23102.029	25060.518	28858.996	23677.75	25998.072	39138.109	31003.23	20099.568	35171.305	19766.557	29305.176	24687.414	19575.922	18176.33	17402.211
1.0674	34373.375	21787.457	19602.859	21285.453	22900.572	24810.262	23423.504	24776.896	18389.117	21063.133	20438.389	19233.059	24884.303	20706.326	18926.891	25477.25	23160.902	22861.779	22091.85	21729.496	21934.535	25476.389	21637.25	23865.723	25959.225	21957.553	24987.842	28636.635	26902.117	19466.754	27957.186	19830.766	24361.639	23171.416	20320.025	19983.27	16938.512
1.2008	27055.611	19555.988	19475.529	21444.031	21483.42	22212.973	21911.25	26803.656	17743.904	19130.605	19311.283	19365.789	24685.988	21225.406	18451.002	25115.842	22576.973	22715.461	21480.68	19554.441	21397.303	21600.492	20610.914	21737.904	25703.182	21227.773	21896.873	21721.096	26621.277	18938.256	24493.836	19315.766	20841.936	22318.607	22577.826	21352.809	17509.754
