x	Y_20181208_15692b_1_1g	Y_20181208_15692b_11_4g	Y_20181208_15692b_9_6g
0	28649.1094	27090.8027	31956.4238
0.1334	28874.752	28619.9141	31883.3926
0.2668	28354.875	28817.5762	30907.5098
0.4003	30918.9395	28650.4629	30858.3184
0.5337	29579.3672	28549.2871	32289.8203
0.6671	30507.9062	28325.0898	32772.6602
0.8005	29348.5352	29826.9707	33531.6953
0.934	30177.0723	28678.4785	32812.9688
1.0674	31136.9473	30229.8086	32660.8379
1.2008	31517.5742	30526.1758	34638.3125
1.3342	31080.541	30451.6953	32238.2148
1.4676	31138.1074	31573.582	32291.3516
1.6011	29770.3926	31661.4434	32134.3359
1.7345	31993.543	30980.5078	32128.7656
1.8679	31184.4766	31860.2129	32346.7578
2.0013	32500.4297	33800.4258	32680.2559
2.1347	33606.082	32660.2188	35010.4023
2.2682	36870.2031	32993.0742	35791.375
2.4016	46122.7461	36883.7188	41257.6836
2.535	62082.7188	45200.2188	55875.3125
2.6684	82931.0703	68122.3594	64353.168
2.8019	83066.5625	101230.8438	58606.9492
2.9353	58903.5039	96121.8281	62211.8555
3.0687	42863.0312	63904.3281	NaN
3.2021	35960.9883	52646.2305	NaN
3.3355	33206.2344	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
4.0027	NaN	NaN	NaN
4.1361	NaN	NaN	NaN
4.2695	NaN	NaN	NaN
4.4029	NaN	NaN	NaN
4.5363	NaN	NaN	NaN
