x	Y_20181208_15100b_1_6g	Y_20181208_15100b_13_10g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_9g	Y_20181208_15100b_17_4g	Y_20181208_15100b_19_4g	Y_20181208_15100b_2_2g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_25_3g	Y_20181208_15100b_25_4g	Y_20181208_15100b_26_3g	Y_20181208_15100b_4_1g	Y_20181208_15100b_6_1g	Y_20181208_15100b_7_1g	Y_20181208_15100b_7_3g
0	10918.6523	13728.041	9755.2705	10588.7451	12745.7295	10349.1133	14568.96	9596.0898	11531.9863	10541.0947	11140.2236	11641.9219	11347.9688	13262.833	12266.1982	10628.9365	10880.5732
0.1334	11855.2861	16743.6172	10298.291	11155.4668	13972.3662	10277.2793	17395.7871	10144.5986	13967.8545	10807.3184	11406.3535	12435.4121	12719.5254	14837.7021	12996.7334	10865.7334	11616.417
0.2668	13202.4844	18669.623	12652.5684	12224.9268	16057.7412	11830.7646	19998.2441	11283.7549	17252.416	11706.3389	12644.1035	14207.4258	14856.1143	15536.9551	12265.1924	11808.5947	12110.9043
0.4003	15628.9678	16644.4062	16221.0752	13568.4766	19532.1797	13725.1084	19546.709	14494.3662	18010.252	12726.0098	13144.5723	15216.7666	15391.7207	15050.8232	12897.1699	13129.582	12612.876
0.5337	17787.9375	15576.8701	18247.7988	15552.5166	20173.6289	14449.6289	16756.6992	16160.2793	16623.2129	13506.957	12904.0879	15353.8359	15384.4883	14434.127	13357.7021	14589.1426	15758.6797
0.6671	17014.9551	12927.2637	18487.9453	16441.457	18935.5254	15260.0234	16579.1543	15337.916	16202.4805	14049.0703	12213.8926	15434.3252	15712.9795	14388.8584	13098.8232	15601.9434	16481.3945
0.8005	15807.9297	12846.3428	16521.1836	16647.9355	17989.3086	15685.5254	15224.3223	15647.6885	14803.4209	13978.2578	12576.8672	15562.4678	16257.7109	14047.5254	13383.1494	14553.4482	16928.457
0.934	15101.1299	12648.332	16192.9639	15719.2031	18379.5918	14921.79	16063.3916	15781.4219	14746.0996	13122.5957	13473.7988	13764.3916	15989.4209	13361.7949	13727.5977	12789.6035	15796.6914
1.0674	14547.7344	12895.459	16581.7852	15257.625	17397.1543	15198.9111	15342.1309	15778.8037	14899.8008	12609.2871	13873.4482	13867.1426	15565.4355	12317.1318	13651.832	12488.0166	16404.4238
1.2008	14434.0977	13062.7637	17189.1719	14692.251	16836.9062	14812.7275	13428.709	14287.6572	15581.8682	12553.7363	14715.2646	13420.0518	15806.3574	12521.3115	13702.6416	13498.5723	15731.5898
1.3342	14516.4873	12662.5117	16667.5586	14602.9707	16092.0088	14258.6201	14391.2715	14139.0518	15390.5039	12047.9053	14641.1953	14188.96	15276.0293	12345.3525	13781.1494	14585.8008	14783.2402
1.4676	15217.167	13110.3867	15664.5283	14080.6934	15048.4746	15034.29	14304.9668	14303.8242	14829.3535	12388.5195	14870.4199	14162.7646	16024.0127	12215.6807	13603.3984	13917.8018	13587.3057
1.6011	14851.5059	13755.624	15234.4463	13978.9629	15156.8311	15203.2539	13946.5254	13875.9131	14284.4727	13112.8682	15179.6221	14667.0342	16107.8818	12180.9111	12839.2852	14658.2266	14116.9688
