x	Y_20180224_15102_14_3g	Y_20180224_15102_15_5g	Y_20180224_15102_15_7g	Y_20180224_15102_19_9g	Y_20180224_15102_1_2g	Y_20180224_15102_21_5g	Y_20180224_15102_22_3g	Y_20180224_15102_23_1g	Y_20180224_15102_2_5_s_g	Y_20180224_15102_6_2g
0	23122.832	15479.74	14035.932	14913.225	14225.845	12758.52	16901.477	14948.855	12507.172	12711.158
0.1334	25377.416	18676.66	16334.946	16930.346	15370.258	13410.283	16968.145	16698.744	14730.189	14864.7
0.2668	27821.738	25542.453	18615.783	20258.324	17941.287	17019.967	19288.006	22473.758	18648.814	17972.732
0.4003	25851.477	32015.154	19672.561	21319.762	21153.289	22992.643	22179.17	33113.867	20920.531	22297.756
0.5337	23872.783	36662.141	17544.67	20429.17	25035.613	27077.055	21271.65	39528.887	21093.963	24670.686
0.6671	21828.596	35485.266	16393.84	20590.633	24584.67	23855.188	19531.729	39658.645	19661.891	24314.166
0.8005	22195.215	30300.98	16767.299	20912.66	21614.244	20401.768	18151.041	33601.086	18918.049	22396.537
0.934	21688.385	27342.77	16944.824	20062.301	19826.695	19657.676	18037.986	25145.924	19131.729	21431.961
1.0674	21870.846	27801.477	16103.007	19207.844	18975.594	20507.803	18378.004	21936.479	18058.283	20286.344
1.2008	22298.672	28701.359	16814.24	20069.119	18213.721	20256.545	18461.045	18898.217	18151.184	20918.125
1.3342	20259.723	26614.004	16062.463	19603.189	18404.346	19588.166	17638.215	19396.674	19150.406	20992.391
1.4676	19411.75	24950.369	17332.115	19145.041	20249.588	18789.484	16328.153	19246.125	18579.064	19718.684
1.6011	18804.217	22695.197	17081.738	19034.357	20283.121	18456.176	15938.593	18320.961	18731.559	19604.646
1.7345	19277.516	21601.236	16796.537	18173.178	20735.85	18596.029	15859.303	18845.449	19732.684	18129.041
1.8679	17317.408	20961.695	15274.862	18771.074	19183.785	17996.568	16356.11	19197.596	19654.688	18642.666
2.0013	17424.074	20940.139	16380.486	19257.961	18814.953	17032.463	16179.18	18050.873	18877.004	18677.453
2.1348	17844.566	19083.893	15815.804	19954.229	18110.418	17036.254	16554.123	16765.922	18948.877	17192.635
2.2682	17011.23	18437.846	16000.942	18345.965	19024.195	16758.205	17064.174	16703.621	18304.738	16980.041
2.4016	17908.422	17338.16	15895.498	17429.707	18451.111	15262.443	16838.146	16158.066	16721.389	16026.027
2.535	18867.223	17738.918	14709.173	16802.92	19091.557	15671.863	15483.02	16897.865	17417.443	16167.455
2.6684	18633.678	15550.62	15745.925	18620.6	20556.793	15067.054	14604.082	17420.74	18433.352	15631.231
2.8019	17882.771	14264.506	14367.384	20329.445	22426.291	15049.129	14645.71	16123.761	18132.045	14253.603
2.9353	16611.506	14486.324	14568.148	21514.594	21256.441	14838.357	13272.526	16595.236	18376.908	15037.95
