x	Y_20181208_15692b_1_2g	Y_20181208_15692b_1_5g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_24g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_9g	Y_20181208_15692b_14_3g	Y_20181208_15692b_15_3g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_2g	Y_20181208_15692b_16_9g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_3g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_7g	Y_20181208_15692b_7_3g	Y_20181208_15692b_8_8g
0	11333.249	10856.2793	15081.4756	12843.3936	12878.4492	12073.168	11381.5889	12725.7822	12497.2197	12068.7148	14491.2061	10286.8564	11680.3926	9091.2256	11216.0195	11484.2051	12954.2676	11497.582	13860.7959	12989.2559	11283.5166	12041.2373	13727.4873	12378.4658	13060.7598	9776.8799
0.1334	12442.9102	11294.2666	17310.1035	12730.9395	15201.1025	12660.1104	13078.4121	12573.1543	11466.1387	11982.6611	14121.4922	11301.9307	11708.3984	9628.7412	10585.3457	11478.6533	12946.4307	11356.7461	13793.793	14924.8711	11815.8379	11930.0908	15465.7568	11950.9619	14595.8369	11341.7402
0.2668	14552.8076	12469.4443	17733.2051	14636.9678	18220.3379	15497.2275	15681.3408	12825.6895	12176.9326	13383.5605	15367.8496	12740.208	12164.3291	10607.4336	11400.2148	12060.4023	13276.1641	11525.8379	14621.374	17316.3906	12930.8486	11808.2852	16274.7881	12492.5273	15301.6699	13737.3105
0.4003	20828.668	14129.249	15499.1279	16535.6289	16662.9512	19601.4883	16481.9863	14442.7822	12870.5918	16887.1426	15977.417	13990.6064	12763.6553	11356.251	11646.167	14547.7422	15266.8779	11749.5938	16190.0117	17556.9199	16817.8926	12801.6475	14878.9707	14295.8936	14678.7246	15571.0723
0.5337	26268.9648	14843.5771	14587.7588	19483.8281	13465.2783	20218.9375	15363.0908	14398.3818	12256.1963	19222.4727	19569.3105	18520.7695	14105.2881	14782.71	14575.8984	15292.7031	17511.2246	13749.7529	21339.002	15652.2178	19584.4082	13988.1211	13599.2363	16059.0801	13617.8926	15445.9258
0.6671	24366.4082	14070.6133	13735.5898	17302.918	12047.0254	15586.332	13888.7402	13401.3154	12807.5283	17870.082	21095.0781	20708.6875	16877.5215	18468.1738	16865.5117	14906.9238	17284.1504	15875.2744	21744.2441	14481.6543	19726.1328	13937.7168	12322.3984	17626.9473	14203.1484	14423.2422
0.8005	19932.5352	13449.5332	13733.5283	15173.2344	12485.2715	13607.7148	13751.4297	12776.4258	13907.4238	15307.2793	19492.0078	23041.6797	19755.8027	18373.293	19160.1348	13633.0576	15257.9619	16712.8105	21041.793	15045.3145	16620.5352	13160.0332	12231.1084	18338.7207	13045.5654	13417.1875
0.934	18177.1914	12909.6904	13682.8154	14442.5391	12281.5674	13907.5381	14034.8506	12676.0459	14813.6426	15262.5039	16432.5371	22145.707	19907.3633	15763.3281	17763.5684	13207.8242	15016.9023	15160.4209	18830.6523	15034.3945	14452.6357	13324.5498	12263.4834	17110.2266	12858.626	12822.2793
1.0674	15798.8604	13560.7451	12492.5215	14209.4775	11720.7227	14091.9551	13124.0244	12266.2158	17136.0742	15289.0283	14221.3516	19246.4043	16911.5957	14766.8457	15456.8955	12452.0059	14456.9814	13441.3262	17655.4062	13402.4473	14297.7031	14057.7842	11507.5244	16224.7002	12964.9121	12474.7334
1.2008	14745.9531	13939.3184	11462.3105	14438.5088	11463.6914	15001.8125	12450.0625	12250.3877	16720.0469	14854.457	12565.2969	16757.5938	15723.6104	13752.7988	14998.1895	12482.9023	15340.8232	13139.0518	16812.1113	13130.292	14182.6211	14773.4658	11635.791	16458.373	12424.626	12428.1641
