x	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_14_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_3_2g	Y_20181208_15692b_7_1g
0	31207.2266	26627.1738	29049.5625	28781.5508	26799.7559	29627.3945
0.1334	31200.7988	26131.9746	28647.4453	29548.4277	25663.7285	30426.875
0.2668	30510.6309	26897.7461	29743.7285	28639.1836	26665.9707	32727.75
0.4003	31497.4336	26923.957	29877.4551	29327.1602	26998.6758	31698.9336
0.5337	30869.9121	27283.1055	29467.3887	28800.1562	26558.1328	32016.3301
0.6671	29673	27831.6016	28383.5059	30006.4707	26581.2324	32409.7402
0.8005	30085.4004	26222.1055	29748.6543	29064.998	25954.6699	32691.125
0.934	30752.4609	26312.8301	29909.3828	30819.8262	26787.0957	32777.3516
1.0674	31136.7676	26151.9805	29531.5898	31420.873	27857.3418	33693.4102
1.2008	31720.1035	27774.1328	30755.5547	31215.1797	27907.2422	33283.7891
1.3342	31307.6426	27935.6523	31761.2383	30626.1465	28221.7109	33382.7617
1.4676	30650.4766	27175.9609	31079.9902	30681.1543	28162.9414	33537.6523
1.6011	31550.6699	26727.3223	32682.6621	30976.3398	30334.7051	33789.8438
1.7345	30959.9863	26385.0625	32634.2539	31062.6914	29848.0234	34968.2188
1.8679	30719.4805	27887.3301	32781.2969	32097.7754	28369.2812	34810.6484
2.0013	31407.8223	28158.2617	32833.3047	31965.7598	28991.6445	35215.0938
2.1347	32363.8008	28117.4219	31624.9688	31221.6621	29439.0059	36508.2578
2.2682	33324.5195	27295.5371	31347.877	30670.3105	28379.3066	36499.1797
2.4016	33728.2891	26338.041	31952.2266	31132.8906	29403.7617	35677.9258
2.535	36705.375	27858.3203	31788.1953	32805.0547	29253.6934	34804.4102
2.6684	45240.9727	30750.5605	31842.2441	31953.3223	30228.1113	38414.0195
2.8019	66673.3828	36011.6094	32690.4453	30691.1934	30558.2188	44014.5078
2.9353	90909.3828	46381.4961	34417.5	34851.5469	30560.1152	58019.918
3.0687	93290.2969	48892.0312	41188.6016	39651.9688	34329.8086	74453.0625
3.2021	65707.6406	39994.9609	55939.1758	51614.4609	41537.1055	93498.9844
3.3355	45514.1758	32863.0391	66034.7891	72310.0469	58633.3203	93235.6641
3.469	36993.2617	NaN	56123.2578	79465.4688	72759.9844	68040.9531
3.6024	33970.7148	NaN	42953.5977	59648.7734	61750.2305	49426.832
3.7358	34111.4102	NaN	36356.5273	43259.0078	44903.1133	NaN
3.8692	35936.8633	NaN	NaN	35606.6953	34450.0234	NaN
4.0027	NaN	NaN	NaN	31646.4512	29501.6719	NaN
4.1361	NaN	NaN	NaN	30099.8945	27599.0762	NaN
4.2695	NaN	NaN	NaN	NaN	28333.6641	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
