x	Y_20180224_15100_7_7g	Y_20180224_15100_8_2g
0	40116.586	40366.785
0.1334	39522.711	40423.633
0.2668	40064.84	40694.688
0.4003	38089.43	39343.043
0.5337	40267.898	39190.969
0.6671	40731.328	39236.613
0.8005	39705.371	39774.762
0.934	38015.371	42055.352
1.0674	40195.359	42979.402
1.2008	42789.34	42630.664
1.3342	40754.352	41716.297
1.4676	39759.172	40814.938
1.6011	39407.078	41341.211
1.7345	40639.66	40481.867
1.8679	41356.684	41522.938
2.0013	42245.172	41230.441
2.1348	41100.059	41052.965
2.2682	40815.68	42135.453
2.4016	42192.395	41301.164
2.535	43018.59	44723.398
2.6684	47950.344	49997.348
2.8019	59960.43	50813.824
2.9353	64678.508	46167
3.0687	54774.82	43172.168
3.2021	48319.254	40107.027
3.3356	44227.984	NaN
3.469	44296.133	NaN
3.6024	NaN	NaN
3.7358	NaN	NaN
3.8692	NaN	NaN
4.0027	NaN	NaN
4.1361	NaN	NaN
4.2695	NaN	NaN
4.4029	NaN	NaN
