x	Y_20181208_15692b_13_4g	Y_20181208_15692b_7_7g
0	27420.293	28173.252
0.1334	28588.2695	27897.0215
0.2668	27913.8047	28089.4707
0.4003	28487.1445	28009.4648
0.5337	27817.2402	29246.1426
0.6671	28380.7715	27620.6055
0.8005	28139.0508	27695.4492
0.934	28409.4355	27530.4883
1.0674	28341.6367	28303.7305
1.2008	29408.043	27467.4258
1.3342	29003.3359	29410.0234
1.4676	29729.8711	30667.4023
1.6011	30610.7656	30503.998
1.7345	30743.8242	31632.1191
1.8679	31006.3203	33831.3438
2.0013	30770.002	39043.2461
2.1347	30603.4629	41692.4609
2.2682	31376.7852	39639.7188
2.4016	33536.668	39195.0312
2.535	35680.9883	46548.0039
2.6684	40926.6172	62522.7969
2.8019	57560.6641	77709.5625
2.9353	70446.4609	63133.4297
3.0687	60678.9219	44524.207
3.2021	45054.8008	34908.8984
3.3355	34659.7617	32866.8125
3.469	29768.0938	30887.6504
3.6024	31883.9277	31062.9414
3.7358	NaN	NaN
3.8692	NaN	NaN
4.0027	NaN	NaN
4.1361	NaN	NaN
4.2695	NaN	NaN
4.4029	NaN	NaN
4.5363	NaN	NaN
