x	Y_20181208_15100_18_7g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_8_6g	Y_20181208_15100b_1_6g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_9g	Y_20181208_15100b_2_2g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_4_1g	Y_20181208_15100b_6_1g	Y_20181208_15100b_7_3g
0	33157.457	25040.7012	29322.334	28697.459	29243.3789	28521.3398	27471.7812	29009.1309	29374.3535	30213.7539	26593.6836	23514.6348	30922.7637	28698.5801
0.1334	34740.9023	24921.0059	29661.8242	28449.6113	31023.4219	27103.7578	27752.1504	30650.2422	29606.1914	30301.4199	27164.0918	24772.666	29318.9863	28128.334
0.2668	34642.5469	25178.2949	30503.7656	29890.9238	30718.9727	29073.4473	28056.5879	30937.9922	30505.3926	31041.0938	26439.9375	24096.0781	30774.1641	27662.3789
0.4003	35262.9609	25840.8594	30618.9707	29421.4902	32363.2109	28374.457	29111.6445	30483.1777	29996.2656	31360.7734	26867.3027	24354.3262	30404.5293	28361.4863
0.5337	35373.793	26973.4688	30775.043	29354.3926	31567.3047	28621.4785	29062.2266	30932.3809	28466.3242	31160.0625	28913.0254	23513.4336	30622.3574	29076.1367
0.6671	35090.2227	26239.5684	30624.1934	29081.918	31389.3516	29276.6855	28990.8359	30183.7188	29330.5762	32888.9062	27543.7324	24312.3066	30589.6348	29374.4922
0.8005	34469.8906	25527.2168	29190.2559	29514.7676	30680.2422	27686.5625	28929.375	29619.8027	30456.0879	32864.6914	27106.8047	24896.0684	29704.4609	29680.8359
0.934	34277.7109	26762.1914	30775.2812	30159.5586	30690.9902	28121.1504	28402.6504	30391.0039	30728.1074	31824.6328	26498.7305	25581.832	28865.3145	28254.2559
1.0674	34686.3398	27679.5898	31599.918	29857.4492	32199.5508	29070.7344	28761.0625	31430.9863	31209.1895	32694.6016	29346.293	24394.4492	28886.3418	29057.9629
1.2008	34523.6133	30080.0293	31895.4258	30204.1094	32119.4043	30721.7188	29540.6328	30352.9668	32448.2617	34679.5859	28493.3789	25900.7539	30045.5742	29743.375
1.3342	34083.8047	30117.7559	33893.6406	29849.2129	30920.4355	29436.5684	28681.5137	29784.2715	32415.7578	34240.8281	29383.5527	26324.0566	31644.8926	29681.8066
1.4676	35743.2969	31021.7812	39207.2344	31299.0312	32054.498	29575.6211	28546.8965	30881.2344	31770.0801	35343.8711	29529.0156	27140.0449	34471.4414	28332.7969
1.6011	39466.0156	31092.0391	53005.8281	32477.4004	33140.0508	28531.0781	29144.0918	30526.1328	34946.918	40265.582	29037.0332	29541.7812	40703.332	30803.8945
1.7345	51284.0117	31373.043	71859.9531	32581.6738	35001.3555	30079.6445	29984.6641	32038.2539	38827.2617	50163.1797	30294.6973	35182.1211	46993.4531	29368.3789
1.8679	68595.8594	31023.9629	76877.7266	36510.543	40877.0977	32522.1387	30126.3184	33650.9141	44927.6719	65806.8203	36466.8984	40849.0469	43590.2344	30385.4805
2.0013	68052.3125	34275.8164	58233.9336	43882.1289	52746.6641	38191.2695	32102.3223	40791.9531	57067.6172	70813.8906	47821.1797	40826.4961	35912.7969	29696.3535
2.1347	51889.9688	36175.9492	42038.4102	60821.9375	60488.1992	53270.9336	35482.8281	46077.6992	64514.4844	53793.3789	70004.2656	35406.3359	32339.6855	32012.2793
2.2682	40739.4414	35221.5703	36110.2891	72460.0391	56270.8203	64249.582	42339.4688	38944.125	58929.082	42137.8477	81501.1641	29189.8477	31350.623	34088.8945
2.4016	35931.0625	30260.6484	NaN	61508.8789	41747.8672	58866.5234	47574.5625	32840.8906	48374.082	37522.9922	67377.0312	28561.4062	NaN	40611.4062
2.535	NaN	29891.2949	NaN	43851.9648	34705.9414	40141.6289	45970.6562	29820.4121	NaN	34055.2773	46508.6289	NaN	NaN	40020.3867
2.6684	NaN	28361.3906	NaN	NaN	32959.5312	31792.334	37874.0352	29026.5117	NaN	NaN	35907.3828	NaN	NaN	38620.957
2.8019	NaN	28747.4375	NaN	NaN	NaN	31805.6719	32015.127	NaN	NaN	NaN	NaN	NaN	NaN	36910.3789
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43938.8008
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
