x	Y_20181208_15693_10_10g	Y_20181208_15693_10_12g	Y_20181208_15693_11_7g	Y_20181208_15693_13_1g	Y_20181208_15693_19_1g	Y_20181208_15693b_13_1g
0	11862.4658	14191.2256	10115.4551	10765.8965	10072.3105	9495.1572
0.1334	12517.6797	14964.5576	10449.8066	12883.5908	10800.7285	10292.5586
0.2668	13640.2959	14766.0127	11863.124	16836.2441	10821.2305	10913.3066
0.4003	17893.998	15682.5352	13977.4238	19795.2852	12293.6387	12599.46
0.5337	21788.627	19146.3633	15422.3262	16716.1641	15361.3125	14979.9688
0.6671	21823.4414	22914.0508	14722.7568	13843.9395	15209.5098	17029.5566
0.8005	19678.3867	24062.7832	14475.2031	13413.1758	15270.3633	17281.4043
0.934	18513.668	19835.4375	14421.9355	13630.5127	14913.6699	15964.8604
1.0674	17487.957	18799.2793	15012.8545	13888.9941	14518.0254	15305.9307
1.2008	16703.1836	17883.3301	14061.3545	13930.0098	13288.1152	15428.6201
1.3342	17660.4316	16425.2734	13931.3379	13511.2549	12834.7021	15794.1377
1.4676	18561.4531	16013.6699	13494.1074	12862.6816	12488.0771	18207.6777
1.6011	17428.334	16000.5938	13433.8535	11836.5703	12027.374	17603.8262
1.7345	17846.9766	16107.4365	14102.1992	11965.0449	12216.5254	16009.6152
1.8679	17846.582	15928.21	14072.791	12265.5361	12315.749	14943.7764
2.0013	17080.3125	15020.7441	12885.1416	12176.4502	11906.7168	15794.4883
2.1347	16720.6816	13630.0166	13192.7959	11970.2295	12138.8477	14461.5537
2.2682	17139.1777	12920.21	11930.6309	11775.5576	11940.9053	14623.3477
2.4016	16670.752	14027.127	11555.5254	13144.0957	12874.4795	14134.7178
2.535	15902.5469	15038.751	12075.6201	14254.085	12678.4336	13008.2588
2.6684	15916.1064	14877.7764	11891.9189	14696.0098	12047.7588	12229.0752
2.8019	15016.7734	14464.1865	11847.0322	13775.5557	12659.2627	12415.6348
2.9353	14484.0762	14234.376	12104.3936	13547.5967	13651.6143	12846.4219
3.0687	14316.0225	14160.7393	12579.665	13301.7109	15924.0615	12527.3643
3.2021	14442.957	15030.6641	12419.541	13049.8271	16135.29	12894.3057
3.3355	13855.21	14694.501	12860.9355	12753.4658	14923.0439	13645.7559
3.469	14164.4727	15104.3145	12658.5713	12290.834	13752.8955	13774.833
3.6024	13954.0039	14092.3887	13090.2852	11071.8789	13461.2764	13522.875
3.7358	12538.2129	13442.5234	13619.582	11377.6592	12567.877	13547.8174
3.8692	11837.873	12989.54	12381.1221	10991.3877	12495.3672	12939.2686
4.0027	11630.75	12412.9795	11337.417	10907.4502	11983.9365	12978.5078
4.1361	11551.2227	12518.8164	10996.8057	11058.6895	11493.7451	12753.8271
4.2695	11485.7842	12331.9619	11189.9121	11254.1836	12183.7412	12040.2148
4.4029	11088.4365	NaN	11225.6885	11085.9502	11918.9561	11910.3584
4.5363	11414.457	NaN	10695.5879	10748.6133	NaN	12087.1553
4.6698	11799.2783	NaN	11041.6592	NaN	NaN	11588.4561
4.8032	12125.8525	NaN	11684.0527	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN
