x	Y_20180130_15100_1_2g	Y_20180130_15100_1_5g	Y_20180130_15100_1_8g	Y_20180130_15100_2_8g	Y_20180130_15100_3_15g	Y_20180130_15100_3_18g	Y_20180130_15100_3_21g	Y_20180130_15100_3_22g	Y_20180130_15100_3_7g	Y_20180130_15100_3_8g	Y_20180130_15100_4_12g	Y_20180130_15100_4_16g	Y_20180130_15100_4_2g	Y_20180130_15100_4_5g	Y_20180130_15100_4_7g	Y_20180130_15100_4_9g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_20g	Y_20180130_15100_5_21g	Y_20180130_15100_5_22g	Y_20180130_15100_5_26g	Y_20180130_15100_5_7g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_10g	Y_20180130_15100_6_15g	Y_20180130_15100_6_4g	Y_20180130_15100_6_7g	Y_20180130_15100_7_3g	Y_20180130_15100_7_8g
0	13936.562	15254.599	14325.1	15687.739	13853.8	15213.542	14992.836	16307.356	16783.195	16862.502	15015.015	15257.957	15486.276	16823.875	15633.439	15162.564	15752.46	15381.066	14743.285	15597.719	16040.079	15966.841	16479.844	15404.546	15090.588	14554.505	15687.854	15185.722	15180.395
0.1334	14373.296	15359.855	15308.38	16927.441	13958.866	15685.229	15095.257	16562.434	16068.085	17045.234	14539.445	15169.274	15754.74	15761.42	16160.238	14890.127	15229.021	15177.336	15134.804	15173.242	16588.314	15485.867	17030.191	16577.203	15167.605	14768.369	16033.685	14593.934	15541.066
0.2668	14733.173	15077.15	14913.306	16467.568	14980.529	15109.954	15999.331	16119.686	15823.697	17127.434	14600.285	15418.143	15779.14	16217.373	16638.773	15570.234	15930.619	14789.854	14989.767	14887.101	16461.613	15502.899	16838.164	15841.791	15206.812	14535.434	16222.374	14470.596	15476.537
0.4003	14869.242	15726.268	14862.299	15964.171	15022.295	14993.878	16183.858	15450.994	17009.895	16361.156	14730.457	15148.147	15985.766	17104.258	16409.719	15440.877	15487.554	15428.55	15028.707	14961.925	15847.513	16193.234	16898.973	15402.878	14737.598	14660.616	15137.494	14742.941	15989.316
0.5337	14632.337	16011.387	14828.053	16384.51	14419.081	13780.402	16209.562	16148.521	17721.672	17039.424	14657.489	14641.478	15234.854	16528.342	16193.278	14965.102	15214.945	14947.895	14759.122	15022.721	15960.686	15846.683	17271.582	15548.278	15193.66	14341.944	16389.115	15115.744	16696.398
0.6671	14374.687	15058.675	14450.595	16503.654	14990.91	14689.705	15670.545	15940.879	16309.486	16458.283	15195.373	14783.558	16832.592	15240.704	15080.396	15080.359	15717.252	15179.102	14770.962	15524.362	17076.84	15678.593	17516.113	15144.888	16287.934	15201.149	16704.338	14836.589	16487.994
0.8005	14204.188	15409.483	14874.784	16202.648	15037.795	15485.709	15110.831	14895.794	16944.717	17441.723	15208.501	14843.604	16548.943	15805.775	15611.204	15780.172	14802.882	14684.555	14972.359	15245.164	16713.621	16122.048	17008.732	15157.722	16996.961	14520.037	17021.607	14629.539	16592.311
0.934	14871.191	14457.602	14891.304	16374.822	14603.368	15991.585	15268.916	15783.348	15965.431	16484.648	14587.879	14776.311	15681.771	16069.319	15497.686	15587.428	14956.043	14832.37	14488.278	14596.409	16896.031	14975.588	16967.018	16082.442	16369.482	15257.736	16698.037	14885.905	15473.498
1.0674	15591.394	14623.461	14188.815	16399.344	13820.385	15932.7	15174.786	15672.345	16502.02	15869.266	14846.726	14918.826	15418.471	16037.751	16673.631	15580.194	15080.629	15645.548	14751.377	14779.947	16460.324	15793.119	16329.809	15658.532	15975.599	15139.37	15948.269	15109.813	15647.814
1.2008	15230.772	16576.697	14880.829	16245.298	14578.54	15753.338	16374.445	15763.61	16444.039	15674.645	14400.773	15103.475	15688.192	15657.006	16152.441	15286.308	14808.008	15680.604	14390.521	14860.458	16102.397	16647.709	17042.672	15444.874	15850.147	15209.885	15664.224	14984.149	16096.793
1.3342	15183.934	16277.575	16561.201	16913.547	14913.471	16602.227	15355.304	16120.604	16616.121	17026.885	13353.324	15837.358	16416.635	15600.406	16906.654	14763.488	14579.753	15111.597	15291.189	15715.354	16322.992	17190.025	16921.785	15927.545	15442.018	15192.104	16225.06	15157.69	15981.301
1.4676	15337.492	15436.408	15752.437	15931.732	16850.365	16135.598	16222.093	16103.005	15648.201	17576.938	14745.781	15932.134	16892.703	16715.592	17539.271	15918.318	14959.763	15819.623	15522.917	16771.629	17428.629	18778.17	17218.512	15963.102	16366.66	14853.855	17051.207	14960.14	16314.481
1.6011	16125.476	15520.127	15303.942	17929.199	15857.222	16151.396	16506.188	17312.301	17016.004	19448.877	15028.993	17044.934	18504.016	17146.639	20180.703	16966.398	14823.559	17363.975	14845.164	19656.018	20203.566	19790.184	18255.029	15081.242	16462.258	15771.47	17244.145	15427.297	16595.762
1.7345	17531.129	16748.461	16211.538	20146.098	16463.18	18533.674	17266.182	18756.588	18553.125	23216.576	15575.816	17662.648	20793.51	17695.154	28496.986	19055.164	15913.349	19887.617	15368.873	25039.916	25240.145	22964.172	18060.248	14817.423	17677.328	17101.939	19305.34	15412.767	17469.369
1.8679	22234.654	19239.424	17600.896	23914.715	19341.9	23696.891	19209.072	22612.777	20855.104	23966.613	16563.789	20270.912	26601.182	18803.195	38763.77	25371.646	16517.035	25614.004	15639.731	38729.973	32686.982	35546.336	21753.113	15673.771	21528.615	20287.809	24490.668	16232.741	18177.094
2.0013	33342.219	25080.162	25372.955	31214.609	25518.203	30550.869	22084.586	29425.934	26487.279	21270.93	19590.525	27606.59	34735.02	20634.148	36211.039	38571.18	18201.363	34620.129	15518.976	46046.957	45307.43	58639.996	26988.354	15812.784	26726.691	26912.557	36438.859	17559.258	20373.062
2.1348	49466.793	37761.621	38220.336	36899.891	43789.117	29190.664	26575.717	37141.715	36021.582	21656.803	28050.055	36881.91	34348.664	26850.348	26868	46857.871	22435.561	33309.363	17253.555	36535.41	41186.23	67777.336	34640.305	17041.193	25789.084	37264.777	47175.715	20037.977	25914.533
2.2682	50880.637	43349.48	44524.562	32036.713	57141.301	22035.283	25144.117	33334.035	37441.273	24033.338	37600.582	34082.414	25566.199	38404.336	20873.391	38666.461	23966.172	24583.158	21576.674	25568.229	27285.768	51120.812	31087.871	19200.307	21797.273	35919.195	41052.023	25399.324	37825.664
2.4016	37081.828	35304.98	35081.398	24000.498	47619.285	18317.828	21190.102	23415.805	29206.291	34744.176	32968.973	27583.35	20065.314	44880.648	18347.77	25516.447	20231.301	19742.564	30461.387	20634.275	20742.602	31978.715	23060.941	24444.361	19360.951	25791.529	27600.412	26147.152	45509.688
2.535	24140.641	23517.289	24058.824	18720.791	28426.367	16629.938	17674.201	19413.793	21011.023	47518.695	22319.781	19373.117	17434.119	36683.723	NaN	18865.295	17045.717	17075.473	40937.371	19612.822	17852.057	NaN	19439.639	28278.182	16851.035	18709.82	20370.387	21763.223	36132.094
2.6684	19064.346	18508.412	17591.746	17511.859	19273.654	16436.385	17579.908	17817.596	18607.842	46192.625	18622.066	17484.064	NaN	25126.58	NaN	16941.543	NaN	16524.211	38220.484	NaN	NaN	NaN	NaN	26088.703	17338.777	16887.295	19241.426	19653.336	24688.18
2.8019	17219.975	16561.52	NaN	NaN	17110.66	15699.126	NaN	NaN	16797.537	31342.492	16227.245	NaN	NaN	20453.135	NaN	NaN	NaN	NaN	29133.697	NaN	NaN	NaN	NaN	20816.936	NaN	16380.554	17335.164	19172.484	19624.68
2.9353	16062.443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20968.752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24717.217	NaN	NaN	NaN	NaN	17833.283	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18554.359	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22968.889	NaN	NaN	NaN	NaN	16647.283	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16650.881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15935.771	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15879.964	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16657.508	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
