x	Y_20180130_15100_1_1g	Y_20180130_15100_1_9g	Y_20180130_15100_2_10g	Y_20180130_15100_2_12g	Y_20180130_15100_2_13g	Y_20180130_15100_2_4g	Y_20180130_15100_3_11g	Y_20180130_15100_3_1g	Y_20180130_15100_3_20g	Y_20180130_15100_3_9g	Y_20180130_15100_4_10g	Y_20180130_15100_4_13g	Y_20180130_15100_4_1g	Y_20180130_15100_4_3g	Y_20180130_15100_5_10_1g	Y_20180130_15100_5_11g	Y_20180130_15100_5_14_1g	Y_20180130_15100_5_15g	Y_20180130_15100_5_16_2g	Y_20180130_15100_5_18g	Y_20180130_15100_5_25g	Y_20180130_15100_5_3g	Y_20180130_15100_5_5g	Y_20180130_15100_5_9_1g	Y_20180130_15100_6_11_2g	Y_20180130_15100_6_18g	Y_20180130_15100_6_6g	Y_20180130_15100_7_10g
0	13579.271	12619.806	13045.235	12886.765	12186.1	13922.199	11757.969	11583.044	12313.729	12936.823	12757.415	11909.463	11316.701	12307.569	13205.991	12672.475	13078.065	12116.181	11354.8	15479.061	11577.289	13540.024	12313.873	13288.44	12882.862	11352.411	13058.247	12288.809
0.1334	13845.437	13382.092	12587.89	13334.99	12242.744	13492.429	12352.606	12800.685	14087.206	13509.62	13616.039	12160.497	13105.133	13599.183	14662.629	12569.312	15292.782	12686.608	12555.639	15968.89	12325.189	13560.827	12600.589	13867.44	13942.512	11031.527	13505.988	12095.854
0.2668	14343.095	15680.001	13896.299	13630.962	13784.801	13633.657	13474.461	14458.391	15861.525	14172.516	13906.974	13078.808	14992.546	14277.198	16164.418	13522.005	18759.471	13390.751	15371.704	18708.617	12469.846	15400.898	12975.017	16299.873	16507.793	11590.729	14400.133	13501.556
0.4003	16099.071	18037.672	15019.738	14499.263	15813.919	15163.688	15074.871	13997.577	17337.502	16097.421	15755.954	13295.189	15366.637	15377.309	19039.627	15777.685	18125.725	14811.579	15333.182	21983.352	14844.519	16938.861	14668.899	17742.689	16510.502	13042.301	14914.31	15125.289
0.5337	16523.008	21586.607	15198.04	15454.106	18978.838	17902.598	16631.848	14959.072	16556.859	16025.315	17455.379	14875.898	14668.3	15793.547	21822.49	15328.647	16530.021	16416.988	16508.473	21840.305	22141.77	17467.293	16717.393	17560.293	15434.681	14957.145	17356.646	15879.882
0.6671	15773.682	20301.402	14592.788	15157.19	17597.344	18445.338	15180.382	16008.126	15279.997	15622.969	17469.408	14426.164	13965.316	15601.499	21199.645	14214.87	14932.092	15718.287	15338.283	19590.943	27811.492	15138.626	17304.664	15315.145	13673.474	19583.992	19833.752	14803.947
0.8005	14474.356	18281.32	14013.279	14380.492	15776.851	18363.84	14380.459	16528.635	14097.15	14884.091	17199.4	14513.302	14511.457	16192.903	20252.811	14255.779	14717.295	15351.512	14611.771	17801.678	30915.508	13602.151	16501.826	14986.797	13938.141	21529.189	20782.943	14350.465
0.934	15546.79	16828.223	13476.262	15145.325	13593.977	18217.201	14195.333	15597.863	13502.109	14310.388	16780.689	14039.891	15101.943	15947.9	18479.711	13419.749	14197.497	14613.041	14815.764	16923.992	27817.385	13130.881	16709.059	13563.467	12553.478	18897.658	19482.414	12890.496
1.0674	18452.312	15660.865	13627.371	16906.428	14367.154	16085.498	14376.978	15205.235	12932	14360.888	15264.503	13567.29	17154.369	16544.121	16690.723	13331.231	13998.06	14074.804	14885.218	14740.976	22332.525	11598.098	16423.191	13108.24	12349.54	16186.896	18341.559	11993.288
1.2008	21689.494	15064.183	14716.906	16244.086	14072.142	15488.98	13856.829	14662.548	11784.803	14350.891	15210.124	13839.101	16686.996	19162.148	16752.777	12104.029	12644.868	12690.029	14251.408	13799.314	18467.02	11699.589	14809.331	13430.223	13232.188	14520.326	17220.139	11432.899
1.3342	20450.975	14135.167	14753.792	15594.501	15548.743	14747.391	13511.017	14125.156	11664.345	13462.892	14120.661	13614.085	15006.53	19608.643	16396.828	12570.173	12220.694	13174.143	12996.788	12327.679	16285.823	12313.299	13428.761	13182.462	12230.974	14454.406	17181.066	11738.387
1.4676	17378.076	13341.545	14775.718	13424.918	16134.685	15252.99	13159.077	13630.235	12042.693	12138.628	13597.009	13151.527	13313.486	19554.68	15246.051	11136.089	12209.3	13023.46	12704.73	12518.784	15232.655	12394.592	12708.484	12771.452	11584.515	13080.978	16459.939	10854.148
1.6011	14935.584	13103.702	13718.138	12828.923	14477.977	14439.749	12026.11	13260.641	10959.892	12243.948	13562.899	12693.68	13332.077	16399.184	15010.622	11725.057	NaN	12178.654	12527.942	12718.836	14072.388	12369.753	12692.188	12969.923	12064.681	13489.503	15680	10229.835
1.7345	13493.484	13425.896	12689.638	12260.823	13652.176	14273.249	13220.385	NaN	11216.967	NaN	12931.558	12856.969	12948.311	14909.272	13648.131	NaN	NaN	11866.946	12367.735	13019.477	12803.878	12101.495	11983.232	NaN	NaN	13401.374	14077.666	NaN
1.8679	12375.938	13453.93	11951.27	11536.124	13194.197	13884.151	12879.212	NaN	11424.614	NaN	12705.539	NaN	NaN	13175.906	13679.587	NaN	NaN	NaN	11679.24	NaN	12108.332	11747.415	12168.212	NaN	NaN	12987.687	13112.707	NaN
2.0013	12331.786	13189.283	13121.681	11660.83	NaN	13619.874	12646.165	NaN	NaN	NaN	NaN	NaN	NaN	12910.439	13705.698	NaN	NaN	NaN	NaN	NaN	12714.541	11891.321	13164.979	NaN	NaN	11482.335	12620.119	NaN
2.1348	12155.324	NaN	12188.114	11364.613	NaN	12962.617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12906.854	NaN	NaN	NaN	NaN	NaN	13231.273	12110.812	12772.637	NaN	NaN	11486.195	13137.152	NaN
2.2682	NaN	NaN	NaN	NaN	NaN	13319.512	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13323.909	NaN	NaN	NaN	NaN	10882.973	12234.099	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	12459.926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13592.416	NaN	NaN	NaN	NaN	10841.438	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
