x	Y_20181208_15794b_10_2g
0	22520.8848
0.1334	23247.9727
0.2668	23691.6836
0.4003	25169.4453
0.5337	24142.4512
0.6671	24994.9258
0.8005	25391.9941
0.934	25965.75
1.0674	23788.3477
1.2008	23345.4023
1.3342	23798.373
1.4676	24446.6621
1.6011	23765.5781
1.7345	24330.1543
1.8679	24345.6836
2.0013	24992.6777
2.1347	26045.957
2.2682	29241.4023
2.4016	39455.918
2.535	49065.4961
2.6684	43864.3008
2.8019	34249.1406
2.9353	28688.9941
3.0687	26196.5625
3.2021	NaN
3.3355	NaN
3.469	NaN
3.6024	NaN
3.7358	NaN
3.8692	NaN
4.0027	NaN
4.1361	NaN
