x	Y_20181208_15694_19_2g	Y_20181208_15694_19_7g	Y_20181208_15694_3_12g	Y_20181208_15694_4_20g
0	29161.4824	30570.9355	26820.2891	29795.4355
0.1334	29340.334	30520.75	25742.9668	28111.1738
0.2668	29610.9414	31003.4922	27434.998	28618.1855
0.4003	29406.5723	31372.4824	27452.7012	27205.5977
0.5337	30531.8027	32697.0449	30051.2441	29366.1934
0.6671	30506.2969	32464.7539	29296.7539	30143.4102
0.8005	29340.9844	31934.7617	29438.3262	29244.1309
0.934	29091.1289	31138.0176	29214.3555	29726.377
1.0674	30981.4883	32236.5039	29375.0938	29784.0098
1.2008	31074.9199	31695.9062	30360.3027	29623.7402
1.3342	31124.8496	32377.6465	28451.9707	28508.9336
1.4676	29972.9824	33296.6719	28595.5234	30859.7676
1.6011	28798.1328	31677.959	29650.1094	30306.4473
1.7345	29393.6797	31641.3652	30281.7227	29248.2363
1.8679	28554.7266	31827.1367	29267.0645	29272.3223
2.0013	28564.2129	33970.332	28435.0156	28531.7051
2.1347	28912.8496	35531.8984	30673.7559	29264.8691
2.2682	29665.4043	33779.1367	28544.8594	29733.5137
2.4016	29653.9668	33555.0273	29242.9766	28525.4883
2.535	29702.4941	31752.4824	29903.8828	28695.8965
2.6684	30285.291	31685.4727	29738.1738	28638.5469
2.8019	30489.793	32660.9688	30175.9258	27690.9512
2.9353	30904.6113	33225.8125	32978.6719	29009.5137
3.0687	32901.1133	32829.457	38267.1484	31805.6152
3.2021	33559.9531	36585.4297	53758.5938	33655.5625
3.3355	38499.3125	43365.0469	80845.9766	39587.1172
3.469	53516.8555	57702.9453	91594.8281	54584.6133
3.6024	80098.9375	88048.0625	62678.082	61022.4062
3.7358	90000.5078	82233.8594	41960.5898	50122.9297
3.8692	68516.7969	54158.2734	34752.8789	39033.4648
4.0027	48243.2383	38858.1914	33558.543	35526.375
4.1361	38177.8594	34565.2852	31833.043	33342.7578
4.2695	32551.5352	35444.4219	NaN	NaN
4.4029	32501.4902	36483.8594	NaN	NaN
4.5363	35104.6289	36105.8008	NaN	NaN
4.6698	36993.3125	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
