x	Y_20181208_15693_10_10g	Y_20181208_15693_13_1g	Y_20181208_15693b_13_1g
0	11862.4658	10765.8965	9495.1572
0.1334	12517.6797	12883.5908	10292.5586
0.2668	13640.2959	16836.2441	10913.3066
0.4003	17893.998	19795.2852	12599.46
0.5337	21788.627	16716.1641	14979.9688
0.6671	21823.4414	13843.9395	17029.5566
0.8005	19678.3867	13413.1758	17281.4043
0.934	18513.668	13630.5127	15964.8604
1.0674	17487.957	13888.9941	15305.9307
1.2008	16703.1836	13930.0098	15428.6201
1.3342	17660.4316	13511.2549	15794.1377
1.4676	18561.4531	12862.6816	18207.6777
1.6011	17428.334	11836.5703	17603.8262
1.7345	17846.9766	11965.0449	16009.6152
1.8679	17846.582	12265.5361	14943.7764
2.0013	17080.3125	12176.4502	15794.4883
2.1347	16720.6816	11970.2295	14461.5537
2.2682	17139.1777	11775.5576	14623.3477
2.4016	16670.752	13144.0957	14134.7178
2.535	15902.5469	14254.085	13008.2588
2.6684	15916.1064	14696.0098	12229.0752
2.8019	15016.7734	13775.5557	12415.6348
2.9353	14484.0762	13547.5967	12846.4219
3.0687	14316.0225	13301.7109	12527.3643
3.2021	14442.957	13049.8271	12894.3057
3.3355	13855.21	12753.4658	13645.7559
3.469	14164.4727	12290.834	13774.833
3.6024	13954.0039	11071.8789	13522.875
3.7358	12538.2129	11377.6592	13547.8174
3.8692	11837.873	10991.3877	12939.2686
4.0027	11630.75	10907.4502	12978.5078
4.1361	11551.2227	11058.6895	12753.8271
4.2695	11485.7842	11254.1836	12040.2148
4.4029	11088.4365	11085.9502	11910.3584
4.5363	11414.457	10748.6133	12087.1553
4.6698	11799.2783	NaN	11588.4561
4.8032	12125.8525	NaN	NaN
4.9366	NaN	NaN	NaN
5.07	NaN	NaN	NaN
5.2035	NaN	NaN	NaN
5.3369	NaN	NaN	NaN
5.4703	NaN	NaN	NaN
5.6037	NaN	NaN	NaN
5.7371	NaN	NaN	NaN
5.8706	NaN	NaN	NaN
