x	Y_20180212_14590b_1_12g	Y_20180212_14590b_1_13g	Y_20180212_14590b_1_15g	Y_20180212_14590b_1_1g	Y_20180212_14590b_1_7g	Y_20180212_14590b_1_9g	Y_20180212_14590b_10_2g	Y_20180212_14590b_10_3g	Y_20180212_14590b_10_4g	Y_20180212_14590b_10_5g	Y_20180212_14590b_10_6g	Y_20180212_14590b_11_3g	Y_20180212_14590b_11_4g	Y_20180212_14590b_11_8g	Y_20180212_14590b_12_3g	Y_20180212_14590b_12_4g	Y_20180212_14590b_12_7g	Y_20180212_14590b_13_2g	Y_20180212_14590b_13_3g	Y_20180212_14590b_13_4g	Y_20180212_14590b_13_7g	Y_20180212_14590b_14_1g	Y_20180212_14590b_15_11g	Y_20180212_14590b_15_12g	Y_20180212_14590b_15_7g	Y_20180212_14590b_16_4g	Y_20180212_14590b_16_5g	Y_20180212_14590b_17_1g	Y_20180212_14590b_17_4g	Y_20180212_14590b_17_5g	Y_20180212_14590b_18_3g	Y_20180212_14590b_18_4g	Y_20180212_14590b_18_5g	Y_20180212_14590b_18_9g	Y_20180212_14590b_19_1g	Y_20180212_14590b_19_4g	Y_20180212_14590b_19_5g	Y_20180212_14590b_19_6g	Y_20180212_14590b_2_5g	Y_20180212_14590b_20_1g	Y_20180212_14590b_20_5g	Y_20180212_14590b_21_1g	Y_20180212_14590b_21_2g	Y_20180212_14590b_23_1g	Y_20180212_14590b_24_4g	Y_20180212_14590b_25_1g	Y_20180212_14590b_25_4g	Y_20180212_14590b_25_5g	Y_20180212_14590b_26_1g	Y_20180212_14590b_26_5g	Y_20180212_14590b_26_6g	Y_20180212_14590b_27_4g	Y_20180212_14590b_27_5g	Y_20180212_14590b_28_4g	Y_20180212_14590b_29_1g	Y_20180212_14590b_30_4g	Y_20180212_14590b_30_5g	Y_20180212_14590b_31_4g	Y_20180212_14590b_32_1g	Y_20180212_14590b_32_2g	Y_20180212_14590b_32_5g	Y_20180212_14590b_32_6g	Y_20180212_14590b_33_4g	Y_20180212_14590b_33_7g	Y_20180212_14590b_35_1g	Y_20180212_14590b_35_2g	Y_20180212_14590b_36_1g	Y_20180212_14590b_36_2g	Y_20180212_14590b_37_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_39_1g	Y_20180212_14590b_39_5g	Y_20180212_14590b_4_2g	Y_20180212_14590b_4_5g	Y_20180212_14590b_4_7g	Y_20180212_14590b_40_2g	Y_20180212_14590b_41_1g	Y_20180212_14590b_41_2g	Y_20180212_14590b_44_2g	Y_20180212_14590b_44_4g	Y_20180212_14590b_45_5g	Y_20180212_14590b_47_5g	Y_20180212_14590b_48_11g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_13g	Y_20180212_14590b_48_2g	Y_20180212_14590b_48_8g	Y_20180212_14590b_48_9g	Y_20180212_14590b_5_10g	Y_20180212_14590b_5_1g	Y_20180212_14590b_5_2g	Y_20180212_14590b_5_5g	Y_20180212_14590b_5_9g	Y_20180212_14590b_6_1g	Y_20180212_14590b_6_7g	Y_20180212_14590b_6_8g	Y_20180212_14590b_6_9g	Y_20180212_14590b_7_3g	Y_20180212_14590b_7_5g	Y_20180212_14590b_7_6g	Y_20180212_14590b_8_1g	Y_20180212_14590b_8_2g	Y_20180212_14590b_8_3g	Y_20180212_14590b_8_5g	Y_20180212_14590b_8_8g	Y_20180212_14590b_8_9g	Y_20180212_14590b_9_2g	Y_20180212_14590b_9_3g	Y_20180212_14590b_9_4g	Y_20180212_14590b_9_5g	Y_20180212_14590b_9_6g
0	13884.15	14529.476	15646.871	17271.621	15740.1	16588.193	14050.786	13764.736	13077.612	15334.743	13634.142	16025.911	17501.232	19226.279	12055.204	16569.674	13879.635	15108.05	14645.059	12621.978	14616.353	13357.9	14761.585	14599.856	15282.816	13863.71	12971.494	19031	15939.087	16992.111	12078.775	14901.017	16042.554	13241.362	11963.509	12432.379	14884.835	14051.3	12719.844	12726.8	16268.169	15987.334	14385.61	16532.434	13856.139	14392.954	13810.308	14136.312	14077.073	15659.078	16611.785	14228.063	13654.023	16597.691	12185.362	13454.122	14206.254	14378.884	15958.317	14322.52	15511.153	15691.315	15639.917	15348.539	16216.022	13051.086	14108.889	12360.484	13327.221	13060.835	12264.957	13633.356	13567.314	14351.5	13722.805	13770.486	11419.395	14385.876	13890.618	17097.371	15379.378	14016.851	13449.323	12567.673	16514.719	15495.031	13080.889	13277.3	14960.002	15288.643	12978.629	13651.652	15866.076	12984.581	16365.819	16169.7	16902.852	14039.438	12795.092	14045.922	14862.462	15546.34	13427.363	13587.294	12909.635	12886.098	15177.754	14353.5	15248.302	14160.704	15890.956
0.1334	14663.065	15002.216	15227.772	16929.275	15147.985	16662.908	15643.344	15119.085	13079.263	16620.578	14380.918	16284.315	17778.584	20039.746	13053.472	18360.066	13930.765	16467.393	14773.38	13937.861	15900.62	13709.161	14282.497	14710.32	16734.672	14494.3	13194.834	20082.074	16066.669	17466.754	12664.08	15554.765	16268.636	14319.595	13489.353	13374.428	15513.774	15946.591	12608.565	14130.927	17611.949	17510.127	15314.989	16842.098	14457.545	15573.715	13740.895	14938.964	14507.808	16239.769	14212.586	15031.616	14699.811	16762.434	12780.615	12544.077	14897.279	15671.047	16289.297	17165.021	18650.016	15249.833	15885.73	16710.354	17568.436	13678.608	15265.475	12727.011	13302.512	13780.717	13490.461	13666.562	16360.232	13714.957	14137.933	13780.201	11590.391	15245.293	14297.957	18738.797	15595.466	14397.379	13436.934	13274.238	16929.947	16456.5	13521.677	12912.342	14788.698	16042.804	15189.005	13755.799	16876.135	14535.102	16126.947	16220.212	17649.596	14195.343	13730.914	14694.741	15739.523	16762.689	13125.592	15245.092	13838.447	14768.212	15866.479	15558.866	16915.691	15940.389	15715.272
0.2668	16716.469	16093.815	16361.312	18592.943	16253.938	19789.613	17090.918	18090.781	15972.407	18512.934	17546.029	18287.072	18757.002	21487.211	14656.483	21348.279	14622.967	19457.564	15549.537	14825.453	19689.805	16592.531	16563.035	15758.85	18544.963	16435.535	14614.607	20623.352	17014.055	19989.053	14088.587	17111.633	18526.578	15518.396	16279.04	14016.871	16593.582	17599.811	14989.653	15408.001	18967.842	21915.51	15778.417	17586.881	15637.34	16788.391	14761.323	16859.77	16142.701	18758.424	16843.303	17231.484	17108.602	17148.684	13711.585	13090.119	15262.005	17376.6	19243.59	20416.852	20149.555	15214.341	16170.802	19171.762	19770.117	15072.504	16761.227	13824.93	13876.711	15299.381	14280.052	14538.59	18709.055	15858.09	14426.063	13857.126	13803.934	16005.277	14391.497	22643.695	16354.189	16863.482	15318.208	14944.097	19372.367	18339.676	14579.534	14692.451	14796.307	16133.511	17633.547	14662.766	19323.338	15772.794	18433.604	17279.18	19155.256	15747.438	15015.612	16024.59	16461.963	20370.107	14401.189	20828.186	14991.128	18741	15908.679	17009.799	17963.807	16838.367	17288.945
0.4003	18454.527	17874.91	19266.951	20925.701	19185.021	22065.752	18093.986	18622.688	18756.084	21683.107	19453.578	21661.756	19877.844	23877.814	16563.021	22028.754	16354.709	21780.975	18934.879	16921.285	19916.125	17952.453	17886.047	18217.195	20480.832	16817.375	16667.715	21229.828	20334.969	24175.828	15242.43	20204.922	25875.971	19522.289	19499.725	15274.442	18139.449	21040.014	18261.938	21361.299	24989.756	27769.084	17385.406	20380.434	18801.197	17331.564	18234.418	18909.594	20676.002	23437.654	22445.461	20089.32	19522.217	18924.564	14479.934	14823.03	16741.131	19066.906	20860.537	19556.01	19303.441	16877.748	17090.783	19872.516	20829.064	18238.26	17984.838	16251.196	14689.598	17498.859	16104.073	16115.486	18690.428	20026.223	15873.827	14974.371	16196.546	18088.125	16218.474	26388.297	18237.936	18332.742	17526.775	15797.236	23248.262	19431.246	17046.576	17477.473	17184.5	18328.029	21273.26	17368.102	25703.707	17129.434	22551.07	19912.148	22402.516	17433.754	17240.926	18364.232	18911.33	22106.826	17743.387	24644.67	17503.984	20807.467	18461.533	20144.285	17684.023	19857.213	21468.791
0.5337	18598.703	22433.021	19082.109	24404.992	18917.783	21197.785	18296.424	17146.906	20110.098	21433.508	17774.25	25741.16	20147.312	25454.896	18832.688	19800.301	18815.223	22170.777	23914.9	19409.236	19235.117	16983.102	19157.924	21615.264	22587.764	16389.764	19221.25	24485.244	26115.717	24044.436	18213.141	24294.561	36092.703	24556.996	20623.197	18434.201	22433.697	22581.004	21683.703	26845.805	31602.635	33533.043	19613.188	26509.145	21352.449	20949.406	20644.674	18763.105	27014.971	25383.514	26870.227	19835.186	17944.402	23280.045	16296.821	16541.059	17399.051	20395.455	20724.99	17532.516	18614.035	18692.498	20748.938	19073.775	19539.471	23165.338	22585.771	19151.98	15295.174	16787.111	16081.918	15738.293	17176.977	24516.521	20541.254	17598.768	23059.832	20481.041	19017.705	31319.393	20468.289	17992.533	22397.031	14173.088	29428.873	18438.414	19514.947	16625.84	22422.203	19871.887	22651.289	18980.256	30302.961	18327.809	25684.361	23566	23880.85	17538.965	19438.648	21616.586	18717.25	21614.479	21952.547	23564.67	18454.879	21313.488	20785.02	21619.768	14705.988	19006.928	25534.025
0.6671	17743.197	22153.504	18498.812	25071.355	18328.863	19413.178	18019.357	14524.396	20960.496	21104.477	16090.169	25713.719	19813.24	23795.027	20934.609	17589.215	20347.852	21501.963	27104.434	23671.564	17655.973	17736.617	19945.566	23374.348	21837.352	16090.562	18400.16	23422.32	28959.863	21805.412	24035.469	22077.951	39329.988	26453.27	19357.236	21190.574	25588.535	19696.123	24346.279	28014.711	32641.258	34203.754	21651.627	31300.848	20895.4	24294.994	20920.197	18247.566	26578.316	26518.758	32110.109	17860.051	16724.785	24401.646	18592.795	17821.785	16551.514	19038.252	18487.506	17299.904	17330.072	18318.295	22425.344	16941.885	17840.1	28423.92	23034.607	18376.023	15164.626	16318.698	16310.616	17345.023	15846.634	21655.617	27420.865	17628.494	32529.779	21815.59	21028.094	33696.523	21219.48	16937.635	22450.281	13871.409	33015.973	18921.738	21787.76	15782.67	23037.582	20877.664	21687.906	18852.357	29284.576	16519.322	25251.426	23518.268	20627.699	18014.879	17236.531	21954.637	17986.5	18688.33	23288.865	20624.221	18952.252	18946.654	19991.516	18322.924	14101.248	17854.867	21526.441
0.8005	17016.984	20002.926	17884.939	23652.039	17380.291	20288.848	18264.508	15415.719	21199.779	18507.23	15577.966	23041.711	19109.736	22000.426	21129.547	15715.342	20150.625	20749.484	24601.285	22024.234	17111.156	18220.877	18375.803	22647.086	20856.965	14715.956	16572.053	23202.82	25465.439	20502.516	25262.746	19361.727	40967.031	26057.746	17881.727	21230.23	24133.68	18768.744	22937.406	21633.607	27461.117	29197.045	21003.385	30721.518	20288.084	22456.494	20597.061	17636.059	23363.07	26637.104	31864.943	16717.068	15872.017	24470.285	17892.809	16415.525	15825.673	19063.332	16448.822	17475.467	15728.84	17137.223	20664.627	17199.586	15677.304	26900.418	19782.074	18761.58	14742.535	15231.075	17092.996	18080.969	15309.036	19859.498	28297.145	17342.734	35868.344	21233.75	19502.504	31546.99	20987.988	15017.401	19605.621	13135.16	32445.285	18933.646	21029.395	14583.086	22289.107	20266.676	18474.57	17905.344	24398.105	14120.126	23920.701	19809.867	19313.662	16648.359	16730.215	21255.004	16979.439	17931.113	22155.516	19341.201	18621.062	15870.24	17875.324	16260.004	13008.598	18458.566	19155.297
0.934	15926.827	18544.816	18173.711	21085.016	17847.246	19847.09	18583.4	16098.638	20759.867	18356.777	16105.817	20815.471	17532.145	21916.045	19197.932	15242.426	18369.346	18743.309	23456.619	20373.979	16417.463	17780.137	17065.115	21363.801	18351.607	13233.141	14627.77	23136.799	22968.5	19393.211	22004.432	17648.189	35856.949	26190.775	16983.078	20439.43	22155.809	17138.646	24353.221	18689.736	23459.041	25624.717	18800.6	28780.006	18115.699	20209.688	20030.52	16986.607	19957.156	25420.186	28204.398	16228.465	15231.026	23359.699	18434.996	15480.497	16250.267	18578.984	14899.551	16245.521	14386.968	16571.76	19521.773	15330.896	15393.242	23167.385	17768.598	18047.785	14284.328	14575.099	15894.66	18885.248	14851.089	19132.34	27652.418	16919.463	37993.641	18420.682	18846.018	26698.541	20533.525	14733.766	16512.426	13249.275	27649.455	19469.064	19611.277	13838.436	20822.676	19803.189	18143.393	18715.199	22491.938	13431.372	22171.178	20376.107	18853.705	16009.243	15292.874	20146.301	18478.115	16273.581	20151.643	17403.975	19905.293	15983.671	16049.409	14409.37	13064.251	17127.293	18871.605
1.0674	15654.475	17822.264	16538.691	20064.43	16437.609	20388.766	18703.309	15631.707	20695.242	16366.058	16160.437	17818.385	17905.41	19771.383	18141.938	15951.405	17950.359	17414.67	23305.73	19578.303	14748.781	16291.568	15377.299	22503.078	17452.645	13368.223	15310.659	21881.219	20241.504	18962.832	19219.455	15672.288	30583.641	26914.721	16027.832	19946.775	20315.367	16391.805	23780.184	16974.334	23508.658	23682.174	17805.766	25010.822	15916.605	17760.266	18115.344	15936.3	17116.574	22644.945	24347.486	14258.884	15191.469	22733.715	17771.043	15519.633	15854.236	17083.812	14326.138	15576.386	14441.124	15647.546	19392.129	15469.184	15215.896	20402.719	16202.492	17147.465	13517.903	15659.504	16044.36	17279.059	14648.537	17338.221	22931.219	16859.834	38650.281	17966.988	18292.242	23027.268	20237.939	14714.973	14941.767	13600.593	23756.316	18804.334	17222.168	14280.921	19183.666	17230.58	18085.248	18735.828	22404.424	14097.643	19448.162	19587.043	18332.926	16050.313	15427.638	18427.639	18734.809	14928.966	17373.893	15992.03	18795.539	16797.988	15939.798	13326.909	13483.174	16154.717	19441.705
1.2008	15946.907	17303.604	15771.77	19247.498	15464.826	21066.586	16634.977	15566.319	19064.092	16328.001	16276.388	17003.143	18919.088	18223.295	17081.799	16632.207	16316.656	16636.326	21898.529	18639.711	14940.022	14051.257	13988.112	22455.762	16154.958	13502.337	16176.586	22082.602	17730.033	18864.393	18233.877	15813.413	26925.684	27361.453	15551.27	20605.75	18239.83	15448.305	20194.518	15942.906	22189.609	21171.395	16256.729	19846.188	14432.172	18743.83	17911.656	15003.711	15638.287	21594.879	24063.197	13765.113	15648.915	21508.193	17063.543	15672.956	16401.252	15714.135	15052.67	15085.766	14530.873	17251.818	17890.01	15916.196	15790.44	19088.102	15335.782	17058.531	12638.193	16983.262	16695.604	17820.842	15790.808	15924.233	20481.861	15258.011	33701.176	17994.074	18153.605	19046.744	18721.117	14632.285	14948.671	13870.789	23049.674	18712.203	15150.206	14425.922	19232.156	15600.386	17379.129	20079.373	21175.172	14017.429	18376.342	20424.246	18204.668	15715.745	13645.939	19253.951	18660.109	13920.094	16485.65	15801.435	19131.508	17598.061	15044.416	15124.083	12811.104	14515.233	21825.223
