x	Y_20181208_15692_33_6g	Y_20181208_15692_36_6g	Y_20181208_15692_44_1g
0	12383.1396	11885.6924	10409.3184
0.1334	12915.9316	13166.8496	11989.3213
0.2668	15433.1777	16030.6963	14518.0391
0.4003	17984.2793	18962.0996	15528.9512
0.5337	20073.3359	18716.5	14640.7432
0.6671	18026.541	16775.4492	12999.04
0.8005	17256.5039	15553.0693	12330.1338
0.934	16817.8848	14912.3721	12067.6211
1.0674	17007.168	14287.1123	11569.9873
1.2008	16973.7188	13578.5186	11552.7656
1.3342	15837.9326	14180.915	11707.4824
1.4676	16279.5156	14044.1875	12948.5068
1.6011	16651.5723	13071.2041	13566.3037
1.7345	15081.2705	12941.7422	13601.3457
1.8679	14910.2646	12327.1982	13991.5947
2.0013	14926.8389	11595.1846	13947.2852
2.1347	15593.2363	11543.5449	13404.8213
2.2682	15767.4727	11103.5674	12867.2441
2.4016	14923.8447	11192.1191	12563.7295
2.535	14969.623	10988.8164	12069.6094
2.6684	14893.7432	11585.3203	11802.8682
2.8019	15885.8252	11915.8994	11863.0186
2.9353	16851.9727	12733.373	11490.1982
3.0687	16069.751	13034.1279	11787.2803
3.2021	15909.7949	13661.6895	11571.6104
3.3355	15843.918	13467.4541	12165.6523
3.469	14248.7891	13852.9189	11516.4766
3.6024	14052.2871	13631.125	11739.3213
3.7358	13653.0029	13082.3662	11277.8408
3.8692	13180.5664	NaN	11718.001
4.0027	12613.5361	NaN	11604.627
4.1361	NaN	NaN	11544.6699
4.2695	NaN	NaN	NaN
4.4029	NaN	NaN	NaN
4.5363	NaN	NaN	NaN
4.6698	NaN	NaN	NaN
