x	Y_20181208_15693b_1_13g	Y_20181208_15693b_10_12g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_13g	Y_20181208_15693b_3_1g	Y_20181208_15693b_6_4g	Y_20181208_15693b_7_3g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_6g
0	31920.5293	28398.1973	30592.6523	30936.877	33600.6602	28896.7793	30062.123	27594.9258	31181.5312	29657.7344
0.1334	31236.293	29722.3848	30673.9219	29718.5625	33326.0781	29150.3672	28752.0625	27475.957	32446.5625	28805.7148
0.2668	31510.8809	29632.7305	29356.9297	29647.0566	34779.4336	27577.8633	29223.1758	27991.7266	29898.5332	29083.2949
0.4003	32271.834	29920.4434	30041.8906	30182.1211	35078.1719	27782.4277	30767.8184	26843.377	30956.8105	28141.3672
0.5337	33538.6484	29903.8066	29796.2305	29904.875	34306.2422	27680.6309	29781.1758	26813.8027	31334.7344	29033.0938
0.6671	32590.9512	29634.5312	29079.9961	29480.3594	34557.4297	28928.1992	31187.4551	27520.1582	29532.1973	30280.2715
0.8005	32889.3633	30388.5293	30229.3027	29999.2754	35149.9766	29910.5469	31483.1973	26728.7461	31644.9277	30611.498
0.934	33890.2422	30240.2812	31121.3828	30649.0234	34870.9609	29512.4395	31986.5801	27132.332	32296.3457	30254.8398
1.0674	31695.8125	29799.6934	30145.0801	32626.2715	34652.625	27933.3105	31049.0312	27403.8477	32529.8516	30382.1426
1.2008	32641.2578	29833.5645	29378.3906	30779.0332	33960.1836	29173.6465	32363.1426	28587.5	33335.1328	30009.1699
1.3342	33881.8477	30110.6797	28957.6719	32471.1543	33347.8398	28857.8809	30607.4883	28578.9551	34770.3359	29715.7441
1.4676	34367.9453	30529.5293	29345.4531	31965.7695	34206.3047	29809.4082	32989.1289	26881.9766	36629.3086	29259.125
1.6011	33763.9023	33174.207	28761.7129	31387.2227	33876.0508	30564.5059	32029.082	27492.5879	38173.6758	31155.2617
1.7345	32482.3828	30561.123	27919.8965	32333.6035	34009.6055	30896.3926	31779.5723	26804.3105	37434.1406	31566.2949
1.8679	32978.9297	31115.3027	28618.9082	31994.418	33336.0547	30074.7461	31898.6953	27580.5938	34622.6953	30590.6309
2.0013	32326.6367	32336.1309	28406.6406	32560.6875	32925.5664	29834.6621	29794.5938	28735.9395	34639.3281	31397.0645
2.1347	33403.2656	32816.3047	30725.9414	33895.0781	32577.2656	28674.5781	31612.9531	27849.3398	37814.5273	30859.5898
2.2682	35132.1289	32122.7129	32763.5059	34799.5469	32226.1992	28736.709	31524.7832	29369.7344	44229.5742	31039.7168
2.4016	33788.2812	35213.543	38130.1523	38944.4102	31110.9004	31325.4668	33786.8984	35283.0664	45508.1953	30835.6582
2.535	34552.0664	45586.1914	42170.6562	47920.6992	31830.5566	34408.5	38089.582	47670.0508	41990.043	32287.4785
2.6684	36255.0898	67435.3438	43224.1797	60207.3711	34350.0391	40331.6484	46884.4648	61753.2891	37059.3008	32387.1641
2.8019	42123.2695	88817.1406	36207.8477	63730.5312	35044.875	53791.5547	65751.6875	63861.2227	34004.2148	33548.0898
2.9353	55766.3984	83922.0469	32229.4531	50951.6641	39938.2695	63071.4727	78118.0781	47935.1602	33858.7148	32852.4453
3.0687	83225.6953	57995.668	32258.2031	38842.2656	41142.4648	53107.1562	57521.4023	35795.1641	32189.6035	36272.3203
3.2021	111152.7812	43676.3281	32065.2031	35301.9297	37301.3359	43181.1172	38445.2969	30400.6562	32836.1016	42164.3555
3.3355	103496.6875	37302.5898	NaN	31603.5215	35563.957	34740.7734	36559.3477	29241.4844	NaN	60732.6367
3.469	70766.8594	38667.0703	NaN	31152.623	NaN	34348.25	32744.4727	28268.3438	NaN	90491.6094
3.6024	50851.5664	NaN	NaN	30196.7207	NaN	36926.9727	31378.9473	27745.2734	NaN	102577.0391
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27560.8984	NaN	75447.4688
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48640.0156
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40116.1289
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35626.2773
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34124.207
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32320.4355
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
